provinsi,wpp,zona,bobot,bobot_alt_volume,dasar_bobot
BANTEN,WPP-RI-573,573-A,0.0627,0.093,"pangsa nilai produksi tangkap laut prov ke WPP-RI-573, KKP 2019-2024"
JAWA BARAT,WPP-RI-573,573-A,0.0585,0.058,"pangsa nilai produksi tangkap laut prov ke WPP-RI-573, KKP 2019-2024"
JAWA TENGAH,WPP-RI-573,573-A,0.1424,0.1024,"pangsa nilai produksi tangkap laut prov ke WPP-RI-573, KKP 2019-2024"
DAERAH ISTIMEWA YOGYAKARTA,WPP-RI-573,573-A,1.0,1.0,"pangsa nilai produksi tangkap laut prov ke WPP-RI-573, KKP 2019-2024"
JAWA TIMUR,WPP-RI-573,573-A,0.2337,0.2985,"pangsa nilai produksi tangkap laut prov ke WPP-RI-573, KKP 2019-2024"
BALI,WPP-RI-573,573-A,0.5213,0.5791,"pangsa nilai produksi tangkap laut prov ke WPP-RI-573, KKP 2019-2024"
NUSA TENGGARA BARAT,WPP-RI-573,573-A,0.4787,0.5252,"pangsa nilai produksi tangkap laut prov ke WPP-RI-573, KKP 2019-2024"
NUSA TENGGARA TIMUR,WPP-RI-573,573-D,0.4577,0.4412,pangsa nilai produksi ke WPP-573 x proporsi sel pesisir zona (26:19) — asumsi A9b
NUSA TENGGARA TIMUR,WPP-RI-573,573-F,0.3345,0.3224,pangsa nilai produksi ke WPP-573 x proporsi sel pesisir zona (26:19) — asumsi A9b
BANTEN,LUAR CAKUPAN,-,0.9373,0.907,sisa: WPP 572/711/712/713/714/717/718
JAWA BARAT,LUAR CAKUPAN,-,0.9415,0.942,sisa: WPP 572/711/712/713/714/717/718
JAWA TENGAH,LUAR CAKUPAN,-,0.8576,0.8976,sisa: WPP 572/711/712/713/714/717/718
DAERAH ISTIMEWA YOGYAKARTA,LUAR CAKUPAN,-,0.0,0.0,sisa: WPP 572/711/712/713/714/717/718
JAWA TIMUR,LUAR CAKUPAN,-,0.7663,0.7015,sisa: WPP 572/711/712/713/714/717/718
BALI,LUAR CAKUPAN,-,0.4787,0.4209,sisa: WPP 572/711/712/713/714/717/718
NUSA TENGGARA BARAT,LUAR CAKUPAN,-,0.5213,0.4748,sisa: WPP 572/711/712/713/714/717/718
NUSA TENGGARA TIMUR,LUAR CAKUPAN,-,0.2078,0.2364,sisa: WPP 572/711/712/713/714/717/718
