zona,tier,musim,p_opt,u_k,q,f_hari,L_hari,m_k,b_k,W_rata,hari_bayar_rata,p_bayar,premi_murni_musim,b_k_kontribusi,dijual
573-A,1,Barat,85,2.2909,0.25,2,20,7,217000.0,5.25,3.625,0.6666666666666666,786625.0,246000.0,True
573-A,1,Peralihan I,85,2.2909,0.25,3,20,7,217000.0,8.48,5.64,0.72,1223880.0,246000.0,True
573-A,1,Timur,85,2.2909,0.25,22,20,7,217000.0,27.16,5.48,0.68,1189160.0,246000.0,True
573-A,1,Peralihan II,85,2.2909,0.25,9,20,7,217000.0,12.64,4.04,0.64,876680.0,246000.0,True
573-A,2,Barat,90,2.4281,0.25,0,20,7,669000.0,3.1666666666666665,3.1666666666666665,0.5833333333333334,2118500.0,796000.0,True
573-A,2,Peralihan I,90,2.4281,0.25,2,20,7,669000.0,5.4,3.68,0.64,2461920.0,796000.0,True
573-A,2,Timur,90,2.4281,0.25,15,20,7,669000.0,19.16,4.8,0.64,3211200.0,796000.0,True
573-A,2,Peralihan II,90,2.4281,0.25,5,20,7,669000.0,8.96,4.2,0.68,2809800.0,796000.0,True
573-A,3,Barat,95,2.616,0.25,0,20,7,670000.0,1.0416666666666667,1.0416666666666667,0.375,697916.6666666667,3143000.0,True
573-A,3,Peralihan I,95,2.616,0.25,0,20,7,670000.0,2.44,2.44,0.72,1634800.0,3143000.0,True
573-A,3,Timur,95,2.616,0.25,8,20,7,670000.0,10.24,3.08,0.72,2063600.0,3143000.0,True
573-A,3,Peralihan II,95,2.616,0.25,2,20,7,670000.0,4.64,3.0,0.56,2010000.0,3143000.0,True
573-D,1,Barat,91,1.2943,0.25,5,20,7,227000.0,8.083333333333334,3.6666666666666665,0.7083333333333334,832333.3333333333,258000.0,False
573-D,1,Peralihan I,91,1.2943,0.25,1,20,7,227000.0,4.52,3.68,0.72,835360.0,258000.0,False
573-D,1,Timur,91,1.2943,0.25,12,20,7,227000.0,16.2,4.76,0.68,1080520.0,258000.0,False
573-D,1,Peralihan II,91,1.2943,0.25,0,20,7,227000.0,2.92,2.92,0.72,662840.0,258000.0,False
573-D,2,Barat,92,1.3212,0.25,4,20,7,420000.0,7.583333333333333,4.083333333333333,0.75,1714999.9999999998,500000.0,False
573-D,2,Peralihan I,92,1.3212,0.25,1,20,7,420000.0,4.2,3.4,0.72,1428000.0,500000.0,False
573-D,2,Timur,92,1.3212,0.25,10,20,7,420000.0,13.96,4.44,0.68,1864800.0000000002,500000.0,False
573-D,2,Peralihan II,92,1.3212,0.25,0,20,7,420000.0,2.44,2.44,0.72,1024800.0,500000.0,False
573-D,3,Barat,96,1.4421,0.25,2,20,7,,5.458333333333333,3.75,0.75,,,False
573-D,3,Peralihan I,96,1.4421,0.25,0,20,7,,1.76,1.76,0.56,,,False
573-D,3,Timur,96,1.4421,0.25,4,20,7,,6.16,2.56,0.68,,,False
573-D,3,Peralihan II,96,1.4421,0.25,0,20,7,,0.96,0.96,0.32,,,False
573-F,1,Barat,86,1.234,0.25,4,20,7,227000.0,7.25,3.75,0.6666666666666666,851250.0,258000.0,True
573-F,1,Peralihan I,86,1.234,0.25,6,20,7,227000.0,9.72,4.28,0.72,971560.0,258000.0,True
573-F,1,Timur,86,1.234,0.25,21,20,7,227000.0,26.04,5.8,0.72,1316600.0,258000.0,True
573-F,1,Peralihan II,86,1.234,0.25,0,20,7,227000.0,1.92,1.92,0.52,435840.0,258000.0,True
573-F,2,Barat,88,1.2776,0.25,3,20,7,420000.0,6.291666666666667,3.6666666666666665,0.7083333333333334,1540000.0,500000.0,False
573-F,2,Peralihan I,88,1.2776,0.25,5,20,7,420000.0,8.52,4.0,0.68,1680000.0,500000.0,False
573-F,2,Timur,88,1.2776,0.25,21,20,7,420000.0,23.52,4.04,0.72,1696800.0,500000.0,False
573-F,2,Peralihan II,88,1.2776,0.25,0,20,7,420000.0,1.68,1.68,0.44,705600.0,500000.0,False
573-F,3,Barat,96,1.5524,0.25,0,20,7,,1.8333333333333333,1.8333333333333333,0.5,,,False
573-F,3,Peralihan I,96,1.5524,0.25,1,20,7,,3.04,2.28,0.68,,,False
573-F,3,Timur,96,1.5524,0.25,6,20,7,,9.2,3.88,0.68,,,False
573-F,3,Peralihan II,96,1.5524,0.25,0,20,7,,0.48,0.48,0.16,,,False
