zona,tier,lat,lon,u_sel,false_negative,false_positive,HE
573-A,1,-7.0,106.0,2.1731,0.0334,0.0334,0.4761
573-A,1,-7.5,106.0,2.6814,0.0355,0.0355,0.4435
573-A,1,-7.5,106.5,2.4997,0.0296,0.0296,0.5363
573-A,1,-7.5,107.0,2.3703,0.0228,0.0228,0.6427
573-A,1,-7.5,107.5,2.2238,0.0234,0.0234,0.6324
573-A,1,-8.0,107.5,2.6295,0.0235,0.0235,0.6307
573-A,1,-8.0,108.0,2.5388,0.0191,0.0191,0.7011
573-A,1,-8.0,108.5,2.4597,0.0171,0.0171,0.7321
573-A,1,-8.0,109.0,2.4568,0.0157,0.0157,0.7544
573-A,1,-8.0,109.5,2.3754,0.0134,0.0134,0.7905
573-A,1,-8.5,109.5,2.7164,0.0188,0.0188,0.7046
573-A,1,-8.5,110.0,2.7136,0.0171,0.0171,0.7321
573-A,1,-8.5,110.5,2.6506,0.0137,0.0137,0.7853
573-A,1,-8.5,111.0,2.5062,0.0102,0.0102,0.8403
573-A,1,-8.5,111.5,2.4557,0.0092,0.0092,0.8557
573-A,1,-8.5,112.0,2.2196,0.0111,0.0111,0.8265
573-A,1,-8.5,112.5,2.5742,0.0122,0.0122,0.8094
573-A,1,-8.5,113.0,2.3277,0.0161,0.0161,0.7475
573-A,1,-8.5,113.5,2.3664,0.0179,0.0179,0.72
573-A,1,-8.5,114.0,2.2833,0.0199,0.0199,0.6874
573-A,1,-8.5,114.5,1.5766,0.0226,0.0226,0.6462
573-A,1,-8.5,115.5,1.2871,0.0269,0.0269,0.5775
573-A,1,-9.0,114.5,2.5485,0.0208,0.0208,0.6737
573-A,1,-9.0,115.0,2.5188,0.0219,0.0219,0.6565
573-A,1,-9.0,115.5,2.4604,0.0231,0.0231,0.6376
573-A,1,-9.0,117.0,1.9368,0.0255,0.0255,0.5998
573-A,1,-9.0,117.5,1.9386,0.0277,0.0277,0.5655
573-A,1,-9.0,118.0,2.0073,0.0284,0.0284,0.5552
573-A,1,-9.0,118.5,2.0387,0.0302,0.0302,0.526
573-A,1,-9.0,119.0,1.8065,0.0388,0.0388,0.392
573-A,2,-7.0,106.0,2.2943,0.0244,0.0244,0.4572
573-A,2,-7.5,106.0,2.8311,0.0265,0.0265,0.411
573-A,2,-7.5,106.5,2.6371,0.0214,0.0214,0.5254
573-A,2,-7.5,107.0,2.503,0.0157,0.0157,0.6519
573-A,2,-7.5,107.5,2.3595,0.0174,0.0174,0.613
573-A,2,-8.0,107.5,2.7817,0.0173,0.0173,0.6154
573-A,2,-8.0,108.0,2.6826,0.0138,0.0138,0.6933
573-A,2,-8.0,108.5,2.6024,0.0129,0.0129,0.7128
573-A,2,-8.0,109.0,2.594,0.0127,0.0127,0.7177
573-A,2,-8.0,109.5,2.5079,0.0111,0.0111,0.7542
573-A,2,-8.5,109.5,2.8735,0.0151,0.0151,0.6641
573-A,2,-8.5,110.0,2.8685,0.0136,0.0136,0.6982
573-A,2,-8.5,110.5,2.8053,0.0114,0.0114,0.7469
573-A,2,-8.5,111.0,2.6562,0.0082,0.0082,0.8175
573-A,2,-8.5,111.5,2.6073,0.0083,0.0083,0.815
573-A,2,-8.5,112.0,2.3462,0.0094,0.0094,0.7907
573-A,2,-8.5,112.5,2.7282,0.0091,0.0091,0.798
573-A,2,-8.5,113.0,2.467,0.0116,0.0116,0.742
573-A,2,-8.5,113.5,2.5082,0.0131,0.0131,0.7079
573-A,2,-8.5,114.0,2.4279,0.0145,0.0145,0.6787
573-A,2,-8.5,114.5,1.6648,0.0162,0.0162,0.6398
573-A,2,-8.5,115.5,1.3575,0.0182,0.0182,0.596
573-A,2,-9.0,114.5,2.694,0.0153,0.0153,0.6592
573-A,2,-9.0,115.0,2.6647,0.0157,0.0157,0.6519
573-A,2,-9.0,115.5,2.6006,0.0168,0.0168,0.6276
573-A,2,-9.0,117.0,2.0514,0.018,0.018,0.6008
573-A,2,-9.0,117.5,2.0532,0.0195,0.0195,0.5668
573-A,2,-9.0,118.0,2.1331,0.0207,0.0207,0.54
573-A,2,-9.0,118.5,2.1676,0.0231,0.0231,0.4864
573-A,2,-9.0,119.0,1.9285,0.0285,0.0285,0.3672
573-A,3,-7.0,106.0,2.4778,0.0139,0.0139,0.4149
573-A,3,-7.5,106.0,3.0505,0.016,0.016,0.3274
573-A,3,-7.5,106.5,2.8451,0.0135,0.0135,0.4333
573-A,3,-7.5,107.0,2.7161,0.0099,0.0099,0.5854
573-A,3,-7.5,107.5,2.5868,0.0095,0.0095,0.5992
573-A,3,-8.0,107.5,3.0033,0.0113,0.0113,0.5255
573-A,3,-8.0,108.0,2.9071,0.0091,0.0091,0.6176
573-A,3,-8.0,108.5,2.8103,0.0087,0.0087,0.6361
573-A,3,-8.0,109.0,2.809,0.0078,0.0078,0.6729
573-A,3,-8.0,109.5,2.7131,0.0067,0.0067,0.719
573-A,3,-8.5,109.5,3.1124,0.0105,0.0105,0.5577
573-A,3,-8.5,110.0,3.1013,0.0088,0.0088,0.6314
573-A,3,-8.5,110.5,3.0251,0.0069,0.0069,0.7098
573-A,3,-8.5,111.0,2.8732,0.0054,0.0054,0.7743
573-A,3,-8.5,111.5,2.8187,0.0047,0.0047,0.8019
573-A,3,-8.5,112.0,2.5345,0.0048,0.0048,0.7973
573-A,3,-8.5,112.5,2.9521,0.005,0.005,0.7881
573-A,3,-8.5,113.0,2.6759,0.0065,0.0065,0.7282
573-A,3,-8.5,113.5,2.7279,0.0073,0.0073,0.6913
573-A,3,-8.5,114.0,2.6364,0.0082,0.0082,0.6545
573-A,3,-8.5,114.5,1.7992,0.0088,0.0088,0.6314
573-A,3,-8.5,115.5,1.4692,0.0127,0.0127,0.4656
573-A,3,-9.0,114.5,2.9263,0.0103,0.0103,0.5669
573-A,3,-9.0,115.0,2.8904,0.0096,0.0096,0.5946
573-A,3,-9.0,115.5,2.822,0.0096,0.0096,0.5946
573-A,3,-9.0,117.0,2.2426,0.0092,0.0092,0.613
573-A,3,-9.0,117.5,2.2479,0.0099,0.0099,0.5854
573-A,3,-9.0,118.0,2.3325,0.0107,0.0107,0.5485
573-A,3,-9.0,118.5,2.3755,0.0114,0.0114,0.5209
573-A,3,-9.0,119.0,2.1142,0.0158,0.0158,0.3366
573-D,1,-8.5,119.5,0.9085,0.0598,0.0598,0.0622
573-D,1,-8.5,122.5,0.7971,0.0537,0.0537,0.1584
573-D,1,-8.5,124.5,0.6243,0.0461,0.0461,0.2769
573-D,1,-8.5,125.0,0.6129,0.0629,0.0629,0.0141
573-D,1,-9.0,119.5,1.4409,0.0313,0.0313,0.5088
573-D,1,-9.0,120.0,1.1972,0.0487,0.0487,0.2357
573-D,1,-9.0,120.5,0.8987,0.0487,0.0487,0.2357
573-D,1,-9.0,121.0,0.8639,0.0483,0.0483,0.2426
573-D,1,-9.0,121.5,1.0298,0.0383,0.0383,0.3989
573-D,1,-9.0,122.0,1.1336,0.0318,0.0318,0.5019
573-D,1,-9.0,122.5,1.218,0.0376,0.0376,0.4109
573-D,1,-9.0,124.0,0.9613,0.0426,0.0426,0.3319
573-D,1,-9.0,124.5,0.7759,0.0495,0.0495,0.2237
573-D,1,-9.5,119.5,1.0934,0.0395,0.0395,0.38
573-D,1,-9.5,120.0,0.7867,0.0568,0.0568,0.1086
573-D,1,-9.5,120.5,0.9189,0.0598,0.0598,0.0622
573-D,1,-9.5,121.0,1.2235,0.046,0.046,0.2786
573-D,1,-9.5,123.5,1.0979,0.0531,0.0531,0.167
573-D,1,-9.5,124.0,0.7823,0.0615,0.0615,0.0347
573-D,1,-10.0,119.5,2.2295,0.0387,0.0387,0.3937
573-D,1,-10.0,121.0,1.4549,0.0406,0.0406,0.3628
573-D,1,-10.0,123.5,1.0037,0.0451,0.0451,0.2924
573-D,1,-10.5,119.5,2.3489,0.0306,0.0306,0.5208
573-D,1,-10.5,120.0,2.227,0.0303,0.0303,0.5242
573-D,1,-10.5,120.5,2.0722,0.0268,0.0268,0.5792
573-D,1,-10.5,121.0,2.1042,0.0242,0.0242,0.6204
573-D,2,-8.5,119.5,0.9925,0.0458,0.0458,-0.0174
573-D,2,-8.5,122.5,0.8674,0.0416,0.0416,0.0751
573-D,2,-8.5,124.5,0.678,0.034,0.034,0.2455
573-D,2,-8.5,125.0,0.6564,0.0468,0.0468,-0.0393
573-D,2,-9.0,119.5,1.5391,0.0218,0.0218,0.5156
573-D,2,-9.0,120.0,1.3001,0.0357,0.0357,0.2065
573-D,2,-9.0,120.5,0.9739,0.0369,0.0369,0.1798
573-D,2,-9.0,121.0,0.9364,0.0401,0.0401,0.1092
573-D,2,-9.0,121.5,1.1021,0.0319,0.0319,0.2917
573-D,2,-9.0,122.0,1.2092,0.0262,0.0262,0.4183
573-D,2,-9.0,122.5,1.2959,0.0291,0.0291,0.3526
573-D,2,-9.0,124.0,1.035,0.033,0.033,0.2674
573-D,2,-9.0,124.5,0.8518,0.0376,0.0376,0.1652
573-D,2,-9.5,119.5,1.1666,0.0292,0.0292,0.3501
573-D,2,-9.5,120.0,0.8561,0.0414,0.0414,0.08
573-D,2,-9.5,120.5,1.0075,0.0446,0.0446,0.0094
