zona,tier,tahun,bulan,t_tengah,t_absolut,hari,n_episode,n_hari_terpicu,cos1,sin1,cos2,sin2,musim,u_k
573-A,1,2001,1,15,14,31,0,0,0.971139,0.238513,0.886224,0.463258,Barat,2.2909
573-A,1,2001,2,46,45,28,1,9,0.715044,0.699079,0.022576,0.999745,Barat,2.2909
573-A,1,2001,3,74,73,31,1,3,0.309835,0.95079,-0.808005,0.589176,Peralihan I,2.2909
573-A,1,2001,4,105,104,30,0,0,-0.216527,0.976277,-0.906232,-0.422781,Peralihan I,2.2909
573-A,1,2001,5,135,134,31,1,7,-0.670089,0.742281,-0.101962,-0.994788,Peralihan I,2.2909
573-A,1,2001,6,166,165,30,2,6,-0.954388,0.298569,0.821713,-0.569901,Timur,2.2909
573-A,1,2001,7,196,195,31,4,18,-0.977426,-0.211276,0.910725,0.413013,Timur,2.2909
573-A,1,2001,8,227,226,31,1,16,-0.734304,-0.67882,0.078406,0.996922,Timur,2.2909
573-A,1,2001,9,258,257,30,4,8,-0.287261,-0.957852,-0.834962,0.550307,Peralihan II,2.2909
573-A,1,2001,10,288,287,31,2,3,0.22282,-0.97486,-0.900702,-0.434437,Peralihan II,2.2909
573-A,1,2001,11,319,318,30,0,0,0.687457,-0.726225,-0.054805,-0.998497,Peralihan II,2.2909
573-A,1,2001,12,349,348,31,0,0,0.956294,-0.292406,0.828997,-0.559252,Barat,2.2909
573-A,1,2002,1,15,379,31,1,1,0.972156,0.234334,0.890175,0.455618,Barat,2.2909
573-A,1,2002,2,46,410,28,1,1,0.718044,0.695998,0.031174,0.999514,Barat,2.2909
573-A,1,2002,3,74,438,31,0,0,0.313921,0.949449,-0.802907,0.596104,Peralihan I,2.2909
573-A,1,2002,4,105,469,30,0,0,-0.212327,0.977199,-0.909835,-0.41497,Peralihan I,2.2909
573-A,1,2002,5,135,499,31,4,14,-0.66689,0.745156,-0.110514,-0.993875,Peralihan I,2.2909
573-A,1,2002,6,166,530,30,2,5,-0.953095,0.30267,0.816781,-0.576948,Timur,2.2909
