tahun,bulan,n_hari,n_terpicu,swh_rata,swh_maks,musim,proporsi_terpicu
2021,1,31,3,1.5938,2.7273,Barat,0.0968
2021,2,28,9,1.8308,2.4583,Barat,0.3214
2021,3,31,0,1.3168,1.7354,Peralihan I,0.0000
2021,4,30,4,1.6460,2.4630,Peralihan I,0.1333
2021,5,31,6,1.7630,2.3270,Peralihan I,0.1935
2021,6,30,5,1.7279,2.2201,Timur,0.1667
2021,7,31,11,1.9417,2.5415,Timur,0.3548
2021,8,31,15,2.0518,3.0443,Timur,0.4839
2021,9,30,14,1.9010,2.3884,Peralihan II,0.4667
2021,10,31,4,1.6267,2.0879,Peralihan II,0.1290
2021,11,30,0,1.2200,1.4728,Peralihan II,0.0000
2021,12,31,0,1.4766,1.6889,Barat,0.0000
2022,1,31,6,1.5618,2.5939,Barat,0.1935
2022,2,28,3,1.6604,2.4344,Barat,0.1071
2022,3,31,0,1.4076,1.9842,Peralihan I,0.0000
2022,4,30,0,1.3563,1.9145,Peralihan I,0.0000
2022,5,31,3,1.7358,2.4339,Peralihan I,0.0968
2022,6,30,14,1.8938,2.3559,Timur,0.4667
2022,7,31,19,2.1263,2.7382,Timur,0.6129
2022,8,31,17,1.9821,2.4780,Timur,0.5484
2022,9,30,8,1.7646,2.1804,Peralihan II,0.2667
2022,10,31,0,1.5342,1.8898,Peralihan II,0.0000
2022,11,30,0,1.4228,1.9202,Peralihan II,0.0000
2022,12,31,6,1.5679,2.5883,Barat,0.1935
2023,1,31,6,1.7016,2.7721,Barat,0.1935
2023,2,28,8,1.8713,2.5096,Barat,0.2857
2023,3,31,0,1.3287,1.9998,Peralihan I,0.0000
2023,4,30,3,1.6795,2.2663,Peralihan I,0.1000
2023,5,31,5,1.7499,2.1746,Peralihan I,0.1613
2023,6,30,7,1.7458,2.2657,Timur,0.2333
2023,7,31,20,2.1442,2.5974,Timur,0.6452
2023,8,31,15,2.0042,2.7347,Timur,0.4839
2023,9,30,11,1.9426,2.6706,Peralihan II,0.3667
2023,10,31,2,1.5084,2.4621,Peralihan II,0.0645
2023,11,30,0,1.1477,1.6072,Peralihan II,0.0000
2023,12,31,0,1.3406,1.6361,Barat,0.0000
2024,1,31,0,1.5410,1.9288,Barat,0.0000
2024,2,29,0,1.2905,1.6282,Barat,0.0000
2024,3,31,8,1.7407,3.2729,Peralihan I,0.2581
2024,4,30,0,1.5070,1.7790,Peralihan I,0.0000
2024,5,31,4,1.7208,2.3864,Peralihan I,0.1290
2024,6,30,13,1.9407,2.7762,Timur,0.4333
2024,7,31,11,1.8959,2.4880,Timur,0.3548
2024,8,31,14,1.9495,2.5018,Timur,0.4516
2024,9,30,3,1.6378,2.3526,Peralihan II,0.1000
2024,10,31,5,1.7265,2.4353,Peralihan II,0.1613
2024,11,30,0,1.2876,1.5213,Peralihan II,0.0000
2024,12,31,1,1.6803,2.1349,Barat,0.0323
2025,1,31,8,1.5218,2.3895,Barat,0.2581
2025,2,28,11,1.9386,3.3477,Barat,0.3929
2025,3,31,5,1.5494,2.1716,Peralihan I,0.1613
2025,4,30,0,1.4511,1.8844,Peralihan I,0.0000
2025,5,31,4,1.7768,2.2360,Peralihan I,0.1290
2025,6,30,14,2.0578,2.6271,Timur,0.4667
2025,7,31,14,1.9404,2.4234,Timur,0.4516
2025,8,31,11,1.9312,2.7990,Timur,0.3548
2025,9,30,6,1.7908,2.3098,Peralihan II,0.2000
2025,10,31,2,1.5952,2.2083,Peralihan II,0.0645
2025,11,30,0,1.4521,1.8833,Peralihan II,0.0000
2025,12,31,0,1.4321,1.8823,Barat,0.0000
