provinsi,zona,tier,n_kapal_prov,bobot,n_kapal_zona,n_kapal_zona_alt_volume
BANTEN,573-B,1,10015,0.0627,627.9,931.4
BANTEN,573-B,2,4190,0.0627,262.7,389.7
BANTEN,573-B,3,50,0.0627,3.1,4.6
JAWA BARAT,573-B,1,19012,0.0585,1112.2,1102.7
JAWA BARAT,573-B,2,4638,0.0585,271.3,269.0
JAWA BARAT,573-B,3,385,0.0585,22.5,22.3
JAWA TENGAH,573-B,1,41695,0.1424,5937.4,4269.6
JAWA TENGAH,573-B,2,9393,0.1424,1337.6,961.8
JAWA TENGAH,573-B,3,2246,0.1424,319.8,230.0
DAERAH ISTIMEWA YOGYAKARTA,573-B,1,1064,1.0,1064.0,1064.0
DAERAH ISTIMEWA YOGYAKARTA,573-B,2,67,1.0,67.0,67.0
DAERAH ISTIMEWA YOGYAKARTA,573-B,3,3,1.0,3.0,3.0
JAWA TIMUR,573-B,1,51314,0.2337,11992.1,15317.2
JAWA TIMUR,573-B,2,9090,0.2337,2124.3,2713.4
JAWA TIMUR,573-B,3,179,0.2337,41.8,53.4
BALI,573-B,1,26143,0.5213,13628.3,15139.4
BALI,573-B,2,792,0.5213,412.9,458.6
BALI,573-B,3,580,0.5213,302.4,335.9
NUSA TENGGARA BARAT,573-B,1,28877,0.4787,13823.4,15166.2
NUSA TENGGARA BARAT,573-B,2,2700,0.4787,1292.5,1418.0
NUSA TENGGARA BARAT,573-B,3,3,0.4787,1.4,1.6
NUSA TENGGARA TIMUR,573-E,1,16505,0.7922,13075.3,12603.2
NUSA TENGGARA TIMUR,573-E,2,4363,0.7922,3456.4,3331.6
NUSA TENGGARA TIMUR,573-E,3,2,0.7922,1.6,1.5
