provinsi,tier,n_kapal_median_2022_2024,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
BANTEN,1,10015,12783,10358,8232,10774,9976,8617
BANTEN,2,4190,4512,3677,4090,5608,3530,3790
BANTEN,3,50,18,38,52,47,54,50
JAWA BARAT,1,19012,22395,21445,20631,23527,17176,18248
JAWA BARAT,2,4638,1892,695,3594,5026,4346,5010
JAWA BARAT,3,385,277,349,407,373,385,413
JAWA TENGAH,1,41695,42684,94724,50206,54235,41695,24531
JAWA TENGAH,2,9393,9725,12083,5721,14447,9393,9013
JAWA TENGAH,3,2246,718,873,929,2077,2246,2326
DAERAH ISTIMEWA YOGYAKARTA,1,1064,1267,1406,1180,1064,1029,1147
DAERAH ISTIMEWA YOGYAKARTA,2,67,63,21,11,59,64,66
DAERAH ISTIMEWA YOGYAKARTA,3,3,1,1,3,3,2,3
JAWA TIMUR,1,51314,53929,72990,71870,61563,52801,42224
JAWA TIMUR,2,9090,9424,16798,8686,7651,9090,8880
JAWA TIMUR,3,179,103,143,168,150,179,191
BALI,1,26143,17785,29054,37479,25788,26983,16883
BALI,2,792,305,266,162,1464,318,4352
BALI,3,580,338,541,579,491,580,596
NUSA TENGGARA BARAT,1,28877,27691,37305,28188,27452,29863,28676
NUSA TENGGARA BARAT,2,2700,2553,2020,1709,2423,2758,2703
NUSA TENGGARA BARAT,3,3,0,1,13,0,2,4
NUSA TENGGARA TIMUR,1,16505,18717,25992,21673,17476,18765,15239
NUSA TENGGARA TIMUR,2,4363,2467,3015,4643,4959,4363,4865
NUSA TENGGARA TIMUR,3,2,0,0,0,2,2,1
