zona,tanggal_mulai,durasi_hari,tahun,bulan,musim,hari_ke,swh_puncak
1,2021-05-25,2,2021,5,Peralihan I,145,3.30751
1,2021-05-30,2,2021,5,Peralihan I,150,3.15797
1,2021-06-18,1,2021,6,Timur,169,3.03117
1,2021-07-13,3,2021,7,Timur,194,3.41053
1,2021-07-29,7,2021,7,Timur,210,3.91399
1,2021-08-10,4,2021,8,Timur,222,4.46795
1,2021-09-02,4,2021,9,Peralihan II,245,3.63241
1,2021-09-10,2,2021,9,Peralihan II,253,3.03316
1,2021-09-17,3,2021,9,Peralihan II,260,3.55201
1,2022-04-28,2,2022,4,Peralihan I,118,3.15004
1,2022-05-14,1,2022,5,Peralihan I,134,3.12450
1,2022-05-23,3,2022,5,Peralihan I,143,3.49133
1,2022-06-20,1,2022,6,Timur,171,3.02969
1,2022-06-24,2,2022,6,Timur,175,3.30570
1,2022-07-01,4,2022,7,Timur,182,3.83385
1,2022-07-11,5,2022,7,Timur,192,3.33147
1,2022-07-25,4,2022,7,Timur,206,3.39558
1,2022-08-03,3,2022,8,Timur,215,3.26415
1,2022-08-10,2,2022,8,Timur,222,3.07576
1,2022-08-15,5,2022,8,Timur,227,3.56909
1,2022-08-29,3,2022,8,Timur,241,3.71879
1,2022-09-15,1,2022,9,Peralihan II,258,3.09440
1,2022-09-22,5,2022,9,Peralihan II,265,3.27310
1,2023-02-11,1,2023,2,Barat,42,3.05938
1,2023-04-15,2,2023,4,Peralihan I,105,3.24411
1,2023-05-13,1,2023,5,Peralihan I,133,3.02784
1,2023-06-07,5,2023,6,Timur,158,3.23688
1,2023-07-05,5,2023,7,Timur,186,3.68667
1,2023-07-12,3,2023,7,Timur,193,3.30634
1,2023-07-19,4,2023,7,Timur,200,3.55891
1,2023-07-26,3,2023,7,Timur,207,3.47411
1,2023-08-03,3,2023,8,Timur,215,4.25355
1,2023-08-16,3,2023,8,Timur,228,3.62354
1,2023-08-22,3,2023,8,Timur,234,3.72377
1,2023-09-05,2,2023,9,Peralihan II,248,3.30387
1,2023-09-13,8,2023,9,Peralihan II,256,3.86521
1,2023-10-03,3,2023,10,Peralihan II,276,3.67319
1,2024-03-11,2,2024,3,Peralihan I,71,4.36570
1,2024-05-27,2,2024,5,Peralihan I,148,3.15343
1,2024-06-03,3,2024,6,Timur,155,3.69329
1,2024-06-11,1,2024,6,Timur,163,3.20942
1,2024-07-04,1,2024,7,Timur,186,3.07604
1,2024-07-14,1,2024,7,Timur,196,2.99156
1,2024-07-21,2,2024,7,Timur,203,3.10099
1,2024-07-31,2,2024,7,Timur,213,3.11679
1,2024-08-07,3,2024,8,Timur,220,3.23072
1,2024-08-12,2,2024,8,Timur,225,3.17152
1,2024-08-18,2,2024,8,Timur,231,3.19041
1,2024-08-26,2,2024,8,Timur,239,3.12785
1,2024-09-06,3,2024,9,Peralihan II,250,3.35708
1,2024-10-04,1,2024,10,Peralihan II,278,3.00336
1,2024-10-15,3,2024,10,Peralihan II,289,3.47383
1,2025-02-05,3,2025,2,Barat,36,4.75224
1,2025-05-05,2,2025,5,Peralihan I,125,3.06523
1,2025-06-12,1,2025,6,Timur,163,3.10018
1,2025-06-21,4,2025,6,Timur,172,3.83567
1,2025-06-28,2,2025,6,Timur,179,3.14015
1,2025-07-08,3,2025,7,Timur,189,3.59849
1,2025-07-17,4,2025,7,Timur,198,3.14938
1,2025-07-26,6,2025,7,Timur,207,3.75312
1,2025-08-04,3,2025,8,Timur,216,3.92472
1,2025-08-26,3,2025,8,Timur,238,3.50973
1,2025-09-07,4,2025,9,Peralihan II,250,3.22098
1,2025-09-16,1,2025,9,Peralihan II,259,3.02473
1,2025-10-14,2,2025,10,Peralihan II,287,3.29129
2,2021-01-30,2,2021,1,Barat,30,2.46207
2,2021-02-23,2,2021,2,Barat,54,2.40989
2,2021-04-09,1,2021,4,Peralihan I,99,2.51612
2,2021-05-25,3,2021,5,Peralihan I,145,2.76861
2,2021-05-31,1,2021,5,Peralihan I,151,2.40526
2,2021-06-16,4,2021,6,Timur,167,2.56475
2,2021-07-13,4,2021,7,Timur,194,2.77338
2,2021-07-26,8,2021,7,Timur,207,3.12944
2,2021-08-10,4,2021,8,Timur,222,3.51446
2,2021-08-24,1,2021,8,Timur,236,2.39235
2,2021-09-02,4,2021,9,Peralihan II,245,2.86945
2,2021-09-17,3,2021,9,Peralihan II,260,2.67023
2,2022-04-29,1,2022,4,Peralihan I,119,2.46531
2,2022-05-14,2,2022,5,Peralihan I,134,2.45713
2,2022-05-24,2,2022,5,Peralihan I,144,2.73185
2,2022-06-20,1,2022,6,Timur,171,2.52013
2,2022-06-24,2,2022,6,Timur,175,2.46733
2,2022-07-01,4,2022,7,Timur,182,2.70474
