zona,tier,musim,th_musim,W
573-A,1,Barat,2002,2
573-A,1,Barat,2003,5
573-A,1,Barat,2004,7
573-A,1,Barat,2005,4
573-A,1,Barat,2006,6
573-A,1,Barat,2007,1
573-A,1,Barat,2008,14
573-A,1,Barat,2009,5
573-A,1,Barat,2010,2
573-A,1,Barat,2011,10
573-A,1,Barat,2012,9
573-A,1,Barat,2013,11
573-A,1,Barat,2014,3
573-A,1,Barat,2015,2
573-A,1,Barat,2016,0
573-A,1,Barat,2017,14
573-A,1,Barat,2018,9
573-A,1,Barat,2019,3
573-A,1,Barat,2020,0
573-A,1,Barat,2021,4
573-A,1,Barat,2022,0
573-A,1,Barat,2023,6
573-A,1,Barat,2024,0
573-A,1,Barat,2025,9
573-A,1,Peralihan I,2001,10
573-A,1,Peralihan I,2002,17
573-A,1,Peralihan I,2003,13
573-A,1,Peralihan I,2004,9
573-A,1,Peralihan I,2005,11
573-A,1,Peralihan I,2006,3
573-A,1,Peralihan I,2007,11
573-A,1,Peralihan I,2008,5
573-A,1,Peralihan I,2009,2
573-A,1,Peralihan I,2010,0
573-A,1,Peralihan I,2011,3
573-A,1,Peralihan I,2012,20
573-A,1,Peralihan I,2013,8
573-A,1,Peralihan I,2014,13
573-A,1,Peralihan I,2015,5
573-A,1,Peralihan I,2016,17
573-A,1,Peralihan I,2017,10
573-A,1,Peralihan I,2018,7
573-A,1,Peralihan I,2019,14
573-A,1,Peralihan I,2020,10
573-A,1,Peralihan I,2021,3
573-A,1,Peralihan I,2022,3
573-A,1,Peralihan I,2023,5
573-A,1,Peralihan I,2024,10
573-A,1,Peralihan I,2025,3
573-A,1,Timur,2001,33
573-A,1,Timur,2002,29
573-A,1,Timur,2003,21
573-A,1,Timur,2004,23
573-A,1,Timur,2005,22
573-A,1,Timur,2006,34
573-A,1,Timur,2007,29
573-A,1,Timur,2008,26
573-A,1,Timur,2009,19
573-A,1,Timur,2010,25
573-A,1,Timur,2011,29
573-A,1,Timur,2012,22
573-A,1,Timur,2013,22
573-A,1,Timur,2014,41
573-A,1,Timur,2015,18
573-A,1,Timur,2016,27
573-A,1,Timur,2017,32
573-A,1,Timur,2018,24
573-A,1,Timur,2019,33
573-A,1,Timur,2020,34
573-A,1,Timur,2021,22
573-A,1,Timur,2022,32
573-A,1,Timur,2023,28
573-A,1,Timur,2024,22
573-A,1,Timur,2025,32
573-A,1,Peralihan II,2001,11
573-A,1,Peralihan II,2002,14
573-A,1,Peralihan II,2003,14
573-A,1,Peralihan II,2004,7
573-A,1,Peralihan II,2005,28
573-A,1,Peralihan II,2006,18
573-A,1,Peralihan II,2007,9
573-A,1,Peralihan II,2008,15
573-A,1,Peralihan II,2009,14
573-A,1,Peralihan II,2010,8
573-A,1,Peralihan II,2011,13
573-A,1,Peralihan II,2012,9
573-A,1,Peralihan II,2013,23
573-A,1,Peralihan II,2014,15
573-A,1,Peralihan II,2015,12
573-A,1,Peralihan II,2016,11
573-A,1,Peralihan II,2017,7
573-A,1,Peralihan II,2018,9
573-A,1,Peralihan II,2019,16
573-A,1,Peralihan II,2020,18
573-A,1,Peralihan II,2021,10
573-A,1,Peralihan II,2022,8
573-A,1,Peralihan II,2023,13
573-A,1,Peralihan II,2024,7
573-A,1,Peralihan II,2025,7
573-A,2,Barat,2002,0
573-A,2,Barat,2003,4
573-A,2,Barat,2004,5
