zona,tier,p,q,lat,lon,HE,FN_buruk
573-A,1,70,0.25,-7.0,106.0,-0.6310161859874115,0.1590909090909091
573-A,1,70,0.25,-7.5,106.0,-0.5579051798149386,0.13043478260869565
573-A,1,70,0.25,-7.5,106.5,-0.3602132202291355,0.13333333333333333
573-A,1,70,0.25,-7.5,107.0,-0.49626185799820366,0.15384615384615385
573-A,1,70,0.25,-7.5,107.5,-0.5032615718233457,0.14893617021276595
573-A,1,70,0.25,-8.0,107.5,-0.2856317239872137,0.14893617021276595
573-A,1,70,0.25,-8.0,108.0,-0.18295292042081246,0.1590909090909091
573-A,1,70,0.25,-8.0,108.5,-0.2666357170734861,0.14583333333333334
573-A,1,70,0.25,-8.0,109.0,-0.2421757677460974,0.16666666666666666
573-A,1,70,0.25,-8.0,109.5,-0.18376832800091458,0.13043478260869565
573-A,1,70,0.25,-8.5,109.5,-0.15260703277182985,0.15555555555555556
573-A,1,70,0.25,-8.5,110.0,-0.1814785976097173,0.1590909090909091
573-A,1,70,0.25,-8.5,110.5,-0.17015753764996688,0.15555555555555556
573-A,1,70,0.25,-8.5,111.0,-0.13458839586393112,0.13953488372093023
573-A,1,70,0.25,-8.5,111.5,-0.09004277162016727,0.14634146341463414
573-A,1,70,0.25,-8.5,112.0,-0.08779624803942143,0.13043478260869565
573-A,1,70,0.25,-8.5,112.5,-0.057134924507891816,0.13953488372093023
573-A,1,70,0.25,-8.5,113.0,0.032523808342839966,0.14893617021276595
573-A,1,70,0.25,-8.5,113.5,0.02369161725041047,0.13636363636363635
573-A,1,70,0.25,-8.5,114.0,0.00035271218250487735,0.11363636363636363
573-A,1,70,0.25,-8.5,114.5,-0.23362947270651002,0.17777777777777778
573-A,1,70,0.25,-8.5,115.5,-0.14281231960250684,0.09302325581395349
573-A,1,70,0.25,-9.0,114.5,-0.04313128903234875,0.13636363636363635
573-A,1,70,0.25,-9.0,115.0,-0.017724708975170866,0.13636363636363635
573-A,1,70,0.25,-9.0,115.5,-0.023283044036158218,0.11363636363636363
573-A,1,70,0.25,-9.0,117.0,-0.24401669842884988,0.11627906976744186
573-A,1,70,0.25,-9.0,117.5,-0.18396106319067274,0.11363636363636363
573-A,1,70,0.25,-9.0,118.0,-0.179810763324334,0.11363636363636363
573-A,1,70,0.25,-9.0,118.5,-0.09369360012183692,0.12195121951219512
573-A,1,70,0.25,-9.0,119.0,-0.14151811820529625,0.16279069767441862
573-A,1,71,0.25,-7.0,106.0,-0.5076534381371713,0.1590909090909091
