zona,tier,distribusi,d,prob,prob_empiris
573-A,1,Weibull diskret,1,0.21744187576060037,0.166270783847981
573-A,1,Weibull diskret,2,0.2235105777525822,0.32066508313539194
573-A,1,Weibull diskret,3,0.17758894655667906,0.18527315914489312
573-A,1,Weibull diskret,4,0.12968318762295805,0.09501187648456057
573-A,1,Weibull diskret,5,0.08995756518486514,0.0688836104513064
573-A,1,Weibull diskret,6,0.0601225660651466,0.052256532066508314
573-A,1,Weibull diskret,7,0.10169528105716857,0.11163895486935867
573-A,2,Weibull diskret,1,0.22084215768327253,0.17096774193548386
573-A,2,Weibull diskret,2,0.25110651054419086,0.36451612903225805
573-A,2,Weibull diskret,3,0.19729581574791782,0.17096774193548386
573-A,2,Weibull diskret,4,0.13561600974634003,0.1032258064516129
573-A,2,Weibull diskret,5,0.08557084140581342,0.06451612903225806
573-A,2,Weibull diskret,6,0.050623521004776594,0.06129032258064516
573-A,2,Weibull diskret,7,0.05894514386768874,0.06451612903225806
573-A,3,Weibull diskret,1,0.3125213916832321,0.28
573-A,3,Weibull diskret,2,0.32089105708129995,0.405
573-A,3,Weibull diskret,3,0.1988880257851194,0.155
573-A,3,Weibull diskret,4,0.09964429647152717,0.085
573-A,3,Weibull diskret,5,0.04309101906496504,0.04
573-A,3,Weibull diskret,6,0.016583422294141115,0.025
573-A,3,Weibull diskret,7,0.008380787619715191,0.01
573-D,1,Weibull diskret,1,0.20829833659377706,0.18156424581005587
573-D,1,Weibull diskret,2,0.19240923591937564,0.2681564245810056
573-D,1,Weibull diskret,3,0.15458200667874183,0.1452513966480447
573-D,1,Weibull diskret,4,0.11919889103218634,0.09217877094972067
573-D,1,Weibull diskret,5,0.0897612137713161,0.04748603351955307
573-D,1,Weibull diskret,6,0.06648919920211724,0.06983240223463687
573-D,1,Weibull diskret,7,0.1692611168024858,0.19553072625698323
573-D,2,Weibull diskret,1,0.2724283602596551,0.24573378839590443
573-D,2,Weibull diskret,2,0.2258057078967246,0.2935153583617747
573-D,2,Weibull diskret,3,0.16369677272802846,0.15358361774744028
573-D,2,Weibull diskret,4,0.11389377659799199,0.09215017064846416
573-D,2,Weibull diskret,5,0.07733693224767416,0.06143344709897611
573-D,2,Weibull diskret,6,0.05161828068639922,0.034129692832764506
573-D,2,Weibull diskret,7,0.09522016958352646,0.11945392491467577
573-D,3,Geometrik,1,0.3488372120730974,0.3151515151515151
573-D,3,Geometrik,2,0.22714981154616629,0.2787878787878788
573-D,3,Geometrik,3,0.14791150456347218,0.14545454545454545
573-D,3,Geometrik,4,0.09631446767801331,0.07272727272727272
573-D,3,Geometrik,5,0.0627163972909107,0.05454545454545454
573-D,3,Geometrik,6,0.04083858410868066,0.05454545454545454
573-D,3,Geometrik,7,0.07623202273965951,0.07878787878787878
573-F,1,NB terpotong-nol,1,0.19668737972920056,0.1864951768488746
573-F,1,NB terpotong-nol,2,0.17026354691924434,0.1607717041800643
573-F,1,NB terpotong-nol,3,0.1400555451961844,0.1607717041800643
573-F,1,NB terpotong-nol,4,0.11219059006747842,0.12540192926045016
573-F,1,NB terpotong-nol,5,0.08841977299356765,0.10610932475884244
573-F,1,NB terpotong-nol,6,0.0689237580853594,0.05466237942122187
573-F,1,NB terpotong-nol,7,0.22345940700896527,0.2057877813504823
573-F,2,Weibull diskret,1,0.2256425078845602,0.2047244094488189
573-F,2,Weibull diskret,2,0.20386127125732023,0.20078740157480315
573-F,2,Weibull diskret,3,0.15938983447907806,0.2204724409448819
573-F,2,Weibull diskret,4,0.11934200673235573,0.13385826771653545
573-F,2,Weibull diskret,5,0.08712793015623105,0.047244094488188976
573-F,2,Weibull diskret,6,0.062495083037244936,0.06299212598425197
573-F,2,Weibull diskret,7,0.1421413664532098,0.12992125984251968
573-F,3,Weibull diskret,1,0.29696943041274737,0.26875
573-F,3,Weibull diskret,2,0.24199393597231456,0.28125
573-F,3,Weibull diskret,3,0.16791600925717282,0.1875
573-F,3,Weibull diskret,4,0.11069756446244935,0.1125
573-F,3,Weibull diskret,5,0.07075542006996885,0.0625
573-F,3,Weibull diskret,6,0.0442353539591068,0.0125
573-F,3,Weibull diskret,7,0.06743228586624025,0.075
