lat,lon,zona,terpapar,swh_rata,korelasi_thd_indeks
-7.0000,106.0000,1,True,1.7416,0.9233
-7.0000,109.0000,5,False,0.3041,0.4817
-7.0000,109.5000,5,False,0.3272,0.4788
-7.0000,110.0000,5,False,0.3781,0.4703
-7.0000,110.5000,5,False,0.3135,0.4531
-7.0000,113.0000,2,False,0.4023,0.8299
-7.5000,106.0000,1,True,2.1230,0.9096
-7.5000,106.5000,1,True,2.0017,0.9353
-7.5000,107.0000,1,True,1.9147,0.9601
-7.5000,107.5000,1,True,1.8052,0.9583
-7.5000,113.0000,2,False,0.2209,0.8684
-7.5000,113.5000,2,False,0.3032,0.9287
-7.5000,114.0000,2,False,0.3643,0.9650
-7.5000,114.5000,2,True,0.5856,0.9468
-8.0000,107.5000,1,True,2.1161,0.9559
-8.0000,108.0000,1,True,2.0524,0.9687
-8.0000,108.5000,1,True,1.9871,0.9780
-8.0000,109.0000,1,True,1.9778,0.9809
-8.0000,109.5000,1,True,1.9232,0.9846
-8.0000,114.5000,2,True,0.6064,0.7089
-8.0000,115.0000,2,False,0.4645,0.9553
-8.0000,115.5000,2,True,0.6295,0.9440
-8.0000,117.0000,3,True,0.5789,0.9325
-8.0000,117.5000,3,False,0.5310,0.9477
-8.0000,118.0000,3,True,0.5100,0.9689
-8.0000,118.5000,3,False,0.5830,0.9708
-8.0000,119.0000,3,False,0.6516,0.9496
-8.0000,119.5000,3,True,0.6361,0.9694
-8.0000,120.0000,3,False,0.5657,0.9625
-8.0000,120.5000,3,False,0.5670,0.9662
-8.0000,121.0000,3,False,0.5928,0.9624
-8.0000,121.5000,3,False,0.6157,0.9586
-8.0000,122.0000,3,False,0.6234,0.9594
-8.0000,122.5000,3,True,0.6296,0.9548
-8.0000,125.0000,6,False,0.6422,0.7860
-8.0000,125.5000,6,False,0.6606,0.7849
-8.0000,126.0000,6,False,0.5179,0.8012
-8.0000,126.5000,6,False,0.5322,0.9088
-8.0000,127.0000,6,False,0.7116,0.9297
-8.0000,127.5000,6,False,0.8086,0.9151
-8.5000,109.5000,1,True,2.1659,0.9742
-8.5000,110.0000,1,True,2.1577,0.9797
-8.5000,110.5000,1,True,2.1137,0.9859
-8.5000,111.0000,1,True,2.0125,0.9904
-8.5000,111.5000,1,True,1.9742,0.9907
-8.5000,112.0000,1,True,1.7864,0.9895
-8.5000,112.5000,1,True,2.0614,0.9887
-8.5000,113.0000,1,True,1.8743,0.9793
-8.5000,113.5000,1,True,1.8992,0.9754
-8.5000,114.0000,1,True,1.8331,0.9718
-8.5000,114.5000,1,True,1.2574,0.9657
-8.5000,115.5000,1,True,1.0361,0.9506
-8.5000,117.0000,3,True,0.5228,0.8699
-8.5000,118.0000,3,True,0.5403,0.6283
-8.5000,119.5000,4,True,0.6433,0.8055
-8.5000,122.5000,4,True,0.6248,0.8529
-8.5000,124.5000,4,False,0.4729,0.8438
-8.5000,125.0000,4,False,0.4626,0.7919
-8.5000,127.5000,6,False,0.9250,0.9705
-9.0000,114.5000,1,True,2.0243,0.9696
-9.0000,115.0000,1,True,1.9952,0.9679
-9.0000,115.5000,1,True,1.9461,0.9647
-9.0000,117.0000,1,True,1.5369,0.9534
-9.0000,117.5000,1,True,1.5278,0.9453
-9.0000,118.0000,1,True,1.5805,0.9422
-9.0000,118.5000,1,True,1.6077,0.9322
-9.0000,119.0000,1,True,1.4201,0.9058
-9.0000,119.5000,4,True,1.0811,0.9420
-9.0000,120.0000,4,False,0.8481,0.8929
-9.0000,120.5000,4,False,0.6364,0.8792
-9.0000,121.0000,4,True,0.6390,0.8822
-9.0000,121.5000,4,True,0.7850,0.8894
-9.0000,122.0000,4,True,0.8761,0.9070
-9.0000,122.5000,4,True,0.9489,0.9088
-9.0000,124.0000,4,False,0.7380,0.8623
-9.0000,124.5000,4,False,0.5604,0.8412
-9.0000,126.0000,6,False,0.6562,0.9309
-9.0000,126.5000,6,False,0.8581,0.9430
-9.0000,127.0000,6,False,0.9768,0.9575
-9.0000,127.5000,6,False,1.0730,0.9708
-9.5000,119.5000,4,True,0.8657,0.9118
-9.5000,120.0000,4,False,0.5365,0.8320
-9.5000,120.5000,4,False,0.6038,0.7924
-9.5000,121.0000,4,True,0.8870,0.8988
-9.5000,123.5000,4,True,0.8548,0.8230
-9.5000,124.0000,4,False,0.6020,0.7396
-9.5000,125.5000,6,False,0.8353,0.9512
-9.5000,126.0000,6,False,0.9674,0.9613
-10.0000,119.5000,4,True,1.7601,0.9236
-10.0000,121.0000,4,True,1.0911,0.9142
-10.0000,123.5000,4,True,0.7747,0.8749
-10.0000,124.5000,6,True,0.8169,0.9214
-10.0000,125.0000,6,True,0.9433,0.9501
-10.0000,125.5000,6,False,1.0663,0.9574
-10.5000,119.5000,4,True,1.8389,0.9427
-10.5000,120.0000,4,True,1.7497,0.9457
-10.5000,120.5000,4,True,1.6179,0.9540
-10.5000,121.0000,4,True,1.6338,0.9623
-10.5000,123.5000,6,True,0.9831,0.9462
-10.5000,124.0000,6,True,1.1318,0.9542
-10.5000,124.5000,6,True,1.1582,0.9497
-13.5000,126.5000,5,False,0.8059,0.9659
-13.5000,127.0000,5,False,0.8617,0.9592
-13.5000,127.5000,5,False,0.9186,0.9638
-14.0000,126.0000,5,False,0.4954,0.9394
-14.0000,126.5000,5,False,0.3945,0.9314
-14.0000,127.5000,5,False,0.7748,0.9242
-14.0000,128.0000,5,True,0.8579,0.9473
-14.5000,125.0000,5,True,0.5987,0.8785
-14.5000,125.5000,5,False,0.4640,0.8790
-14.5000,126.0000,5,False,0.4144,0.8614
-14.5000,128.0000,5,True,0.7257,0.9097
-15.0000,125.0000,5,True,0.3927,0.7925
-15.0000,128.0000,5,True,0.3981,0.6495
