tanggal,swh_mean,swh_p90,swh_max,n_grid,tahun,bulan,musim
2021-01-01,1.4734,2.1316,2.6395,776,2021,1,Barat
2021-01-02,1.3955,1.8791,2.3034,776,2021,1,Barat
2021-01-03,1.2606,1.6475,1.9593,776,2021,1,Barat
2021-01-04,1.2427,1.6820,1.8901,776,2021,1,Barat
2021-01-05,1.2677,1.6719,1.8732,776,2021,1,Barat
2021-01-06,1.2989,1.8017,2.2763,776,2021,1,Barat
2021-01-07,1.4106,2.2821,3.2628,776,2021,1,Barat
2021-01-08,1.4810,2.4358,2.7092,776,2021,1,Barat
2021-01-09,1.4435,2.1889,2.6270,776,2021,1,Barat
2021-01-10,1.4621,2.1172,2.5962,776,2021,1,Barat
2021-01-11,1.4054,1.9987,2.1115,776,2021,1,Barat
2021-01-12,1.3342,1.9725,2.3690,776,2021,1,Barat
2021-01-13,1.3953,2.1458,2.3710,776,2021,1,Barat
2021-01-14,1.4037,2.1141,2.2213,776,2021,1,Barat
2021-01-15,1.5783,2.4748,2.7910,776,2021,1,Barat
2021-01-16,1.6492,2.5202,2.8071,776,2021,1,Barat
2021-01-17,1.5632,2.2642,2.3766,776,2021,1,Barat
2021-01-18,1.4345,1.9211,2.1231,776,2021,1,Barat
2021-01-19,1.4609,1.9976,2.5616,776,2021,1,Barat
2021-01-20,1.5474,2.0672,2.7776,776,2021,1,Barat
2021-01-21,1.4514,1.9387,2.4624,776,2021,1,Barat
2021-01-22,1.5220,2.1009,2.6776,776,2021,1,Barat
2021-01-23,1.6004,2.1727,2.5700,776,2021,1,Barat
2021-01-24,1.6009,2.1080,2.4889,776,2021,1,Barat
2021-01-25,1.7596,2.2442,2.6270,776,2021,1,Barat
2021-01-26,1.8500,2.2921,2.6071,776,2021,1,Barat
2021-01-27,1.8596,2.2409,2.6304,776,2021,1,Barat
2021-01-28,1.8502,2.2128,2.5146,776,2021,1,Barat
2021-01-29,2.0940,2.7207,3.1863,776,2021,1,Barat
2021-01-30,2.5838,3.1363,3.5956,776,2021,1,Barat
2021-01-31,2.7273,3.3707,3.7173,776,2021,1,Barat
2021-02-01,2.4583,3.0757,3.2277,776,2021,2,Barat
2021-02-02,2.2488,2.8074,2.9508,776,2021,2,Barat
2021-02-03,2.2096,2.7896,3.1640,776,2021,2,Barat
2021-02-04,2.2737,2.8476,3.0723,776,2021,2,Barat
2021-02-05,2.1765,2.7696,3.0851,776,2021,2,Barat
2021-02-06,2.1267,2.6704,3.1354,776,2021,2,Barat
2021-02-07,2.0186,2.7453,3.1846,776,2021,2,Barat
2021-02-08,1.9525,2.6152,3.2923,776,2021,2,Barat
2021-02-09,1.7800,2.2917,2.6008,776,2021,2,Barat
2021-02-10,1.5242,1.8663,2.1036,776,2021,2,Barat
2021-02-11,1.3389,1.6649,1.9702,776,2021,2,Barat
2021-02-12,1.3325,1.9091,2.1189,776,2021,2,Barat
2021-02-13,1.4284,1.9530,2.1130,776,2021,2,Barat
2021-02-14,1.4522,1.8457,1.9402,776,2021,2,Barat
2021-02-15,1.4468,1.8307,2.0323,776,2021,2,Barat
2021-02-16,1.5771,2.1646,2.7850,776,2021,2,Barat
2021-02-17,1.8157,2.6347,3.1011,776,2021,2,Barat
2021-02-18,1.8842,2.5959,2.8114,776,2021,2,Barat
2021-02-19,2.0098,2.6663,3.1177,776,2021,2,Barat
2021-02-20,2.0427,2.6130,3.1203,776,2021,2,Barat
2021-02-21,1.9038,2.4114,2.6763,776,2021,2,Barat
2021-02-22,1.9155,2.7037,2.9072,776,2021,2,Barat
2021-02-23,1.9730,2.7449,2.9853,776,2021,2,Barat
2021-02-24,1.8618,2.5460,3.0110,776,2021,2,Barat
2021-02-25,1.7987,2.8143,3.9566,776,2021,2,Barat
2021-02-26,1.5154,2.5726,3.8747,776,2021,2,Barat
2021-02-27,1.4972,2.5230,2.9755,776,2021,2,Barat
2021-02-28,1.6994,2.7379,2.9300,776,2021,2,Barat
2021-03-01,1.7334,2.7582,2.8786,776,2021,3,Peralihan I
2021-03-02,1.7148,2.5498,2.7379,776,2021,3,Peralihan I
2021-03-03,1.6582,2.3674,2.6001,776,2021,3,Peralihan I
2021-03-04,1.5250,2.0777,2.2909,776,2021,3,Peralihan I
2021-03-05,1.3646,1.8128,2.2087,776,2021,3,Peralihan I
2021-03-06,1.2934,1.7654,1.9146,776,2021,3,Peralihan I
2021-03-07,1.2595,1.6524,1.9247,776,2021,3,Peralihan I
2021-03-08,1.5403,2.1404,2.4932,776,2021,3,Peralihan I
2021-03-09,1.5799,2.2325,2.5701,776,2021,3,Peralihan I
2021-03-10,1.4478,1.9869,2.2534,776,2021,3,Peralihan I
2021-03-11,1.2970,1.8419,2.2529,776,2021,3,Peralihan I
2021-03-12,1.1682,1.6738,1.7586,776,2021,3,Peralihan I
2021-03-13,1.0712,1.5277,1.6702,776,2021,3,Peralihan I
2021-03-14,1.0589,1.5670,1.8415,776,2021,3,Peralihan I
2021-03-15,1.0845,1.7301,1.8672,776,2021,3,Peralihan I
2021-03-16,1.0439,1.6552,1.7100,776,2021,3,Peralihan I
2021-03-17,0.9224,1.3810,1.4987,776,2021,3,Peralihan I
2021-03-18,0.8956,1.2954,1.6548,776,2021,3,Peralihan I
2021-03-19,1.2883,1.8890,2.2960,776,2021,3,Peralihan I
2021-03-20,1.6677,2.3507,3.0045,776,2021,3,Peralihan I
2021-03-21,1.7354,2.3599,2.6679,776,2021,3,Peralihan I
2021-03-22,1.5876,2.3649,2.6110,776,2021,3,Peralihan I
2021-03-23,1.5431,2.3222,2.5697,776,2021,3,Peralihan I
2021-03-24,1.3824,1.9177,2.1141,776,2021,3,Peralihan I
2021-03-25,1.2029,1.7836,2.1120,776,2021,3,Peralihan I
2021-03-26,1.0957,1.6775,1.9363,776,2021,3,Peralihan I
2021-03-27,0.9910,1.4999,1.7033,776,2021,3,Peralihan I
2021-03-28,1.0014,1.4085,1.6967,776,2021,3,Peralihan I
2021-03-29,1.1009,1.4886,1.6428,776,2021,3,Peralihan I
