tanggal,zona,swh_indeks,ambang_m,terpicu,tahun,bulan,musim
2021-01-01,1,2.16085,2.98714,0,2021,1,Barat
2021-01-02,1,1.78401,2.98714,0,2021,1,Barat
2021-01-03,1,1.59359,2.98714,0,2021,1,Barat
2021-01-04,1,1.68687,2.98714,0,2021,1,Barat
2021-01-05,1,1.64545,2.98714,0,2021,1,Barat
2021-01-06,1,1.87055,2.98714,0,2021,1,Barat
2021-01-07,1,2.38378,2.98714,0,2021,1,Barat
2021-01-08,1,2.37215,2.98714,0,2021,1,Barat
2021-01-09,1,2.22369,2.98714,0,2021,1,Barat
2021-01-10,1,2.18192,2.98714,0,2021,1,Barat
2021-01-11,1,1.93766,2.98714,0,2021,1,Barat
2021-01-12,1,2.00100,2.98714,0,2021,1,Barat
2021-01-13,1,2.10957,2.98714,0,2021,1,Barat
2021-01-14,1,1.97557,2.98714,0,2021,1,Barat
2021-01-15,1,2.12637,2.98714,0,2021,1,Barat
2021-01-16,1,2.12906,2.98714,0,2021,1,Barat
2021-01-17,1,1.98330,2.98714,0,2021,1,Barat
2021-01-18,1,1.81489,2.98714,0,2021,1,Barat
2021-01-19,1,1.91678,2.98714,0,2021,1,Barat
2021-01-20,1,2.00081,2.98714,0,2021,1,Barat
2021-01-21,1,1.75212,2.98714,0,2021,1,Barat
2021-01-22,1,2.07910,2.98714,0,2021,1,Barat
2021-01-23,1,2.14848,2.98714,0,2021,1,Barat
2021-01-24,1,2.05334,2.98714,0,2021,1,Barat
2021-01-25,1,2.23823,2.98714,0,2021,1,Barat
2021-01-26,1,2.21210,2.98714,0,2021,1,Barat
2021-01-27,1,2.15907,2.98714,0,2021,1,Barat
2021-01-28,1,1.87193,2.98714,0,2021,1,Barat
2021-01-29,1,2.16221,2.98714,0,2021,1,Barat
2021-01-30,1,2.58621,2.98714,0,2021,1,Barat
2021-01-31,1,2.75101,2.98714,0,2021,1,Barat
2021-02-01,1,2.43469,2.98714,0,2021,2,Barat
