lat,lon,zona,korelasi_thd_indeks
-7.0000,104.0000,1,0.8736
-7.0000,104.5000,1,0.8808
-7.0000,105.0000,1,0.8893
-7.0000,105.5000,1,0.8707
-7.0000,106.0000,1,0.9233
-7.0000,109.0000,3,0.7378
-7.0000,109.5000,3,0.7416
-7.0000,110.0000,3,0.7501
-7.0000,110.5000,3,0.7395
-7.0000,113.0000,2,0.8299
-7.0000,113.5000,2,0.8774
-7.0000,114.0000,2,0.9428
-7.0000,114.5000,2,0.9441
-7.0000,115.0000,2,0.9123
-7.0000,115.5000,2,0.9449
-7.0000,116.0000,2,0.9378
-7.0000,116.5000,2,0.9230
-7.0000,117.0000,2,0.9002
-7.0000,117.5000,3,0.9114
-7.0000,118.0000,3,0.9245
-7.0000,118.5000,3,0.9236
-7.0000,119.0000,3,0.9353
-7.0000,119.5000,3,0.9418
-7.0000,120.0000,3,0.9404
-7.0000,120.5000,3,0.9324
-7.0000,121.0000,3,0.9096
-7.0000,121.5000,3,0.8937
-7.0000,122.0000,3,0.8610
-7.0000,122.5000,3,0.8494
-7.0000,123.0000,3,0.8301
-7.0000,123.5000,3,0.8070
-7.0000,124.0000,3,0.7776
-7.0000,124.5000,6,0.8001
-7.0000,125.0000,6,0.8174
-7.0000,125.5000,6,0.8376
-7.0000,126.0000,6,0.8609
-7.0000,126.5000,6,0.8717
-7.0000,127.0000,6,0.8654
-7.0000,127.5000,6,0.8544
-7.0000,128.0000,6,0.8484
-7.5000,104.0000,1,0.8758
-7.5000,104.5000,1,0.8839
-7.5000,105.0000,1,0.8912
-7.5000,105.5000,1,0.8972
-7.5000,106.0000,1,0.9096
-7.5000,106.5000,1,0.9353
-7.5000,107.0000,1,0.9601
-7.5000,107.5000,1,0.9583
-7.5000,113.0000,2,0.8684
-7.5000,113.5000,2,0.9287
-7.5000,114.0000,2,0.9650
-7.5000,114.5000,2,0.9468
-7.5000,115.0000,2,0.9503
-7.5000,115.5000,2,0.9600
-7.5000,116.0000,2,0.9238
-7.5000,116.5000,2,0.9233
-7.5000,117.0000,3,0.9217
-7.5000,117.5000,3,0.9410
-7.5000,118.0000,3,0.9427
-7.5000,118.5000,3,0.9476
-7.5000,119.0000,3,0.9618
-7.5000,119.5000,3,0.9707
-7.5000,120.0000,3,0.9607
-7.5000,120.5000,3,0.9543
-7.5000,121.0000,3,0.9489
-7.5000,121.5000,3,0.9386
-7.5000,122.0000,3,0.9156
-7.5000,122.5000,3,0.9100
-7.5000,123.0000,3,0.8928
-7.5000,123.5000,3,0.8774
-7.5000,124.0000,3,0.8526
-7.5000,124.5000,3,0.8222
-7.5000,125.0000,3,0.8113
-7.5000,125.5000,6,0.8367
-7.5000,126.0000,6,0.8327
-7.5000,126.5000,6,0.8449
-7.5000,127.0000,6,0.9026
-7.5000,127.5000,6,0.8812
-7.5000,128.0000,6,0.8742
-8.0000,104.0000,1,0.8756
-8.0000,104.5000,1,0.8851
-8.0000,105.0000,1,0.8926
-8.0000,105.5000,1,0.8956
-8.0000,106.0000,1,0.9023
-8.0000,106.5000,1,0.9165
-8.0000,107.0000,1,0.9370
-8.0000,107.5000,1,0.9559
-8.0000,108.0000,1,0.9687
-8.0000,108.5000,1,0.9780
-8.0000,109.0000,1,0.9809
-8.0000,109.5000,1,0.9846
-8.0000,114.5000,2,0.7089
-8.0000,115.0000,2,0.9553
-8.0000,115.5000,2,0.9440
-8.0000,116.0000,2,0.8146
-8.0000,116.5000,3,0.8895
-8.0000,117.0000,3,0.9325
-8.0000,117.5000,3,0.9477
-8.0000,118.0000,3,0.9689
-8.0000,118.5000,3,0.9708
-8.0000,119.0000,3,0.9496
-8.0000,119.5000,3,0.9694
-8.0000,120.0000,3,0.9625
-8.0000,120.5000,3,0.9662
-8.0000,121.0000,3,0.9624
-8.0000,121.5000,3,0.9586
-8.0000,122.0000,3,0.9594
-8.0000,122.5000,3,0.9548
-8.0000,123.0000,3,0.9339
-8.0000,123.5000,3,0.9210
-8.0000,124.0000,3,0.9020
-8.0000,124.5000,3,0.8602
-8.0000,125.0000,3,0.7995
-8.0000,125.5000,3,0.8041
-8.0000,126.0000,6,0.8012
-8.0000,126.5000,6,0.9088
-8.0000,127.0000,6,0.9297
-8.0000,127.5000,6,0.9151
-8.0000,128.0000,6,0.8947
-8.5000,104.0000,1,0.8736
-8.5000,104.5000,1,0.8835
-8.5000,105.0000,1,0.8906
-8.5000,105.5000,1,0.8911
-8.5000,106.0000,1,0.8972
-8.5000,106.5000,1,0.9129
-8.5000,107.0000,1,0.9281
-8.5000,107.5000,1,0.9407
-8.5000,108.0000,1,0.9492
-8.5000,108.5000,1,0.9592
-8.5000,109.0000,1,0.9683
-8.5000,109.5000,1,0.9742
-8.5000,110.0000,1,0.9797
-8.5000,110.5000,1,0.9859
-8.5000,111.0000,1,0.9904
-8.5000,111.5000,1,0.9907
-8.5000,112.0000,1,0.9895
-8.5000,112.5000,1,0.9887
-8.5000,113.0000,1,0.9793
-8.5000,113.5000,1,0.9754
-8.5000,114.0000,1,0.9718
-8.5000,114.5000,1,0.9657
-8.5000,115.5000,1,0.9506
-8.5000,116.0000,1,0.9056
-8.5000,116.5000,1,0.8033
-8.5000,117.0000,3,0.8699
-8.5000,118.0000,4,0.8462
-8.5000,119.5000,4,0.8055
-8.5000,122.5000,4,0.8529
-8.5000,123.0000,4,0.8847
-8.5000,123.5000,4,0.8668
-8.5000,124.0000,4,0.8577
-8.5000,124.5000,4,0.8438
-8.5000,125.0000,4,0.7919
-8.5000,127.5000,6,0.9705
-8.5000,128.0000,6,0.9657
-9.0000,104.0000,1,0.8695
-9.0000,104.5000,1,0.8790
-9.0000,105.0000,1,0.8863
-9.0000,105.5000,1,0.8820
-9.0000,106.0000,1,0.8864
-9.0000,106.5000,1,0.9064
-9.0000,107.0000,1,0.9213
-9.0000,107.5000,1,0.9322
-9.0000,108.0000,1,0.9418
-9.0000,108.5000,1,0.9502
-9.0000,109.0000,1,0.9577
-9.0000,109.5000,1,0.9638
-9.0000,110.0000,1,0.9692
-9.0000,110.5000,1,0.9745
-9.0000,111.0000,1,0.9786
-9.0000,111.5000,1,0.9810
-9.0000,112.0000,1,0.9824
-9.0000,112.5000,1,0.9816
-9.0000,113.0000,1,0.9779
-9.0000,113.5000,1,0.9743
-9.0000,114.0000,1,0.9720
-9.0000,114.5000,1,0.9696
-9.0000,115.0000,1,0.9679
-9.0000,115.5000,1,0.9647
-9.0000,116.0000,1,0.9653
-9.0000,116.5000,1,0.9635
-9.0000,117.0000,1,0.9534
-9.0000,117.5000,1,0.9453
-9.0000,118.0000,1,0.9422
-9.0000,118.5000,1,0.9322
-9.0000,119.0000,1,0.9058
-9.0000,119.5000,4,0.9420
-9.0000,120.0000,4,0.8929
-9.0000,120.5000,4,0.8792
-9.0000,121.0000,4,0.8822
-9.0000,121.5000,4,0.8894
-9.0000,122.0000,4,0.9070
-9.0000,122.5000,4,0.9088
-9.0000,123.0000,4,0.8670
-9.0000,123.5000,4,0.8215
-9.0000,124.0000,4,0.8623
-9.0000,124.5000,4,0.8412
-9.0000,126.0000,6,0.9309
-9.0000,126.5000,6,0.9430
-9.0000,127.0000,6,0.9575
-9.0000,127.5000,6,0.9708
-9.0000,128.0000,6,0.9693
-9.5000,104.0000,1,0.8621
-9.5000,104.5000,1,0.8719
-9.5000,105.0000,1,0.8813
-9.5000,105.5000,1,0.8659
-9.5000,106.0000,1,0.8739
-9.5000,106.5000,1,0.9008
-9.5000,107.0000,1,0.9158
-9.5000,107.5000,1,0.9261
-9.5000,108.0000,1,0.9348
-9.5000,108.5000,1,0.9423
-9.5000,109.0000,1,0.9490
-9.5000,109.5000,1,0.9555
-9.5000,110.0000,1,0.9603
-9.5000,110.5000,1,0.9639
-9.5000,111.0000,1,0.9676
-9.5000,111.5000,1,0.9706
-9.5000,112.0000,1,0.9723
-9.5000,112.5000,1,0.9724
-9.5000,113.0000,1,0.9709
-9.5000,113.5000,1,0.9687
-9.5000,114.0000,1,0.9662
-9.5000,114.5000,1,0.9633
-9.5000,115.0000,1,0.9606
-9.5000,115.5000,1,0.9573
-9.5000,116.0000,1,0.9531
-9.5000,116.5000,1,0.9477
-9.5000,117.0000,1,0.9411
-9.5000,117.5000,1,0.9339
-9.5000,118.0000,1,0.9266
-9.5000,118.5000,1,0.9164
-9.5000,119.0000,4,0.8818
-9.5000,119.5000,4,0.9118
-9.5000,120.0000,4,0.8320
-9.5000,120.5000,4,0.8121
-9.5000,121.0000,4,0.8988
-9.5000,121.5000,4,0.9562
-9.5000,122.0000,4,0.9563
-9.5000,122.5000,4,0.9506
-9.5000,123.0000,4,0.9246
-9.5000,123.5000,4,0.8230
-9.5000,124.0000,4,0.7396
-9.5000,125.5000,6,0.9512
-9.5000,126.0000,6,0.9613
-9.5000,126.5000,6,0.9634
-9.5000,127.0000,6,0.9644
-9.5000,127.5000,6,0.9643
-9.5000,128.0000,6,0.9591
-10.0000,104.0000,1,0.8516
-10.0000,104.5000,1,0.8625
-10.0000,105.0000,1,0.8730
-10.0000,105.5000,1,0.8379
-10.0000,106.0000,1,0.8639
-10.0000,106.5000,1,0.8954
-10.0000,107.0000,1,0.9088
-10.0000,107.5000,1,0.9180
-10.0000,108.0000,1,0.9260
-10.0000,108.5000,1,0.9328
-10.0000,109.0000,1,0.9388
-10.0000,109.5000,1,0.9448
-10.0000,110.0000,1,0.9499
-10.0000,110.5000,1,0.9535
-10.0000,111.0000,1,0.9562
-10.0000,111.5000,1,0.9589
-10.0000,112.0000,1,0.9607
-10.0000,112.5000,1,0.9617
-10.0000,113.0000,1,0.9614
-10.0000,113.5000,1,0.9598
-10.0000,114.0000,1,0.9579
-10.0000,114.5000,1,0.9551
-10.0000,115.0000,1,0.9510
-10.0000,115.5000,1,0.9466
-10.0000,116.0000,1,0.9411
-10.0000,116.5000,1,0.9343
