provinsi,tahun,bulan,ntn,sumber
BALI,2020,1,100.49,perikanan_gabungan
BALI,2020,2,99.37,perikanan_gabungan
BALI,2020,3,100.16,perikanan_gabungan
BALI,2020,4,98.70,perikanan_gabungan
BALI,2020,5,98.85,perikanan_gabungan
BALI,2020,6,99.57,perikanan_gabungan
BALI,2020,7,99.80,perikanan_gabungan
BALI,2020,8,99.18,perikanan_gabungan
BALI,2020,9,100.38,perikanan_gabungan
BALI,2020,10,100.30,perikanan_gabungan
BALI,2020,11,98.52,perikanan_gabungan
BALI,2020,12,100.11,perikanan_gabungan
BALI,2021,1,98.82,perikanan_gabungan
BALI,2021,2,98.92,perikanan_gabungan
BALI,2021,3,97.90,perikanan_gabungan
BALI,2021,4,100.00,perikanan_gabungan
BALI,2021,5,99.24,perikanan_gabungan
BALI,2021,6,100.95,perikanan_gabungan
BALI,2021,7,101.62,perikanan_gabungan
BALI,2021,8,100.03,perikanan_gabungan
BALI,2021,9,101.97,perikanan_gabungan
BALI,2021,10,100.92,perikanan_gabungan
BALI,2021,11,101.03,perikanan_gabungan
BALI,2021,12,101.54,perikanan_gabungan
BALI,2022,1,101.87,perikanan_gabungan
BALI,2022,2,99.97,perikanan_gabungan
BALI,2022,3,99.92,perikanan_gabungan
BALI,2022,4,100.17,perikanan_gabungan
BALI,2022,5,101.33,perikanan_gabungan
BALI,2022,6,101.07,perikanan_gabungan
BALI,2022,7,102.26,perikanan_gabungan
BALI,2022,8,102.32,perikanan_gabungan
BALI,2022,9,99.84,perikanan_gabungan
BALI,2022,10,98.72,perikanan_gabungan
BALI,2022,11,99.27,perikanan_gabungan
BALI,2022,12,98.90,perikanan_gabungan
BALI,2023,1,100.72,perikanan_gabungan
BALI,2023,2,102.99,perikanan_gabungan
BALI,2023,3,100.32,perikanan_gabungan
BALI,2023,4,100.98,perikanan_gabungan
BALI,2023,5,103.01,perikanan_gabungan
BALI,2023,6,102.09,perikanan_gabungan
BALI,2023,7,102.81,perikanan_gabungan
BALI,2023,8,102.29,perikanan_gabungan
BALI,2023,9,101.77,perikanan_gabungan
BALI,2023,10,101.17,perikanan_gabungan
BALI,2023,11,98.35,perikanan_gabungan
BALI,2023,12,95.80,perikanan_gabungan
BALI,2024,1,93.77,perikanan_gabungan
BALI,2024,2,91.33,perikanan_gabungan
BALI,2024,3,92.12,perikanan_gabungan
BALI,2024,4,92.21,perikanan_gabungan
BALI,2024,5,93.97,perikanan_gabungan
BALI,2024,6,95.13,perikanan_gabungan
BALI,2024,7,92.70,perikanan_gabungan
BALI,2024,8,93.65,perikanan_gabungan
BALI,2024,9,94.45,perikanan_gabungan
BALI,2024,10,92.50,perikanan_gabungan
BALI,2024,11,93.86,perikanan_gabungan
BALI,2024,12,94.65,perikanan_gabungan
BALI,2025,1,95.14,perikanan_gabungan
BALI,2025,2,98.21,perikanan_gabungan
BALI,2025,3,95.40,perikanan_gabungan
BALI,2025,4,95.85,perikanan_gabungan
BALI,2025,5,97.91,perikanan_gabungan
BALI,2025,6,97.98,perikanan_gabungan
BALI,2025,7,97.03,perikanan_gabungan
BALI,2025,8,97.62,perikanan_gabungan
BALI,2025,9,100.04,perikanan_gabungan
BALI,2025,10,98.90,perikanan_gabungan
BALI,2025,11,98.53,perikanan_gabungan
BALI,2025,12,98.94,perikanan_gabungan
BALI,2026,1,102.16,perikanan_gabungan
BALI,2026,2,102.93,perikanan_gabungan
BALI,2026,3,104.13,perikanan_gabungan
BALI,2026,4,102.16,perikanan_gabungan
BALI,2026,5,103.41,perikanan_gabungan
BALI,2026,6,101.54,perikanan_gabungan
BALI,2026,7,104.18,perikanan_gabungan
BALI,2026,8,105.35,perikanan_gabungan
