provinsi,tahun,bulan,ntn,sumber
BANTEN,2020,1,100.42,perikanan_gabungan
BANTEN,2020,2,99.50,perikanan_gabungan
BANTEN,2020,3,99.40,perikanan_gabungan
BANTEN,2020,4,98.22,perikanan_gabungan
BANTEN,2020,5,97.96,perikanan_gabungan
BANTEN,2020,6,98.47,perikanan_gabungan
BANTEN,2020,7,97.33,perikanan_gabungan
BANTEN,2020,8,97.60,perikanan_gabungan
BANTEN,2020,9,97.45,perikanan_gabungan
BANTEN,2020,10,97.67,perikanan_gabungan
BANTEN,2020,11,97.75,perikanan_gabungan
BANTEN,2020,12,98.73,perikanan_gabungan
BANTEN,2021,1,98.65,perikanan_gabungan
BANTEN,2021,2,100.02,perikanan_gabungan
BANTEN,2021,3,100.45,perikanan_gabungan
BANTEN,2021,4,100.84,perikanan_gabungan
BANTEN,2021,5,101.39,perikanan_gabungan
BANTEN,2021,6,101.04,perikanan_gabungan
BANTEN,2021,7,100.85,perikanan_gabungan
BANTEN,2021,8,100.38,perikanan_gabungan
BANTEN,2021,9,101.80,perikanan_gabungan
BANTEN,2021,10,102.83,perikanan_gabungan
BANTEN,2021,11,102.14,perikanan_gabungan
BANTEN,2021,12,101.94,perikanan_gabungan
BANTEN,2022,1,102.12,perikanan_gabungan
BANTEN,2022,2,102.99,perikanan_gabungan
BANTEN,2022,3,103.44,perikanan_gabungan
BANTEN,2022,4,103.87,perikanan_gabungan
BANTEN,2022,5,103.08,perikanan_gabungan
BANTEN,2022,6,102.42,perikanan_gabungan
BANTEN,2022,7,102.34,perikanan_gabungan
BANTEN,2022,8,102.43,perikanan_gabungan
BANTEN,2022,9,101.69,perikanan_gabungan
BANTEN,2022,10,101.02,perikanan_gabungan
BANTEN,2022,11,100.75,perikanan_gabungan
BANTEN,2022,12,100.41,perikanan_gabungan
BANTEN,2023,1,100.19,perikanan_gabungan
BANTEN,2023,2,99.66,perikanan_gabungan
BANTEN,2023,3,99.55,perikanan_gabungan
BANTEN,2023,4,100.18,perikanan_gabungan
BANTEN,2023,5,100.21,perikanan_gabungan
BANTEN,2023,6,99.92,perikanan_gabungan
BANTEN,2023,7,100.01,perikanan_gabungan
BANTEN,2023,8,100.27,perikanan_gabungan
BANTEN,2023,9,99.71,perikanan_gabungan
BANTEN,2023,10,99.36,perikanan_gabungan
BANTEN,2023,11,98.58,perikanan_gabungan
BANTEN,2023,12,98.10,perikanan_gabungan
BANTEN,2024,1,96.88,perikanan_gabungan
BANTEN,2024,2,96.68,perikanan_gabungan
BANTEN,2024,3,97.72,perikanan_gabungan
BANTEN,2024,4,96.27,perikanan_gabungan
BANTEN,2024,5,96.03,perikanan_gabungan
BANTEN,2024,6,96.17,perikanan_gabungan
BANTEN,2024,7,95.88,perikanan_gabungan
BANTEN,2024,8,96.16,perikanan_gabungan
BANTEN,2024,9,97.40,perikanan_gabungan
BANTEN,2024,10,97.27,perikanan_gabungan
BANTEN,2024,11,96.44,perikanan_gabungan
BANTEN,2024,12,97.30,perikanan_gabungan
BANTEN,2025,1,95.95,perikanan_gabungan
BANTEN,2025,2,97.07,perikanan_gabungan
BANTEN,2025,3,96.63,perikanan_gabungan
BANTEN,2025,4,96.65,perikanan_gabungan
BANTEN,2025,5,96.55,perikanan_gabungan
BANTEN,2025,6,96.59,perikanan_gabungan
BANTEN,2025,7,96.42,perikanan_gabungan
BANTEN,2025,8,97.63,perikanan_gabungan
BANTEN,2025,9,98.52,perikanan_gabungan
BANTEN,2025,10,98.16,perikanan_gabungan
BANTEN,2025,11,98.54,perikanan_gabungan
BANTEN,2025,12,99.37,perikanan_gabungan
BANTEN,2026,1,100.09,perikanan_gabungan
BANTEN,2026,2,101.33,perikanan_gabungan
BANTEN,2026,3,100.21,perikanan_gabungan
BANTEN,2026,4,100.23,perikanan_gabungan
BANTEN,2026,5,99.88,perikanan_gabungan
BANTEN,2026,6,99.31,perikanan_gabungan
BANTEN,2026,7,99.74,perikanan_gabungan
BANTEN,2026,8,100.09,perikanan_gabungan
