provinsi,tahun,bulan,ntn,sumber
DAERAH ISTIMEWA YOGYAKARTA,2020,1,95.96,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,2,94.77,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,3,94.74,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,4,94.55,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,5,94.70,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,6,95.67,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,7,97.16,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,8,96.21,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,9,97.62,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,10,98.57,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,11,98.39,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2020,12,96.85,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,1,96.95,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,2,96.51,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,3,94.12,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,4,94.14,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,5,94.36,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,6,94.41,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,7,93.97,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,8,93.83,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,9,94.20,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,10,93.76,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,11,93.32,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2021,12,92.83,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,1,93.26,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,2,93.18,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,3,92.80,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,4,92.71,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,5,92.87,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,6,92.04,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,7,91.98,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,8,93.44,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,9,93.04,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,10,93.19,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,11,92.73,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2022,12,92.49,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,1,92.57,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,2,92.21,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,3,92.01,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,4,91.91,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,5,91.21,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,6,91.41,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,7,91.29,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,8,91.52,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,9,91.30,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,10,91.23,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,11,90.52,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2023,12,90.25,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,1,89.66,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,2,89.30,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,3,88.98,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,4,89.25,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,5,88.75,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,6,88.74,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,7,88.87,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,8,89.23,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,9,89.47,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,10,89.24,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,11,88.70,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2024,12,88.65,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,1,89.47,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,2,92.57,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,3,93.19,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,4,91.41,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,5,93.87,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,6,93.53,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,7,92.61,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,8,94.63,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,9,92.67,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,10,94.02,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,11,93.80,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2025,12,95.94,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2026,1,95.50,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2026,2,94.80,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2026,3,96.44,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2026,4,96.92,perikanan_gabungan
DAERAH ISTIMEWA YOGYAKARTA,2026,5,95.63,perikanan_gabungan
