provinsi,tahun,bulan,ntn,sumber
JAWA BARAT,2020,6,97.27,perikanan_tangkap
JAWA BARAT,2020,7,97.28,perikanan_tangkap
JAWA BARAT,2020,8,99.07,perikanan_tangkap
JAWA BARAT,2020,9,101.35,perikanan_tangkap
JAWA BARAT,2020,10,102.27,perikanan_tangkap
JAWA BARAT,2020,11,103.39,perikanan_tangkap
JAWA BARAT,2020,12,104.30,perikanan_tangkap
JAWA BARAT,2021,1,106.36,perikanan_tangkap
JAWA BARAT,2021,2,104.86,perikanan_tangkap
JAWA BARAT,2021,3,105.42,perikanan_tangkap
JAWA BARAT,2021,4,107.32,perikanan_tangkap
JAWA BARAT,2021,5,107.86,perikanan_tangkap
JAWA BARAT,2021,6,108.27,perikanan_tangkap
JAWA BARAT,2021,7,108.45,perikanan_tangkap
JAWA BARAT,2021,8,109.49,perikanan_tangkap
JAWA BARAT,2021,9,110.21,perikanan_tangkap
JAWA BARAT,2021,10,112.67,perikanan_tangkap
JAWA BARAT,2021,11,112.12,perikanan_tangkap
JAWA BARAT,2021,12,113.23,perikanan_tangkap
JAWA BARAT,2022,1,113.64,perikanan_tangkap
JAWA BARAT,2022,2,114.70,perikanan_tangkap
JAWA BARAT,2022,3,113.78,perikanan_tangkap
JAWA BARAT,2022,4,111.56,perikanan_tangkap
JAWA BARAT,2022,5,113.79,perikanan_tangkap
JAWA BARAT,2022,6,113.32,perikanan_tangkap
JAWA BARAT,2022,7,111.30,perikanan_tangkap
JAWA BARAT,2022,8,111.41,perikanan_tangkap
JAWA BARAT,2022,9,108.85,perikanan_tangkap
JAWA BARAT,2022,10,111.02,perikanan_tangkap
JAWA BARAT,2022,11,111.36,perikanan_tangkap
JAWA BARAT,2022,12,110.50,perikanan_tangkap
JAWA BARAT,2023,1,110.36,perikanan_tangkap
JAWA BARAT,2023,2,111.76,perikanan_tangkap
JAWA BARAT,2023,3,111.32,perikanan_tangkap
JAWA BARAT,2023,4,113.08,perikanan_tangkap
JAWA BARAT,2023,5,113.42,perikanan_tangkap
JAWA BARAT,2023,6,113.87,perikanan_tangkap
JAWA BARAT,2023,7,113.82,perikanan_tangkap
JAWA BARAT,2023,8,115.31,perikanan_tangkap
JAWA BARAT,2023,9,115.59,perikanan_tangkap
JAWA BARAT,2023,10,116.93,perikanan_tangkap
JAWA BARAT,2023,11,116.89,perikanan_tangkap
JAWA BARAT,2023,12,113.40,perikanan_tangkap
JAWA BARAT,2024,1,113.93,perikanan_tangkap
JAWA BARAT,2024,2,113.35,perikanan_tangkap
JAWA BARAT,2024,3,111.40,perikanan_tangkap
JAWA BARAT,2024,4,112.90,perikanan_tangkap
JAWA BARAT,2024,5,112.21,perikanan_tangkap
JAWA BARAT,2024,6,112.65,perikanan_tangkap
JAWA BARAT,2024,7,112.98,perikanan_tangkap
JAWA BARAT,2024,8,113.61,perikanan_tangkap
JAWA BARAT,2024,9,113.61,perikanan_tangkap
JAWA BARAT,2024,10,112.18,perikanan_tangkap
JAWA BARAT,2024,11,111.95,perikanan_tangkap
JAWA BARAT,2024,12,110.23,perikanan_tangkap
JAWA BARAT,2025,1,109.11,perikanan_tangkap
JAWA BARAT,2025,2,110.61,perikanan_tangkap
JAWA BARAT,2025,3,112.54,perikanan_tangkap
JAWA BARAT,2025,4,113.21,perikanan_tangkap
JAWA BARAT,2025,5,113.54,perikanan_tangkap
JAWA BARAT,2025,6,113.50,perikanan_tangkap
JAWA BARAT,2025,7,113.44,perikanan_tangkap
JAWA BARAT,2025,8,114.09,perikanan_tangkap
JAWA BARAT,2025,9,113.22,perikanan_tangkap
JAWA BARAT,2025,10,113.98,perikanan_tangkap
JAWA BARAT,2025,11,114.43,perikanan_tangkap
JAWA BARAT,2025,12,113.85,perikanan_tangkap
JAWA BARAT,2026,1,118.14,perikanan_tangkap
JAWA BARAT,2026,2,119.24,perikanan_tangkap
JAWA BARAT,2026,3,119.32,perikanan_tangkap
JAWA BARAT,2026,4,117.89,perikanan_tangkap
JAWA BARAT,2026,5,116.87,perikanan_tangkap
JAWA BARAT,2026,6,117.69,perikanan_tangkap
JAWA BARAT,2026,7,118.65,perikanan_tangkap
JAWA BARAT,2026,8,118.56,perikanan_tangkap
