provinsi,tahun,bulan,ntn,sumber
JAWA TENGAH,2023,1,106.45,perikanan_tangkap_hitung
JAWA TENGAH,2023,2,105.89,perikanan_tangkap_hitung
JAWA TENGAH,2023,3,106.51,perikanan_tangkap_hitung
JAWA TENGAH,2023,4,106.08,perikanan_tangkap_hitung
JAWA TENGAH,2023,5,105.84,perikanan_tangkap_hitung
JAWA TENGAH,2023,6,105.42,perikanan_tangkap_hitung
JAWA TENGAH,2023,7,104.15,perikanan_tangkap_hitung
JAWA TENGAH,2023,8,104.35,perikanan_tangkap_hitung
JAWA TENGAH,2023,9,104.49,perikanan_tangkap_hitung
JAWA TENGAH,2023,10,104.13,perikanan_tangkap_hitung
JAWA TENGAH,2023,11,103.55,perikanan_tangkap_hitung
JAWA TENGAH,2023,12,103.40,perikanan_tangkap_hitung
JAWA TENGAH,2024,1,100.84,perikanan_tangkap_hitung
JAWA TENGAH,2024,2,99.88,perikanan_tangkap_hitung
JAWA TENGAH,2024,3,101.33,perikanan_tangkap_hitung
JAWA TENGAH,2024,4,101.15,perikanan_tangkap_hitung
JAWA TENGAH,2024,5,100.52,perikanan_tangkap_hitung
JAWA TENGAH,2024,6,99.33,perikanan_tangkap_hitung
JAWA TENGAH,2024,7,99.88,perikanan_tangkap_hitung
JAWA TENGAH,2024,8,99.06,perikanan_tangkap_hitung
JAWA TENGAH,2024,9,98.78,perikanan_tangkap_hitung
JAWA TENGAH,2024,10,98.78,perikanan_tangkap_hitung
JAWA TENGAH,2024,11,99.45,perikanan_tangkap_hitung
JAWA TENGAH,2024,12,100.36,perikanan_tangkap_hitung
JAWA TENGAH,2025,1,100.16,perikanan_tangkap_hitung
JAWA TENGAH,2025,2,100.19,perikanan_tangkap_hitung
JAWA TENGAH,2025,3,99.54,perikanan_tangkap_hitung
JAWA TENGAH,2025,4,98.10,perikanan_tangkap_hitung
JAWA TENGAH,2025,5,97.76,perikanan_tangkap_hitung
JAWA TENGAH,2025,6,97.66,perikanan_tangkap_hitung
JAWA TENGAH,2025,7,97.71,perikanan_tangkap_hitung
JAWA TENGAH,2025,8,98.62,perikanan_tangkap_hitung
JAWA TENGAH,2025,9,99.08,perikanan_tangkap_hitung
JAWA TENGAH,2025,10,98.41,perikanan_tangkap_hitung
JAWA TENGAH,2025,11,98.14,perikanan_tangkap_hitung
JAWA TENGAH,2025,12,98.67,perikanan_tangkap_hitung
