provinsi,tahun,bulan,ntn,sumber
JAWA TIMUR,2019,1,98.14,NTN_2018_var523
JAWA TIMUR,2019,2,98.21,NTN_2018_var523
JAWA TIMUR,2019,3,97.66,NTN_2018_var523
JAWA TIMUR,2019,4,97.40,NTN_2018_var523
JAWA TIMUR,2019,5,98.14,NTN_2018_var523
JAWA TIMUR,2019,6,97.75,NTN_2018_var523
JAWA TIMUR,2019,7,98.34,NTN_2018_var523
JAWA TIMUR,2019,8,99.57,NTN_2018_var523
JAWA TIMUR,2019,9,100.29,NTN_2018_var523
JAWA TIMUR,2019,10,99.71,NTN_2018_var523
JAWA TIMUR,2019,11,98.05,NTN_2018_var523
JAWA TIMUR,2019,12,98.01,NTN_2018_var523
JAWA TIMUR,2020,1,98.51,NTN_2018_var523
JAWA TIMUR,2020,2,97.14,NTN_2018_var523
JAWA TIMUR,2020,3,96.86,NTN_2018_var523
JAWA TIMUR,2020,4,94.26,NTN_2018_var523
JAWA TIMUR,2020,5,93.90,NTN_2018_var523
JAWA TIMUR,2020,6,95.43,NTN_2018_var523
JAWA TIMUR,2020,7,95.04,NTN_2018_var523
JAWA TIMUR,2020,8,95.25,NTN_2018_var523
JAWA TIMUR,2020,9,95.41,NTN_2018_var523
JAWA TIMUR,2020,10,95.72,NTN_2018_var523
JAWA TIMUR,2020,11,95.48,NTN_2018_var523
JAWA TIMUR,2020,12,96.26,NTN_2018_var523
JAWA TIMUR,2021,1,96.60,NTN_2018_var523
JAWA TIMUR,2021,2,98.42,NTN_2018_var523
JAWA TIMUR,2021,3,96.90,NTN_2018_var523
JAWA TIMUR,2021,4,98.62,NTN_2018_var523
JAWA TIMUR,2021,5,101.24,NTN_2018_var523
JAWA TIMUR,2021,6,101.22,NTN_2018_var523
JAWA TIMUR,2021,7,101.85,NTN_2018_var523
JAWA TIMUR,2021,8,103.19,NTN_2018_var523
JAWA TIMUR,2021,9,104.15,NTN_2018_var523
JAWA TIMUR,2021,10,104.31,NTN_2018_var523
JAWA TIMUR,2021,11,104.21,NTN_2018_var523
JAWA TIMUR,2021,12,102.61,NTN_2018_var523
JAWA TIMUR,2022,1,103.92,NTN_2018_var523
JAWA TIMUR,2022,2,104.95,NTN_2018_var523
JAWA TIMUR,2022,3,103.32,NTN_2018_var523
JAWA TIMUR,2022,4,104.70,NTN_2018_var523
JAWA TIMUR,2022,5,104.95,NTN_2018_var523
JAWA TIMUR,2022,6,103.84,NTN_2018_var523
JAWA TIMUR,2022,7,105.10,NTN_2018_var523
JAWA TIMUR,2022,8,104.62,NTN_2018_var523
JAWA TIMUR,2022,9,102.45,NTN_2018_var523
JAWA TIMUR,2022,10,102.83,NTN_2018_var523
JAWA TIMUR,2022,11,101.78,NTN_2018_var523
JAWA TIMUR,2022,12,102.51,NTN_2018_var523
JAWA TIMUR,2023,1,100.61,NTN_2018_var523
JAWA TIMUR,2023,2,101.63,NTN_2018_var523
JAWA TIMUR,2023,3,101.71,NTN_2018_var523
JAWA TIMUR,2023,4,102.22,NTN_2018_var523
JAWA TIMUR,2023,5,101.39,NTN_2018_var523
JAWA TIMUR,2023,6,100.10,NTN_2018_var523
JAWA TIMUR,2023,7,101.88,NTN_2018_var523
JAWA TIMUR,2023,8,101.70,NTN_2018_var523
JAWA TIMUR,2023,9,100.01,NTN_2018_var523
JAWA TIMUR,2023,10,99.92,NTN_2018_var523
JAWA TIMUR,2023,11,98.11,NTP_subsektor_var613
JAWA TIMUR,2024,1,94.73,NTP_subsektor_var613
JAWA TIMUR,2024,2,92.92,NTP_subsektor_var613
JAWA TIMUR,2024,3,95.09,NTP_subsektor_var613
JAWA TIMUR,2024,4,95.67,NTP_subsektor_var613
JAWA TIMUR,2024,5,93.72,NTP_subsektor_var613
JAWA TIMUR,2024,6,93.86,NTP_subsektor_var613
JAWA TIMUR,2024,7,94.12,NTP_subsektor_var613
JAWA TIMUR,2024,8,93.81,NTP_subsektor_var613
JAWA TIMUR,2024,9,94.51,NTP_subsektor_var613
JAWA TIMUR,2024,10,94.86,NTP_subsektor_var613
JAWA TIMUR,2024,11,94.78,NTP_subsektor_var613
JAWA TIMUR,2024,12,96.92,NTP_subsektor_var613
JAWA TIMUR,2025,1,98.09,NTP_subsektor_var613
JAWA TIMUR,2025,2,100.85,NTP_subsektor_var613
JAWA TIMUR,2025,3,100.49,NTP_subsektor_var613
JAWA TIMUR,2025,4,97.84,NTP_subsektor_var613
JAWA TIMUR,2025,5,97.65,NTP_subsektor_var613
JAWA TIMUR,2025,6,96.90,NTP_subsektor_var613
JAWA TIMUR,2025,7,99.39,NTP_subsektor_var613
JAWA TIMUR,2025,8,99.34,NTP_subsektor_var613
JAWA TIMUR,2025,9,97.38,NTP_subsektor_var613
JAWA TIMUR,2025,10,97.20,NTP_subsektor_var613
