tabel,provinsi,2019,2020,2021,2022,2023,2024
PTM,BANTEN,946,173,360,661,680,596
PTM,JAWA BARAT,677,220,682,652,547,1320
PTM,JAWA TENGAH,1059,676,1882,526,649,
PTM,DAERAH ISTIMEWA YOGYAKARTA,16,16,,,,
PTM,JAWA TIMUR,3011,1931,6620,1663,1100,454
PTM,BALI,1127,1060,898,830,863,776
PTM,NUSA TENGGARA BARAT,3981,4243,3662,3064,3223,2961
PTM,NUSA TENGGARA TIMUR,16053,16093,11918,7576,5632,6841
PTM,TOTAL NASIONAL,192653,159417,136848,100109,89337,117779
MOTOR_TEMPEL,BANTEN,7083,4972,4510,4809,4127,4166
MOTOR_TEMPEL,JAWA BARAT,20346,18460,17805,19871,16247,15483
MOTOR_TEMPEL,JAWA TENGAH,31706,28562,14252,38492,30238,17916
MOTOR_TEMPEL,DAERAH ISTIMEWA YOGYAKARTA,1264,1208,1180,1064,1029,1147
MOTOR_TEMPEL,JAWA TIMUR,37738,40210,53744,41375,31126,25355
MOTOR_TEMPEL,BALI,16993,27755,37085,25766,26315,16506
MOTOR_TEMPEL,NUSA TENGGARA BARAT,21969,29464,22824,22019,23535,23444
MOTOR_TEMPEL,NUSA TENGGARA TIMUR,9763,12128,11951,8773,11033,8271
MOTOR_TEMPEL,TOTAL NASIONAL,427309,503955,476484,429113,418497,458353
KM_TOTAL,BANTEN,10230,9101,7864,11620,9433,8291
KM_TOTAL,JAWA BARAT,4218,4029,6827,9055,5660,8188
KM_TOTAL,JAWA TENGAH,21421,79118,42604,32267,23096,17954
KM_TOTAL,DAERAH ISTIMEWA YOGYAKARTA,67,220,14,62,66,69
KM_TOTAL,JAWA TIMUR,25718,49721,26980,27989,30944,25940
KM_TOTAL,BALI,1435,2106,1135,1977,1566,5325
KM_TOTAL,NUSA TENGGARA BARAT,8275,9862,7086,7856,9088,7939
KM_TOTAL,NUSA TENGGARA TIMUR,11421,16879,14365,13664,12097,11834
KM_TOTAL,TOTAL NASIONAL,316287,497959,390728,364036,372588,358852
KM_LT5,BANTEN,5700,5386,3722,5965,5849,4451
KM_LT5,JAWA BARAT,2049,2985,2826,3656,929,2765
KM_LT5,JAWA TENGAH,10978,66162,35954,15743,11457,6615
KM_LT5,DAERAH ISTIMEWA YOGYAKARTA,3,198,,,,
KM_LT5,JAWA TIMUR,16191,32780,18126,20188,21675,16869
KM_LT5,BALI,792,1299,394,22,668,377
KM_LT5,NUSA TENGGARA BARAT,5722,7841,5364,5433,6328,5232
KM_LT5,NUSA TENGGARA TIMUR,8954,13864,9722,8703,7732,6968
KM_LT5,TOTAL NASIONAL,201924,388617,296764,248695,260844,237214
KM_5_10,BANTEN,2553,2758,3406,3170,2349,1949
KM_5_10,JAWA BARAT,1147,219,1530,2689,2301,2128
KM_5_10,JAWA TENGAH,4079,2686,2027,4957,3063,2711
KM_5_10,DAERAH ISTIMEWA YOGYAKARTA,6,7,,,10,6
KM_5_10,JAWA TIMUR,4804,12010,3872,2490,2444,2226
KM_5_10,BALI,5,6,2,693,1,21
KM_5_10,NUSA TENGGARA BARAT,1250,1136,761,1564,1595,1598
KM_5_10,NUSA TENGGARA TIMUR,1701,2151,2985,3307,2123,1898
KM_5_10,TOTAL NASIONAL,70886,64708,54398,58223,50420,51516
KM_10_30,BANTEN,1959,919,684,2438,1181,1841
KM_10_30,JAWA BARAT,745,476,2064,2337,2045,2882
KM_10_30,JAWA TENGAH,5646,9397,3694,9490,6330,6302
KM_10_30,DAERAH ISTIMEWA YOGYAKARTA,57,14,11,59,54,60
KM_10_30,JAWA TIMUR,4620,4788,4814,5161,6646,6654
KM_10_30,BALI,300,260,160,771,317,4331
KM_10_30,NUSA TENGGARA BARAT,1303,884,948,859,1163,1105
KM_10_30,NUSA TENGGARA TIMUR,766,864,1658,1652,2240,2967
KM_10_30,TOTAL NASIONAL,39164,39241,33140,50475,53812,62158
KM_GT30,BANTEN,18,38,52,47,54,50
KM_GT30,JAWA BARAT,277,349,407,373,385,413
KM_GT30,JAWA TENGAH,718,873,929,2077,2246,2326
KM_GT30,DAERAH ISTIMEWA YOGYAKARTA,1,1,3,3,2,3
KM_GT30,JAWA TIMUR,103,143,168,150,179,191
KM_GT30,BALI,338,541,579,491,580,596
KM_GT30,NUSA TENGGARA BARAT,,1,13,,2,4
KM_GT30,NUSA TENGGARA TIMUR,,,,2,2,1
KM_GT30,TOTAL NASIONAL,4313,5393,6426,6643,7512,7964
