tahun,provinsi,kabupaten_kota,lembar_kerja,pelabuhan,wpp,jenis_kapal,jenis_api,kelompok,jenis_ikan,produksi,nilai_produksi_rp
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KAKAP,KAKAP MAILAH,5.97,250530
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KAKAP,KAKAP MERAH UTARA,12.24,673255
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU COKLAT BERCAK HITAM,3.53,158985
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU EKOR GUNTING,3.51,210420
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,BUBU,KERAPU,KERAPU LUMPUR BINTIK ORANGE,16.14,1048970
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,AYAM-AYAM,JENGGOT KUNING,10.28,123372
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,BANDENG,BULU AYAM CANGKANG,5.52,55240
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,BELOSO,NOMEI,38.89,1166790
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,KEPITING,KEPITING PLONGKOR,11.92,298025
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,LEMURU,SIRO,50.68,1013580
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,PARI,PARI KEKEH,1.81,27210
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,PARI,PARI MERICA,12.67,152064
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,SEBELAH,IKAN SEBELAH,4.97,59592
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,SOTONG,SOTONG FIRON,25.04,876225
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,TERI,TERI,1.13,20268
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING HELA IKAN BERKANTONG,UDANG,UDANG GROGO,33.54,503055
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,ALU-ALU,ALU-ALU,1.10,18666
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,BANDENG,BULU AYAM CANGKANG,1.86,18600
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,BAWAL,BAWAL HITAM,0.92,55200
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,BELOSO,NOMEI,3.70,110910
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,GOLOK-GOLOK,GOLOK-GOLOK,1.18,14148
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,KEMBUNG,KEMBUNG GEPENG,1.63,68628
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,KEPITING,KEPITING PLONGKOR,19.32,482975
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,KERONG-KERONG,KERONG-KERONG JARBUA,9.24,73920
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,KURISI,KURISI AURORA,1.46,21855
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,KURO,SENANGIN MULUT KECIL,1.37,27400
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,KUWE,KAPAS KAPAS SUSU,1.30,45395
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,KUWE,KUWE,0.78,35100
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,LEMURU,SIRO,11.08,221540
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,PEPEREK,PETEK PUGNOSE,3.33,39924
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,SELAR,SELAR KUNING,9.32,233075
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,TALANG-TALANG,TALANG TALANG LYSAN,1.58,15750
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG HANYUT,TENGGIRI,TENGGIRI BATANG,3.71,129745
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI,BANDENG,BULU AYAM CANGKANG,3.47,34730
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI,BELOSO,NOMEI,44.12,1323720
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI,KEMBUNG,KEMBUNG GEPENG,3.21,134946
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI,KEPITING,KEPITING PLONGKOR,24.95,623800
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI,LEMURU,SIRO,35.13,702580
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG KOMBINASI,TENGGIRI,TENGGIRI,1.64,65560
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,GOLOK-GOLOK,GOLOK-GOLOK,8.83,105960
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,HIU,HIU MARTIL,10.83,238172
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,HIU,HIU SUPER,12.52,275462
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,KEPITING,KEPITING PLONGKOR,12.07,301700
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,KUWE,KAPAS KAPAS SUSU,9.05,316645
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,KUWE,KUWE BIBIR TEBAL,11.34,453400
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,MANYUNG,MANYUNG BESAR,11.81,177195
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,PARI,PARI KEKEH,10.72,160755
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,JARING INSANG TETAP,SEBELAH,IKAN SEBELAH,11.84,142116
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,CAKALANG,CAKALANG,3.13,46920
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KAKAP,BADUR,2.02,70595
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KAKAP,KAKAP MAILAH,0.88,36960
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KAKAP,KAKAP MERAH UTARA,6.23,342705
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KAKAP,KAKAP PINJALO MERAH,6.15,215180
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KEMBUNG,KEMBUNG GEPENG,3.71,155862
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KERAPU,KERAPU COKLAT BERCAK HITAM,2.53,113715
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KERAPU,KERAPU EKOR GUNTING,1.35,81180
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KERAPU,KERAPU EKOR KECAPI KUNING,2.90,174120
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KERAPU,KERAPU LUMPUR BINTIK ORANGE,6.91,449345
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KERAPU,KERAPU MACAN,3.29,181060
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,KURISI,KURISI HIJAU,3.74,130725
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,LAYANG,LAYANG JEPANG,2.35,40001
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,LEMURU,SIRO,8.86,177140
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,SELAR,SELAR BENGOL,6.76,169025
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,SELAR,SELAR KUNING,2.47,61775
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,TONGKOL,TONGKOL LISONG,3.81,57090
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,PANCING ULUR,TUNA,TUNA SIRIP KUNING,1.05,43932
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,HIU,HIU MARTIL,3.80,83688
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,HIU,HIU SUPER,5.61,123332
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KAKAP,BADUR,2.04,71365
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KAKAP,KAKAP MAILAH,2.08,87234
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KAKAP,KAKAP MERAH UTARA,4.36,239800
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KAKAP,KAKAP PINJALO MERAH,10.15,355250
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KERAPU,KERAPU COKLAT BERCAK HITAM,2.50,112680
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KERAPU,KERAPU EKOR GUNTING,2.51,150720
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KERAPU,KERAPU EKOR KECAPI KUNING,1.88,112920
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KERAPU,KERAPU LUMPUR BINTIK ORANGE,9.86,640835
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KERAPU,KERAPU MACAN,4.71,258830
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KURISI,KURISI HIJAU,2.19,76580
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,KUWE,KUWE BOBARA,10.25,358855
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,RAWAI DASAR,PARI,PARI KEKEH,0.88,13155
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,TONDA,CAKALANG,CAKALANG,30.95,464280
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,TONDA,LAYARAN,IKAN LAYARAN,4.02,112420
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,TONDA,LEMADANG,LEMADANG,2.38,28524
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,TONDA,PEDANG,IKAN PEDANG,0.88,10536
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,TONDA,TENGGIRI,TENGGIRI,1.44,57680
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,TONDA,TENGGIRI,TENGGIRI BATANG,6.39,223580
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005,TONDA,TUNA,TUNA SIRIP KUNING,22.58,948528
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,BUBU,KAKAP,KAKAP MAILAH,1.21,50778
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,BUBU,KAKAP,KAKAP MERAH UTARA,3.33,183315
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,BUBU,KERAPU,KERAPU COKLAT BERCAK HITAM,6.70,301635
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,BUBU,KERAPU,KERAPU EKOR GUNTING,2.11,126300
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,BUBU,KERAPU,KERAPU LUMPUR BINTIK ORANGE,43.80,2846740
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,CAKALANG,CAKALANG,7.57,113610
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KAKAP,BADUR,2.07,72590
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KAKAP,KAKAP MAILAH,1.15,48174
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KAKAP,KAKAP MERAH UTARA,12.52,688710
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KAKAP,KAKAP PINJALO MERAH,11.14,389970
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KEMBUNG,KEMBUNG GEPENG,4.05,170226
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KERAPU,KERAPU COKLAT BERCAK HITAM,2.39,107640
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KERAPU,KERAPU EKOR GUNTING,1.10,65820
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KERAPU,KERAPU EKOR KECAPI KUNING,3.14,188580
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KERAPU,KERAPU LUMPUR BINTIK ORANGE,9.63,626015
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KERAPU,KERAPU MACAN,3.44,189310
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,KURISI,KURISI HIJAU,9.58,335160
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,LAYANG,LAYANG JEPANG,6.40,108868
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,LEMURU,SIRO,9.92,198360
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,SELAR,SELAR BENGOL,3.29,82200
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,SELAR,SELAR KUNING,1.72,43100
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,TONGKOL,TONGKOL LISONG,4.93,73875
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PANCING ULUR,TUNA,TUNA SIRIP KUNING,1.73,72786
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PUKAT CINCIN PELAGIS KECIL DENGAN SATU KAPAL,KEMBUNG,KEMBUNG GEPENG,12.86,539910
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PUKAT CINCIN PELAGIS KECIL DENGAN SATU KAPAL,LAYANG,LAYANG JEPANG,45.26,769352
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PUKAT CINCIN PELAGIS KECIL DENGAN SATU KAPAL,LEMURU,SIRO,25.78,515620
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PUKAT CINCIN PELAGIS KECIL DENGAN SATU KAPAL,SELAR,SELAR KUNING,11.70,292375
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,PUKAT CINCIN PELAGIS KECIL DENGAN SATU KAPAL,TONGKOL,TONGKOL KOMO,14.57,218535
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,TONDA,CAKALANG,CAKALANG,15.73,235935
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,TONDA,LAYARAN,IKAN LAYARAN,3.46,96852
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,TONDA,LEMADANG,LEMADANG,4.17,50028
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0005_0010,TONDA,TUNA,TUNA SIRIP KUNING,9.97,418656
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0010_0020,PANCING ULUR,CAKALANG,CAKALANG,83.92,1258845
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0010_0020,PANCING ULUR,LAYANG,LAYANG JEPANG,16.93,287827
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0010_0020,PANCING ULUR,TONGKOL,TONGKOL LISONG,32.48,487125
2024,ACEH,ACEH BARAT,NON_PELABUHAN,-,WPP-RI-572,KM_0010_0020,PANCING ULUR,TUNA,TUNA SIRIP KUNING,13.01,546504
