id,sumber,tahun_terbit,lokasi,zona,tier,gt,alat_tangkap,D_hari_tahun,dasar_D,R_rp_tahun,FC_rp_tahun,VC_rp_tahun,rc_dilaporkan,m_kontribusi,m_bersih,dipakai_D,dipakai_m,catatan,url
L01,"Putra, Jamhari & Hardyastuti — Research, Society and Development 9(4) e200942974",2020,PPP Sadeng Gunungkidul,573-A,1,2,multi (PMT),266,22.2 trip/bln x 12; trip ~21 jam,710057916,40874988,245889600,,0.654,0.596,1,1,angka bulanan x12; rata-rata trip 22.2 tidak konsisten dengan 30/21 per musim,https://rsdjournal.org/rsd/article/download/2974/2321/12419
L02,"Putra, Jamhari & Hardyastuti — Research, Society and Development 9(4)",2020,PPP Sadeng Gunungkidul,573-A,2,5-30,multi (kapal motor),234,3.25 trip/bln x 6 hari x 12,1087677360,97518660,226417176,,0.792,0.702,1,1,angka bulanan x12,https://rsdjournal.org/rsd/article/download/2974/2321/12419
L03,"Putra, Jamhari & Hardyastuti — Research, Society and Development 9(4)",2020,PPP Sadeng Gunungkidul,573-A,3,30-45 (Inka Mina),multi (kapal motor),270,3 trip/bln x 5-10 hari x 12 (titik tengah),7020000000,,1228724748,,0.825,,1,1,biaya tetap 481 jt/bln tampak anomali (kemungkinan per tahun) -> m_bersih tidak dihitung,https://rsdjournal.org/rsd/article/download/2974/2321/12419
L04,"Fitriani, Sawiji & Noverma — J. Sosek Kelautan dan Perikanan 16(2):193-206",2021,Pantai Dampar Lumajang,573-A,1,,pancing,149,103 hari musim timur (Apr-Sep) + 46 hari musim barat (Okt-Mar) tahun 2019,,,,,,,1,0,kelompok pancing; kelompok jala 149 hari; gabungan 140 hari; tipe perahu tidak disebut,https://ejournal-balitbang.kkp.go.id/index.php/sosek/article/download/9543/7572
L05,"Fitriani, Sawiji & Noverma — J. Sosek KP 16(2)",2021,Pantai Dampar Lumajang,573-A,1,,jala,149,101 + 48 hari,,,,,,,1,0,rata-rata studi L04-L06 = 146 hari,https://ejournal-balitbang.kkp.go.id/index.php/sosek/article/download/9543/7572
L06,"Fitriani, Sawiji & Noverma — J. Sosek KP 16(2)",2021,Pantai Dampar Lumajang,573-A,1,,pancing+jala,140,107 + 33 hari,,,,,,,1,0,,https://ejournal-balitbang.kkp.go.id/index.php/sosek/article/download/9543/7572
L07,"Supriyadi dkk. — Agriekonomika 12(2):132-145",2023,TPI Tawang Pacitan,573-A,1,1-3,gillnet,,one-day fishing; jumlah hari tidak dilaporkan,116438000,10503972,46078571,2.06,0.604,0.514,0,1,BBM 78% biaya variabel,https://journal.trunojoyo.ac.id/agriekonomika/article/download/17483/pdf
L08,"Imron dkk. — J. Teknologi Perikanan dan Kelautan 15(3):309-322",2024,PPP Pondokdadap Malang,573-A,2,10-19,pancing ulur,,tidak dilaporkan,609482095,36080000,307702500,1.77,0.495,0.436,0,1,bagi hasil 50:50 di luar biaya variabel,https://www.researchgate.net/publication/384807318
L09,"Imron dkk. — J. Teknologi Perikanan dan Kelautan 15(3)",2024,PPP Pondokdadap Malang,573-A,2,20-29,pancing ulur,,tidak dilaporkan,929119847,49864000,457010000,1.83,0.508,0.454,0,1,,https://www.researchgate.net/publication/384807318
L10,"Ratung dkk. — J. Kelautan dan Perikanan Terapan 6(1):87-95",2023,PPP Tenau Kupang,573-DF,2,2-10,pancing ulur,,32 trip/thn x 3-15 hari (terlalu lebar),891066667,132345911,222654080,2.51,0.750,0.602,0,1,upah ABK 89 jt dicatat sebagai biaya tetap,https://ejournal-balitbang.kkp.go.id/index.php/jkpt/article/download/12991/8635
