pelabuhan,zona,tahun,bulan,produksi_kg
PPN PALABUHANRATU,573-A,2026,1,423981
PPN PALABUHANRATU,573-A,2026,2,305813
PPN PALABUHANRATU,573-A,2026,3,308914
PPN PALABUHANRATU,573-A,2026,4,258844
PPN PALABUHANRATU,573-A,2026,5,712540
PPN PALABUHANRATU,573-A,2026,6,966888
PPN PALABUHANRATU,573-A,2026,7,926683
PPN PALABUHANRATU,573-A,2026,8,1196001
PPN PALABUHANRATU,573-A,2026,9,344353
PPN PRIGI,573-A,2026,1,100930
PPN PRIGI,573-A,2026,2,76166
PPN PRIGI,573-A,2026,3,38949
PPN PRIGI,573-A,2026,4,295851
PPN PRIGI,573-A,2026,5,815678
PPN PRIGI,573-A,2026,6,690690
PPN PRIGI,573-A,2026,7,1508156
PPN PRIGI,573-A,2026,8,3604892
PPN PRIGI,573-A,2026,9,2197995
