zona,tier,lat,lon,skenario,subsidi,premi_dibayar,rata_tanpa,rata_dengan,sd_tanpa,sd_dengan,p90_tanpa,p90_dengan,maks_tanpa,maks_dengan,rasio_tutup,tutup_tahun_buruk,hari_hilang_timur,hari_dibayar_timur
573-A,1,-7.0,106.0,A ketat,0.0,6035771.9975,11012750.0,13088271.997499997,2286012.9759226996,1631426.4230767637,13258700.0,14867671.997499999,15841000.0,16885771.9975,0.35960591133004927,0.3150684931506849,28.4,7.24
573-A,1,-7.5,106.0,A ketat,0.0,6035771.9975,11202625.0,13278146.997499997,2219268.148316114,1678208.2270269294,13974800.0,15019571.997499999,15624000.0,16668771.997499999,0.35351089588377727,0.3194444444444444,29.0,7.24
573-A,1,-7.5,106.5,A ketat,0.0,6035771.9975,11256875.0,13332396.997499997,2403081.4513779017,1577595.3857332864,14278600.0,14932771.997499999,15841000.0,16885771.9975,0.35180722891566263,0.3150684931506849,27.88,7.24
573-A,1,-7.5,107.0,A ketat,0.0,6035771.9975,11401541.666666666,13477063.664166665,2229545.9662405956,1012736.8635090485,14039900.0,14433671.997499999,14973000.0,16017771.997499999,0.34734337827121337,0.3333333333333333,27.64,7.24
573-A,1,-7.5,107.5,A ketat,0.0,6035771.9975,11528125.0,13603646.997499997,2565434.7595358533,1183919.5519268962,14256900.0,15301671.997499999,15841000.0,15800771.997499999,0.34352941176470586,0.3835616438356164,27.28,7.24
573-A,1,-8.0,107.5,A ketat,0.0,6035771.9975,11392500.0,13468021.997499997,2094139.2130128935,1299245.2742298874,13454000.0,15106371.997499999,15190000.0,16234771.997499999,0.3476190476190476,0.38571428571428573,27.56,7.24
573-A,1,-8.0,108.0,A ketat,0.0,6035771.9975,11329208.333333334,13404730.33083333,2199033.9376776274,1092482.7121969827,13974800.0,14802571.997499999,14756000.0,16017771.997499999,0.349561053471668,0.39705882352941174,25.8,7.24
573-A,1,-8.0,108.5,A ketat,0.0,6035771.9975,11419625.0,13495146.997499997,2220190.4895262048,867557.6318408002,14039900.0,14715771.997499999,14756000.0,14932771.997499999,0.34679334916864607,0.4117647058823529,27.12,7.24
573-A,1,-8.0,109.0,A ketat,0.0,6035771.9975,11528125.0,13603646.997499997,2277095.581666145,943307.2399346055,14105000.0,14867671.997499999,14973000.0,15366771.997499999,0.34352941176470586,0.4057971014492754,27.28,7.24
573-A,1,-8.0,109.5,A ketat,0.0,6035771.9975,11627583.333333334,13703105.33083333,2458338.7801462626,1021167.2207594715,14973000.0,14932771.997499999,15190000.0,16234771.997499999,0.3405909797822706,0.32857142857142857,27.12,7.24
