zona,tier,skenario,subsidi,n_sel,premi_dibayar,d_sd_pct,d_p90_pct,d_maks_pct,d_rata_pct,sel_p90_membaik,sel_maks_membaik,rasio_tutup,tutup_tahun_buruk,hari_hilang_timur,hari_dibayar_timur
573-A,1,Final 12%+RI,0.0,30,5091862.955475361,-51.31557740825428,-2.1135029593563948,-2.346732892972059,9.83771025894713,73.33333333333333,56.666666666666664,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,Final 12%+RI,0.5,30,2545931.4777376805,-51.31557740825428,-19.886280867680618,-18.84800310846446,-12.295419355670257,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,Final 12%+RI,0.7,30,1527558.8866426086,-51.31557740825428,-26.99539203101027,-25.44851119466136,-21.14867120151722,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,Final 12%+RI,0.8,30,1018372.591095072,-51.31557740825428,-30.549947612675155,-28.748765237759876,-25.57529712444073,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,Lama A 20%,0.0,30,6035771.9975,-51.31557740825428,4.475788982023832,3.771145100796991,18.04361106744221,3.3333333333333335,30.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,Lama A 20%,0.5,30,3017885.99875,-51.315577408254256,-16.59163489699055,-15.789064111579965,-8.192468951422727,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,Lama A 20%,0.7,30,1810731.5992500002,-51.31557740825428,-25.01860444859623,-23.613147796530686,-18.68690095896872,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,1,Lama A 20%,0.8,30,1207154.3994999996,-51.31557740825426,-29.232089224399104,-27.525189639006076,-23.93411696274168,100.0,100.0,0.3443610220128244,0.39913203619716126,26.638666666666666,7.240000000000001
573-A,2,Final 12%+RI,0.0,30,13300932.16900809,-47.526652354632674,-3.2167384149034417,-3.535686992067266,12.475351706643401,93.33333333333333,93.33333333333333,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,Final 12%+RI,0.5,30,6650466.084504045,-47.526652354632674,-23.738839892835717,-22.51895743619915,-14.790094517330877,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,Final 12%+RI,0.7,30,3990279.650702427,-47.5266523546327,-31.94768048400859,-30.112265613851864,-25.696273006920567,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,Final 12%+RI,0.8,30,2660186.4338016175,-47.526652354632674,-36.052100779595065,-33.90891970267823,-31.14936225171543,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,Lama A 20%,0.0,30,15804493.631249998,-47.526652354632674,4.508786643270035,3.610546626352651,22.73940230848348,6.666666666666667,26.666666666666668,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,Lama A 20%,0.5,30,7902246.815624999,-47.526652354632674,-19.876077363749,-18.94584062698921,-9.658069216410858,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,Lama A 20%,0.7,30,4741348.089375,-47.526652354632674,-29.630022966556556,-27.968395528325896,-22.6170578263685,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-A,2,Lama A 20%,0.8,30,3160898.726249999,-47.526652354632674,-34.50699576796033,-32.47967297899423,-29.096552131347387,100.0,100.0,0.420603433743346,0.5108993251343835,19.230666666666664,4.800000000000001
573-F,1,Final 12%+RI,0.0,19,4950864.8659576215,-34.53367397636195,0.5861042674011552,4.140980683190265,10.725942582329262,36.84210526315789,21.052631578947366,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,Final 12%+RI,0.5,19,2475432.4329788107,-34.53367397636197,-17.842676764280398,-12.554811834069667,-12.20123176107385,100.0,100.0,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,Final 12%+RI,0.7,19,1485259.4597872866,-34.53367397636195,-25.214189176953017,-19.233128840973635,-21.37210149843507,100.0,100.0,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,Final 12%+RI,0.8,19,990172.973191524,-34.53367397636195,-28.899945383289307,-22.57228734442559,-25.957536367115686,100.0,100.0,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,Lama A 20%,0.0,19,5461419.105,-34.53367397636195,4.3870128079693815,7.584462933118474,15.454638019272426,10.526315789473683,10.526315789473683,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,Lama A 20%,0.5,19,2730709.5525,-34.53367397636195,-15.942222493996239,-10.833070709105531,-9.836884042602234,100.0,94.73684210526315,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,Lama A 20%,0.7,19,1638425.7315000005,-34.53367397636195,-24.073916614782544,-18.200084165995168,-19.95349286735213,100.0,100.0,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
573-F,1,Lama A 20%,0.8,19,1092283.8209999998,-34.53367397636195,-28.139763675175654,-21.88359089443995,-25.011797279727045,100.0,100.0,0.35156413153496274,0.4609144285321069,26.216842105263154,5.8
