k,silhouette,korelasi_intra,korelasi_inter,selisih,keterwakilan_rata,keterwakilan_p10,keterwakilan_min,sel_min,sel_maks
2,0.36432,0.59025,0.39714,0.19311,0.80025,0.65928,0.34142,30,84
3,0.35660,0.66446,0.40083,0.26364,0.83430,0.70059,0.45311,17,67
4,0.34738,0.71537,0.42168,0.29370,0.86131,0.65345,0.45311,14,53
5,0.36711,0.78268,0.44443,0.33825,0.87978,0.66407,0.45311,14,30
6,0.42578,0.82479,0.44471,0.38008,0.90189,0.79242,0.45311,8,30
7,0.49495,0.84937,0.44318,0.40618,0.92141,0.82509,0.62831,4,30
8,0.52431,0.87270,0.44968,0.42302,0.93041,0.86303,0.62831,4,30
9,0.54053,0.88460,0.45415,0.43046,0.93795,0.87778,0.62831,4,30
10,0.51633,0.89513,0.45850,0.43663,0.94344,0.88072,0.62831,4,30
11,0.50670,0.89637,0.47491,0.42146,0.94808,0.88072,0.62831,4,17
12,0.49357,0.90592,0.47701,0.42891,0.95268,0.92112,0.62831,4,17
