zona,tier,musim,n_tahun,rata_cacah,var_cacah,phi,E_W_data,sd_W_data
573-A,1,Barat,24,1.9166666666666667,0.7753623188405798,0.40453686200378075,5.25,2.9672121302810415
573-A,1,Peralihan I,25,2.88,1.9433333333333334,0.6747685185185186,8.48,5.3003144560802555
573-A,1,Timur,25,7.84,3.39,0.4323979591836735,27.16,5.734980383575867
573-A,1,Peralihan II,25,4.24,2.19,0.5165094339622641,12.64,5.211205874523349
573-A,2,Barat,24,1.0416666666666667,0.8242753623188407,0.791304347826087,3.1666666666666665,3.4473262060638374
573-A,2,Peralihan I,25,1.92,1.4933333333333334,0.7777777777777778,5.4,4.272001872658766
573-A,2,Timur,25,6.52,2.426666666666667,0.3721881390593048,19.16,6.209401474108971
573-A,2,Peralihan II,25,2.92,1.1599999999999997,0.39726027397260266,8.96,5.442732157045149
573-A,3,Barat,24,0.5416666666666666,0.5199275362318841,0.9598662207357862,1.0416666666666667,1.7810394294555532
573-A,3,Peralihan I,25,1.16,0.9733333333333335,0.8390804597701151,2.44,2.3108440016582685
573-A,3,Timur,25,4.4,3.0,0.6818181818181818,10.24,4.323193264243457
573-A,3,Peralihan II,25,1.88,2.0266666666666664,1.0780141843971631,4.64,4.433583952815901
573-D,1,Barat,24,2.75,1.5,0.5454545454545454,11.208333333333334,3.9118456298637425
573-D,1,Peralihan I,25,2.68,1.9766666666666668,0.7375621890547264,8.04,5.608624311421354
573-D,1,Timur,25,6.88,4.276666666666666,0.6216085271317829,25.8,7.947746011710909
573-D,1,Peralihan II,25,2.08,1.4933333333333332,0.7179487179487178,5.92,4.707440918375928
573-D,2,Barat,24,2.2083333333333335,1.1286231884057971,0.5110746513535684,8.75,3.969996166902103
573-D,2,Peralihan I,25,1.68,1.3933333333333333,0.8293650793650794,4.92,3.604626656580863
573-D,2,Timur,25,6.4,5.666666666666667,0.8854166666666666,18.24,6.685057965343307
573-D,2,Peralihan II,25,1.48,1.26,0.8513513513513513,3.44,3.742548151549512
573-D,3,Barat,24,1.75,1.2391304347826086,0.7080745341614907,6.333333333333333,4.00723982492847
573-D,3,Peralihan I,25,0.84,0.47333333333333344,0.5634920634920636,2.16,2.4610295948376297
573-D,3,Timur,25,3.36,2.9066666666666663,0.865079365079365,8.28,4.296510211788167
573-D,3,Peralihan II,25,0.68,0.6433333333333333,0.9460784313725489,1.36,2.5311394008759507
573-F,1,Barat,24,2.125,1.2445652173913044,0.5856777493606139,7.416666666666667,4.652410938022552
573-F,1,Peralihan I,25,2.84,1.7233333333333334,0.6068075117370892,10.08,4.812483766206387
573-F,1,Timur,25,6.88,1.526666666666667,0.2218992248062016,27.44,6.570641774844625
573-F,1,Peralihan II,25,0.64,0.40666666666666673,0.6354166666666667,2.24,2.7123175821917807
573-F,2,Barat,24,1.7083333333333333,0.911231884057971,0.5334040296924708,5.458333333333333,4.170071072970242
573-F,2,Peralihan I,25,2.12,1.1933333333333334,0.5628930817610063,6.96,4.188078318274385
573-F,2,Timur,25,5.92,1.8266666666666664,0.3085585585585585,19.96,6.187891401761993
573-F,2,Peralihan II,25,0.44,0.2566666666666667,0.5833333333333335,1.4,1.9790570145063193
573-F,3,Barat,24,0.9166666666666666,0.7753623188405798,0.8458498023715416,2.5,2.919201796799047
573-F,3,Peralihan I,25,1.32,0.6433333333333333,0.48737373737373735,3.68,2.8682166352398606
573-F,3,Timur,25,3.96,3.206666666666667,0.8097643097643099,10.84,5.120872321522314
573-F,3,Peralihan II,25,0.2,0.1666666666666667,0.8333333333333335,0.64,1.468559384794046
