zona,tier,musim,lambda_musim,massa,E_W,sd_W,P_W0,f_panjer,E_payout,p_bayar,W_q90,W_q99
573-A,1,Barat,1.7565316323176143,1.0,5.590860777447987,4.907384658313337,0.17264261467930692,2,3.9690437940479497,0.6723298862133722,12,20
573-A,1,Peralihan I,2.9222166125932647,1.0,9.301117009204214,6.329629883377253,0.0538142696101581,4,5.670698762823376,0.7497926258141593,18,28
573-A,1,Timur,7.956327897291126,0.9999999999999999,25.324179055510943,10.44427864189571,0.00035043760050172467,18,7.841479932689219,0.7255619074742184,39,53
573-A,1,Peralihan II,4.187420792535839,1.0000000000000002,13.328132688831412,7.576967351042063,0.015185400706286161,8,5.9952672558476445,0.7115530566996675,24,34
573-A,2,Barat,0.9962683859611946,0.9999999999999998,2.9566674680138663,3.4286975594738727,0.36925478979785625,0,2.9549768293646625,0.6307452102021436,8,14
573-A,2,Peralihan I,1.8779257851196585,0.9999999999999996,5.573199104226077,4.707390387933848,0.15290693890125462,2,3.9155053630361016,0.6854489815502183,12,20
573-A,2,Timur,6.71945002264619,0.9999999999999988,19.941593615595114,8.90446574855703,0.0012072019651595575,13,7.402776160606498,0.749749679411617,32,44
573-A,2,Peralihan II,2.79414772390293,0.9999999999999994,8.292309374163526,5.742033014713045,0.06116698328160907,4,4.780853817994081,0.7096735096402808,16,25
573-A,3,Barat,0.503232308678642,0.9999999999999999,1.1649827945910562,1.8828891668499856,0.6045733304477183,0,1.1649793678120208,0.39542666955228156,4,8
573-A,3,Peralihan I,1.1232853824262925,1.0,2.600405660316868,2.81310247221697,0.3252095996821731,0,2.600225721947443,0.674790400317827,6,12
573-A,3,Timur,4.582147370633468,1.0000000000000004,10.607671163016485,5.6816571725257,0.010232898860025194,6,5.067367907196391,0.7459235679584731,18,26
573-A,3,Peralihan II,1.7833940725764648,1.0,4.128557278014516,3.5445749027635456,0.16806674739246108,1,3.2954550066325017,0.748009065100401,9,15
573-D,1,Barat,2.5748761772768387,0.9999999999999998,9.134337276931799,6.6777861339790725,0.07616325295615024,4,5.603913916415597,0.7175024498673942,18,28
573-D,1,Peralihan I,2.5198950442009407,0.9999999999999994,8.939292475237968,6.60610629874328,0.08046805189502657,4,5.444939057907937,0.7079293064080928,18,28
573-D,1,Timur,7.11582884582192,0.9999999999999996,25.243303447468804,11.101127181695498,0.0008121472874048097,17,8.437109622901714,0.7408279200726184,40,55
573-D,1,Peralihan II,2.069802116064355,0.9999999999999999,7.342594098887515,5.987130779509241,0.12621075431490264,2,5.561255654652037,0.7473959414691007,16,25
573-D,2,Barat,2.1121263613216685,1.0000000000000002,6.358004951145774,5.218637312841393,0.12098044460010306,2,4.6318191365069445,0.7249323717652703,14,22
573-D,2,Peralihan I,1.6608555949105048,1.0,4.9995721321196775,4.627677690896975,0.1899763677329345,1,4.174059560737146,0.7324888931749106,11,19
573-D,2,Timur,6.400730132228825,1.0000000000000007,19.267726882682002,9.084727919078675,0.0016603445594333196,13,6.946807905862562,0.7149864899017047,31,44
573-D,2,Peralihan II,1.5050003307457651,1.0000000000000002,4.530410551937765,4.405198313673302,0.22201722040068184,1,3.74220712275028,0.6958742769042048,11,18
573-D,3,Barat,1.6595843656788367,1.0000000000000002,4.566371527382981,4.290256324328185,0.1902180248131513,1,3.7481730416679326,0.7102940435346599,10,18
573-D,3,Peralihan I,0.8768992458042826,1.0,2.4128015611826923,3.118590998688677,0.41607104759963215,0,2.411942937491901,0.5839289524003679,7,13
573-D,3,Timur,3.3196708790002374,1.0,9.134124721612773,6.067797617812405,0.03616473236844119,5,4.752793417113867,0.6863767199681385,17,27
573-D,3,Peralihan II,0.7173420192417984,0.9999999999999998,1.9737774347622814,2.8206338157407,0.48804775503341913,0,1.9734024549040765,0.5119522449665808,6,12
573-F,1,Barat,1.952461892686114,1.0,7.401776757160542,6.088650417865146,0.141924238892219,3,4.917810115636468,0.69052501156407,16,25
573-F,1,Peralihan I,2.8265203585082816,0.9999999999999999,10.715329590614997,7.325812777573719,0.05921855491937193,5,6.181762831571846,0.7379741769381831,21,32
573-F,1,Timur,6.881297067101383,1.0,26.08697505502421,11.430491627502757,0.0010268113378505072,18,8.37366875799618,0.7290156273354843,41,57
573-F,1,Peralihan II,0.7479642782243094,0.9999999999999999,2.8355301737185235,3.768514450937903,0.4733291390650817,0,2.8315347975933096,0.5266708609349182,8,15
573-F,2,Barat,1.5966326027770776,1.0000000000000002,5.311632084041854,4.885465343749619,0.20257752974368465,1,4.491661366614622,0.7312060206260079,12,20
573-F,2,Peralihan I,2.205845125527978,1.0,7.338343035713156,5.742367046589308,0.11015738913249914,3,4.780619887742101,0.702778581452662,15,24
573-F,2,Timur,5.820916388405379,1.0,19.364859638592694,9.328227318658348,0.0029648869115034763,13,7.051115559475855,0.713021068185804,32,45
573-F,2,Peralihan II,0.51735649854278,1.0,1.7211269341285393,2.780983387622448,0.596094243021253,0,1.7207757695694221,0.403905756978747,6,11
573-F,3,Barat,0.8944241258608975,0.9999999999999999,2.4652564969040984,3.074564193539039,0.4088429729564324,0,2.4645634140335435,0.5911570270435675,7,13
573-F,3,Peralihan I,1.3878683045288662,1.0,3.8253120143576873,3.8298868316817742,0.24960682364758824,1,3.0719356095211174,0.6572924253349842,9,16
573-F,3,Timur,3.877670294231214,0.9999999999999998,10.687828748474782,6.401728510500595,0.020698991613289957,6,5.263001259659804,0.7161278147535932,19,29
573-F,3,Peralihan II,0.22439976522591254,1.0,0.6185018529039215,1.5400081229433054,0.7989956598357578,0,0.6184992646823544,0.20100434016424218,3,7
