zona,tier,distribusi,n,loglik,k_par,aic,terpilih,aic_per_musim,rerata_empiris,rerata_terpotong
573-A,1,Geometrik,421,-864.903394668456,1,1731.806789336912,False,,3.3847980997624703,3.182897862232779
573-A,1,NB terpotong-nol,421,-853.5715860857705,2,1711.143172171541,False,,3.3847980997624703,3.182897862232779
573-A,1,Weibull diskret,421,-851.3109257996084,2,1706.6218515992168,True,1705.8593418672167,3.3847980997624703,3.182897862232779
573-A,2,Geometrik,310,-598.7745584291986,1,1199.5491168583972,False,,3.054838709677419,2.967741935483871
573-A,2,NB terpotong-nol,310,-583.3933334946664,2,1170.7866669893328,False,,3.054838709677419,2.967741935483871
573-A,2,Weibull diskret,310,-580.8529593396395,2,1165.705918679279,True,1174.3818400763544,3.054838709677419,2.967741935483871
573-A,3,Geometrik,200,-317.75551640216446,1,637.5110328043289,False,,2.325,2.315
573-A,3,NB terpotong-nol,200,-306.20709029871415,2,616.4141805974283,False,,2.325,2.315
573-A,3,Weibull diskret,200,-304.7097435513388,2,613.4194871026776,True,,2.325,2.315
573-D,1,Geometrik,358,-801.7948724002835,1,1605.589744800567,False,,3.9664804469273744,3.547486033519553
573-D,1,NB terpotong-nol,358,-799.0388227606857,2,1602.0776455213713,False,,3.9664804469273744,3.547486033519553
573-D,1,Weibull diskret,358,-798.1853638120215,2,1600.370727624043,True,1586.4872626472009,3.9664804469273744,3.547486033519553
573-D,2,Geometrik,293,-582.1056814041972,1,1166.2113628083944,False,,3.197952218430034,3.0102389078498293
573-D,2,NB terpotong-nol,293,-580.4281812686079,2,1164.8563625372158,False,,3.197952218430034,3.0102389078498293
573-D,2,Weibull diskret,293,-579.8866050996213,2,1163.7732101992426,True,1144.8297042150991,3.197952218430034,3.0102389078498293
573-D,3,Geometrik,165,-305.90038240722754,1,613.8007648144551,True,605.070434746186,2.8666666666666667,2.7515151515151515
573-D,3,NB terpotong-nol,165,-305.70993768531025,2,615.4198753706205,False,,2.8666666666666667,2.7515151515151515
573-D,3,Weibull diskret,165,-305.6270101718213,2,615.2540203436427,False,,2.8666666666666667,2.7515151515151515
573-F,1,Geometrik,311,-742.9530718009278,1,1487.9061436018555,False,,4.520900321543408,3.7909967845659165
573-F,1,NB terpotong-nol,311,-741.7708257322563,2,1487.5416514645126,True,1491.6033605231378,4.520900321543408,3.7909967845659165
573-F,1,Weibull diskret,311,-741.806346057733,2,1487.612692115466,False,,4.520900321543408,3.7909967845659165
573-F,2,Geometrik,254,-547.831332691306,1,1097.662665382612,False,,3.6929133858267718,3.326771653543307
573-F,2,NB terpotong-nol,254,-545.3624267267164,2,1094.7248534534328,False,,3.6929133858267718,3.326771653543307
573-F,2,Weibull diskret,254,-545.1413487967683,2,1094.2826975935366,True,,3.6929133858267718,3.326771653543307
573-F,3,Geometrik,160,-299.7456538677102,1,601.4913077354204,False,,2.9125,2.75625
573-F,3,NB terpotong-nol,160,-298.377886114726,2,600.755772229452,False,,2.9125,2.75625
573-F,3,Weibull diskret,160,-298.1294200663248,2,600.2588401326497,True,,2.9125,2.75625
