zona,tier,musim,aturan,f,n_musim,W_min,W_med,W_mean,W_max,p_bayar,hari_bayar_mean,cv,porsi_pasti,porsi_cap,cakupan,b_k,premi_murni
573-A,1,Barat,f0_capW20,0,24,0,4.5,5.25,14,0.8333333333333334,5.25,0.822152140283446,0.0,0.0,1.0,217000.0,1139250.0
573-A,1,Barat,f_min,0,24,0,4.5,5.25,14,0.8333333333333334,5.25,0.822152140283446,0.0,0.0,1.0,217000.0,1139250.0
573-A,1,Barat,f_q25,2,24,0,4.5,5.25,14,0.6666666666666666,3.625,1.0755467957694274,0.0,0.0,0.6904761904761905,217000.0,786625.0
573-A,1,Barat,f_median,4,24,0,4.5,5.25,14,0.5,2.375,1.3703559634995515,0.0,0.0,0.4523809523809524,217000.0,515375.0
573-A,1,Peralihan I,f0_capW20,0,25,0,9.0,8.48,20,0.96,8.48,0.6250370820849358,0.0,0.04,1.0,217000.0,1840160.0
573-A,1,Peralihan I,f_min,0,25,0,9.0,8.48,20,0.96,8.48,0.6250370820849358,0.0,0.04,1.0,217000.0,1840160.0
573-A,1,Peralihan I,f_q25,3,25,0,9.0,8.48,20,0.72,5.64,0.9010046796725186,0.0,0.0,0.6650943396226414,217000.0,1223880.0
573-A,1,Peralihan I,f_median,9,25,0,9.0,8.48,20,0.48,1.92,1.5976939218935382,0.0,0.0,0.22641509433962262,217000.0,416640.0
573-A,1,Peralihan II,f0_capW20,0,25,7,12.0,12.64,28,1.0,12.2,0.3396121009468867,0.5737704918032788,0.08,0.9651898734177214,217000.0,2647400.0
573-A,1,Peralihan II,f_min,7,25,7,12.0,12.64,28,0.84,5.6,0.9090788303155515,0.0,0.04,0.4430379746835443,217000.0,1215200.0
573-A,1,Peralihan II,f_q25,9,25,7,12.0,12.64,28,0.64,4.04,1.1924083731370256,0.0,0.0,0.31962025316455694,217000.0,876680.0
573-A,1,Peralihan II,f_median,12,25,7,12.0,12.64,28,0.48,2.28,1.7152057749780663,0.0,0.0,0.18037974683544303,217000.0,494759.99999999994
573-A,1,Timur,f0_capW20,0,25,18,27.0,27.16,41,1.0,19.88,0.022117548555118913,0.9054325955734407,0.92,0.7319587628865979,217000.0,4313960.0
573-A,1,Timur,f_min,18,25,18,27.0,27.16,41,0.96,9.04,0.6037634534953624,0.0,0.04,0.3328424153166421,217000.0,1961679.9999999998
573-A,1,Timur,f_q25,22,25,18,27.0,27.16,41,0.68,5.48,0.9700754642337235,0.0,0.0,0.20176730486008837,217000.0,1189160.0
573-A,1,Timur,f_median,27,25,18,27.0,27.16,41,0.48,2.48,1.4261886438570477,0.0,0.0,0.09131075110456553,217000.0,538160.0
573-A,2,Barat,f0_capW20,0,24,0,2.0,3.1666666666666665,16,0.5833333333333334,3.1666666666666665,1.2447166436839963,0.0,0.0,1.0,669000.0,2118500.0
573-A,2,Barat,f_min,0,24,0,2.0,3.1666666666666665,16,0.5833333333333334,3.1666666666666665,1.2447166436839963,0.0,0.0,1.0,669000.0,2118500.0
573-A,2,Barat,f_q25,0,24,0,2.0,3.1666666666666665,16,0.5833333333333334,3.1666666666666665,1.2447166436839963,0.0,0.0,1.0,669000.0,2118500.0
573-A,2,Barat,f_median,2,24,0,2.0,3.1666666666666665,16,0.4583333333333333,2.0416666666666665,1.6114416248328451,0.0,0.0,0.6447368421052632,669000.0,1365875.0
573-A,2,Peralihan I,f0_capW20,0,25,0,5.0,5.4,17,0.92,5.4,0.7911114578997714,0.0,0.0,1.0,669000.0,3612600.0000000005
573-A,2,Peralihan I,f_min,0,25,0,5.0,5.4,17,0.92,5.4,0.7911114578997714,0.0,0.0,1.0,669000.0,3612600.0000000005
