zona,tier,aturan,premi_murni_tahun,hari_bayar_tahun,R_k,premi_pct_R
573-A,1,f0_capW20,9940770.0,45.81,80717085.85004705,12.31557097894684
573-A,1,f_median,1964935.0,9.055,80717085.85004705,2.4343482910797563
573-A,1,f_min,6156290.0,28.369999999999997,80717085.85004705,7.626997351511063
573-A,1,f_q25,4076345.0,18.785,80717085.85004705,5.050163738037904
573-A,2,f0_capW20,22830740.0,34.126666666666665,296281722.1559178,7.7057537784883525
573-A,2,f_median,6584075.0,9.841666666666667,296281722.1559178,2.2222346191626157
573-A,2,f_min,16328060.000000002,24.406666666666666,296281722.1559178,5.510991323118942
573-A,2,f_q25,10601420.0,15.846666666666668,296281722.1559178,3.578155251312134
573-A,3,f0_capW20,12302316.666666668,18.361666666666668,1028506041.5847162,1.196134603906782
573-A,3,f_median,4289116.666666667,6.401666666666666,1028506041.5847162,0.41702396420132065
573-A,3,f_min,10292316.666666668,15.361666666666668,1028506041.5847162,1.0007055136796597
573-A,3,f_q25,6406316.666666667,9.561666666666667,1028506041.5847162,0.6228759392405563
573-D,1,f0_capW20,9988756.666666668,44.00333333333333,84344582.71011712,11.842795761995653
573-D,1,f_median,2336965.0,10.295,84344582.71011712,2.7707351496798402
573-D,1,f_min,8419051.666666668,37.08833333333333,84344582.71011712,9.981733735765824
573-D,1,f_q25,4174151.6666666665,18.388333333333335,84344582.71011712,4.948926810169609
573-D,2,f0_capW20,14057400.0,33.47,186153348.3366328,7.55151606221937
573-D,2,f_median,3675000.0,8.75,186153348.3366328,1.9741788331168058
573-D,2,f_min,10949400.0,26.07,186153348.3366328,5.881924820497729
573-D,2,f_q25,6723500.0,16.008333333333333,186153348.3366328,3.6118071794451274
573-D,3,f0_capW20,0.0,18.133333333333333,,
573-D,3,f_median,0.0,5.991666666666667,,
573-D,3,f_min,0.0,18.133333333333333,,
573-D,3,f_q25,0.0,10.280000000000001,,
573-F,1,f0_capW20,8938503.333333334,39.376666666666665,84344582.71011712,10.597602176839226
573-F,1,f_median,2033920.0,8.96,84344582.71011712,2.411441179323105
573-F,1,f_min,6741143.333333334,29.69666666666667,84344582.71011712,7.992384474177658
573-F,1,f_q25,3258206.666666667,14.353333333333333,84344582.71011712,3.8629708772936353
573-F,2,f0_capW20,13178900.0,31.37833333333333,186153348.3366328,7.079593312588591
573-F,2,f_median,3308200.0,7.876666666666667,186153348.3366328,1.777136983868576
573-F,2,f_min,10356500.0,24.65833333333333,186153348.3366328,5.5634239687548845
573-F,2,f_q25,5989900.0,14.261666666666667,186153348.3366328,3.217723480948668
573-F,3,f0_capW20,0.0,17.66,,
573-F,3,f_median,0.0,5.515000000000001,,
573-F,3,f_min,0.0,15.66,,
573-F,3,f_q25,0.0,9.02,,
