blok,rasio_murni,campuran,premi_murni,q03_implisit,per_100rb,tier,eta,psi,q_awal,q_dengan_asuransi,turun_pct,pangsa_kematian_hari_buruk,jiwa,kematian_awal,kematian_dicegah,santunan_kematian,premi_murni_rider,bruto_A,pct_dari_premi_indeks
kalibrasi,"longgar 0,60",hanya kematian,105000.0,0.000525,52.5,,,,,,,,,,,,,,
kalibrasi,"longgar 0,60","cacat 0,5q + medis 5q",105000.0,0.0003,29.999999999999996,,,,,,,,,,,,,,
kalibrasi,"tengah 0,70",hanya kematian,122499.99999999999,0.0006125,61.25,,,,,,,,,,,,,,
kalibrasi,"tengah 0,70","cacat 0,5q + medis 5q",122499.99999999999,0.00034999999999999994,34.99999999999999,,,,,,,,,,,,,,
kalibrasi,"ketat 0,80",hanya kematian,140000.0,0.0007,70.0,,,,,,,,,,,,,,
kalibrasi,"ketat 0,80","cacat 0,5q + medis 5q",140000.0,0.0004,40.0,,,,,,,,,,,,,,
proteksi,,,,,,1.0,eta=ln2,0.2,0.00034999999999999994,0.00033173913043478255,-5.21739130434783,0.2608695652173913,96370.0,33.729499999999994,1.7597999999999998,,,,
proteksi,,,,,,1.0,eta=ln2,0.4,0.00034999999999999994,0.0003134782608695652,-10.434782608695636,0.2608695652173913,96370.0,33.729499999999994,3.5195999999999943,,,,
proteksi,,,,,,1.0,eta=ln2,0.6,0.00034999999999999994,0.0002952173913043478,-15.652173913043477,0.2608695652173913,96370.0,33.729499999999994,5.2794,,,,
proteksi,,,,,,1.0,eta=ln3,0.2,0.00034999999999999994,0.00032576923076923066,-6.923076923076943,0.3461538461538462,96370.0,33.729499999999994,2.335119230769236,,,,
proteksi,,,,,,1.0,eta=ln3,0.4,0.00034999999999999994,0.0003015384615384615,-13.846153846153841,0.3461538461538462,96370.0,33.729499999999994,4.670238461538461,,,,
proteksi,,,,,,1.0,eta=ln3,0.6,0.00034999999999999994,0.00027730769230769226,-20.769230769230774,0.3461538461538462,96370.0,33.729499999999994,7.005357692307691,,,,
proteksi,,,,,,1.0,eta=ln5,0.2,0.00034999999999999994,0.0003171874999999999,-9.37500000000001,0.46874999999999994,96370.0,33.729499999999994,3.162140625000002,,,,
proteksi,,,,,,1.0,eta=ln5,0.4,0.00034999999999999994,0.0002843749999999999,-18.75000000000001,0.46874999999999994,96370.0,33.729499999999994,6.324281250000004,,,,
proteksi,,,,,,1.0,eta=ln5,0.6,0.00034999999999999994,0.00025156249999999994,-28.125,0.46874999999999994,96370.0,33.729499999999994,9.486421875,,,,
proteksi,,,,,,2.0,eta=ln2,0.2,0.00034999999999999994,0.0003372727272727272,-3.6363636363636487,0.18181818181818182,28840.0,10.093999999999998,0.3670545454545464,,,,
proteksi,,,,,,2.0,eta=ln2,0.4,0.00034999999999999994,0.0003245454545454545,-7.272727272727275,0.18181818181818182,28840.0,10.093999999999998,0.7341090909090913,,,,
proteksi,,,,,,2.0,eta=ln2,0.6,0.00034999999999999994,0.0003118181818181817,-10.909090909090924,0.18181818181818182,28840.0,10.093999999999998,1.1011636363636377,,,,
proteksi,,,,,,2.0,eta=ln3,0.2,0.00034999999999999994,0.00033249999999999995,-4.999999999999993,0.25,28840.0,10.093999999999998,0.5046999999999998,,,,
proteksi,,,,,,2.0,eta=ln3,0.4,0.00034999999999999994,0.0003149999999999999,-10.000000000000009,0.25,28840.0,10.093999999999998,1.0094000000000012,,,,
proteksi,,,,,,2.0,eta=ln3,0.6,0.00034999999999999994,0.0002974999999999999,-15.000000000000014,0.25,28840.0,10.093999999999998,1.514100000000001,,,,
proteksi,,,,,,2.0,eta=ln5,0.2,0.00034999999999999994,0.00032499999999999993,-7.142857142857151,0.35714285714285715,28840.0,10.093999999999998,0.7210000000000003,,,,
proteksi,,,,,,2.0,eta=ln5,0.4,0.00034999999999999994,0.0002999999999999999,-14.28571428571429,0.35714285714285715,28840.0,10.093999999999998,1.4420000000000006,,,,
proteksi,,,,,,2.0,eta=ln5,0.6,0.00034999999999999994,0.00027499999999999996,-21.42857142857143,0.35714285714285715,28840.0,10.093999999999998,2.1629999999999994,,,,
rider,,,,,,1.0,,,,,,,,,,25000000.0,14437.499999999998,18046.874999999996,0.29899862022621126
rider,,,,,,2.0,,,,,,,,,,25000000.0,14437.499999999998,18046.874999999996,0.11418824924100698
rider,,,,,,1.0,,,,,,,,,,50000000.0,25374.999999999996,31718.749999999993,0.5255127264581895
rider,,,,,,2.0,,,,,,,,,,50000000.0,25374.999999999996,31718.749999999993,0.20069449866601227
rider,,,,,,1.0,,,,,,,,,,100000000.0,47249.99999999999,59062.499999999985,0.9785409389221459
rider,,,,,,2.0,,,,,,,,,,100000000.0,47249.99999999999,59062.499999999985,0.3737069975160229
