zona,tier,P_rugi,p,q,u_z,HE_rata,HE_p10,HE_min,FN_buruk_rata,FN_buruk_p90,p_bayar,hari_bayar_thn,premi_murni_thn
573-A,1,85,70,0.0,2.0399,0.14531586957823947,0.04422464917234624,-0.12252519133595352,0.0,0.0,0.98989898989899,66.50999999999999,14432669.999999998
573-A,1,85,70,0.25,2.0399,-0.19435469736641378,-0.49696182938071787,-0.6310161859874115,0.13956819330221187,0.15946088794926006,0.6868686868686869,18.871666666666666,4095151.6666666665
573-A,1,85,70,0.5,2.0399,-0.0724217891552656,-0.2579761190727327,-0.3522846513402653,0.35444990070997656,0.3868577075098814,0.47474747474747475,10.858333333333333,2356258.333333333
573-A,1,85,71,0.0,2.0541,0.12968782592885672,0.011157800769974871,-0.16893616471144446,0.0,0.0,0.98989898989899,65.33500000000001,14177695.000000002
573-A,1,85,71,0.25,2.0541,-0.10247548665146855,-0.38990284789015656,-0.5076534381371713,0.16302846160253515,0.1826839826839827,0.6868686868686869,18.813333333333333,4082493.333333333
573-A,1,85,71,0.5,2.0541,0.01756340698844752,-0.18301355876371353,-0.24706716704589105,0.37467416005524823,0.40090909090909094,0.45454545454545453,10.673333333333334,2316113.3333333335
573-A,1,85,72,0.0,2.0696,0.12472337327504947,0.002710909795088515,-0.16215167991489632,0.0,0.0,0.98989898989899,64.72333333333333,14044963.333333332
573-A,1,85,72,0.25,2.0696,-0.05061564879089863,-0.30437367540779586,-0.42110069885641654,0.12052971708638505,0.13668076109936575,0.7171717171717171,20.628333333333334,4476348.333333333
573-A,1,85,72,0.5,2.0696,0.1122902042252331,-0.07083129097186122,-0.11290945155284993,0.3293040110515009,0.3563636363636364,0.47474747474747475,10.585,2296945.0
573-A,1,85,73,0.0,2.0845,0.14695525506786536,0.0209316977258384,-0.13324074347684767,0.0,0.0,0.98989898989899,63.34,13744780.0
573-A,1,85,73,0.25,2.0845,0.011383097896439114,-0.19653854663346013,-0.30775907922342705,0.14322365498092937,0.1590909090909091,0.6767676767676768,19.09,4142530.0
573-A,1,85,73,0.5,2.0845,0.14215485494661806,-0.0032482469353551672,-0.06543006264590279,0.35196517406345357,0.3833172147001934,0.45454545454545453,9.671666666666667,2098751.6666666665
573-A,1,85,74,0.0,2.0976,0.1895131931002785,0.052683298557015125,-0.072349369108478,0.0,0.0,0.98989898989899,61.910000000000004,13434470.0
573-A,1,85,74,0.25,2.0976,0.2109557785921729,0.06739839962287016,-0.06601459767737361,0.09576783520722376,0.11446784922394679,0.7272727272727273,17.766666666666666,3855366.6666666665
573-A,1,85,74,0.5,2.0976,0.2459517162369659,0.14902629066130738,0.04548316321663637,0.3451120267196804,0.38636363636363635,0.43434343434343436,9.066666666666666,1967466.6666666665
573-A,1,85,75,0.0,2.1137,0.2431211604281379,0.10568087091321207,-0.02356239472828814,0.0,0.0,0.98989898989899,60.57666666666667,13145136.666666666
573-A,1,85,75,0.25,2.1137,0.2746128815993715,0.1428387440261504,0.038030791052273916,0.09712039877070314,0.11560606060606063,0.6868686868686869,15.993333333333332,3470553.333333333
573-A,1,85,75,0.5,2.1137,0.29703721653458665,0.1961285962436214,0.12000839454354661,0.2970071563373691,0.3409090909090909,0.4444444444444444,9.256666666666666,2008696.6666666665
573-A,1,85,76,0.0,2.1311,0.24682972278894083,0.1130960655597191,-0.021925142578528956,0.0,0.0,0.98989898989899,59.08166666666666,12820721.666666666
573-A,1,85,76,0.25,2.1311,0.3962282598039432,0.27363987345201946,0.18366650767909953,0.0713072763111874,0.09459049544994946,0.7070707070707071,17.703333333333333,3841623.3333333335
573-A,1,85,76,0.5,2.1311,0.3935935817387423,0.2980184966311782,0.24037088619669955,0.26584931085020347,0.3118181818181818,0.46464646464646464,9.49,2059330.0
573-A,1,85,77,0.0,2.1489,0.2650847724333127,0.11706594729118759,0.02568260394196409,0.0,0.0,0.98989898989899,57.776666666666664,12537536.666666666
573-A,1,85,77,0.25,2.1489,0.41285220020042535,0.3076836219181322,0.253228274348946,0.07889460858323262,0.10893719806763286,0.6666666666666666,15.760000000000002,3419920.0000000005
573-A,1,85,77,0.5,2.1489,0.3701822961246447,0.2978966435123851,0.23860131415477992,0.27432208183549545,0.3181818181818182,0.4444444444444444,8.469999999999999,1837989.9999999998
573-A,1,85,78,0.0,2.1646,0.2874013957882147,0.1316220772402694,0.03520969386247441,0.0,0.0,0.98989898989899,56.44166666666666,12247841.666666666
573-A,1,85,78,0.25,2.1646,0.48247456546367407,0.37985848482430745,0.24893712508495613,0.054132060898427876,0.07148634984833167,0.6868686868686869,19.218333333333334,4170378.3333333335
573-A,1,85,78,0.5,2.1646,0.4281085847243019,0.3320523172977968,0.2850646480863416,0.28045241862626774,0.3409090909090909,0.43434343434343436,8.523333333333333,1849563.3333333333
573-A,1,85,79,0.0,2.1806,0.3372950757679439,0.15182898200361142,0.032612068201294586,0.0022229541794759186,0.0021739130434782917,0.9797979797979798,54.910000000000004,11915470.0
573-A,1,85,79,0.25,2.1806,0.5657003568174581,0.45726922629543215,0.3127899589255637,0.02749884780242653,0.047575757575757605,0.6868686868686869,17.843333333333334,3872003.3333333335
573-A,1,85,79,0.5,2.1806,0.4766592378794598,0.374660686356037,0.30798467978780975,0.21761343097769198,0.2672727272727273,0.45454545454545453,8.52,1848840.0
573-A,1,85,80,0.0,2.1963,0.40345525189237413,0.25397131660664096,0.10283384060754741,0.0022229541794759186,0.0021739130434782917,0.9797979797979798,53.653333333333336,11642773.333333334
573-A,1,85,80,0.25,2.1963,0.6411774472263223,0.5083273153799537,0.29620966431252027,0.030665243011278383,0.06681818181818182,0.6767676767676768,18.308333333333334,3972908.3333333335
