zona,tier,q,p_opt,plateau,u_opt,HE_p10_opt,HE_rata_opt,HE_min_opt,FN_buruk_opt,p_bayar_opt,premi_opt,HE_p10_awal,premi_awal
573-A,1,0.0,90,90-91,2.4281,0.47428972466202773,0.5795688201680299,0.2953222422505246,0.029339097456802306,0.8787878787878788,7405486.666666666,0.36331744814148026,9940770.0
573-A,1,0.25,85,85-86,2.2909,0.5955258641221476,0.7172972240859375,0.297539412251411,0.01580994368129502,0.6767676767676768,4076345.0,0.5955258641221476,4076345.0
573-A,1,0.5,86,86-86,2.3153,0.4995610809017584,0.6323657532269675,0.2809397254809255,0.12436904450530663,0.47474747474747475,2347578.3333333335,0.45857569285089833,1964935.0
573-A,2,0.0,93,92-94,2.5304,0.6446479622922016,0.7243512578302946,0.5290713349623908,0.026096055101713082,0.8282828282828283,17169885.0,0.554516805900996,22830740.0
573-A,2,0.25,91,89-91,2.4609,0.678925491282831,0.7727830579473322,0.6019038671879564,0.04265783980131161,0.6262626262626263,9894510.0,0.6453977944660416,10601420.0
573-A,2,0.5,91,91-91,2.4609,0.6376705263918406,0.7150704611367348,0.5535583306024856,0.15220506002184386,0.4444444444444444,6679965.0,0.6088606955436332,6584075.0
573-A,3,0.0,95,95-95,2.616,0.6756160857929041,0.774890756021406,0.5484952209353864,0.06358266945153539,0.7474747474747475,12302316.666666668,0.6756160857929041,12302316.666666668
573-A,3,0.25,95,94-96,2.616,0.6274992992260411,0.7359866179977061,0.5732962538299964,0.0783539460907405,0.5959595959595959,6406316.666666667,0.6274992992260411,6406316.666666667
573-A,3,0.5,94,94-95,2.572,0.5902256529721562,0.6564807683207583,0.5252228887900825,0.15080559124209367,0.43434343434343436,5115450.0,0.5898538642540293,4289116.666666667
573-D,1,0.0,92,92-92,1.3212,0.16635543988959067,0.37862940842103765,0.022257748423840318,0.03514324054717859,0.8585858585858586,6279576.666666667,0.04108611844446863,9988756.666666666
573-D,1,0.25,92,92-92,1.3212,0.19009897295578793,0.40271025881302464,0.08081592945446736,0.10209050602184504,0.7171717171717171,3260476.666666666,0.13622805263352306,4174151.666666667
573-D,1,0.5,87,80-92,1.2263,0.23079133978354066,0.4264550710747098,0.15994655749593045,0.29854239832652807,0.40404040404040403,2154986.6666666665,0.2149780831042043,2336965.0
573-D,2,0.0,92,92-92,1.3212,0.2598873546344374,0.45713922423353487,0.09757674981877251,0.030482224354985932,0.8585858585858586,11618600.0,0.18835801234326233,14057400.0
573-D,2,0.25,92,92-92,1.3212,0.2683688641120649,0.47800340531670205,0.1195488649346671,0.07046927211338037,0.7171717171717171,6032599.999999999,0.21176820293744492,6723500.0
573-D,2,0.5,92,92-92,1.3212,0.3081592667792248,0.43640647059207444,0.1725164389326176,0.3143723826089854,0.40404040404040403,3126899.9999999995,0.24675219995766873,3675000.0
573-D,3,0.0,97,97-97,1.4919,0.1288842810331302,0.36542913693710616,-0.2137079215855371,0.1765802928709966,0.6161616161616161,,0.09397158951940504,
573-D,3,0.25,97,95-97,1.4919,0.157456473729577,0.37745418569787625,-0.14909017152631932,0.22631667659224244,0.5353535353535354,,0.15710321873655997,
573-D,3,0.5,95,95-95,1.402,0.24758342054153304,0.4153249564491604,0.08553866053782777,0.320247182804829,0.3939393939393939,,0.24758342054153304,
573-F,1,0.0,87,86-90,1.2531,0.32732521038671564,0.43933771272215266,0.27207314926063286,0.026845762485603084,0.8585858585858586,8324090.0,0.2775030939691039,8938503.333333334
573-F,1,0.25,86,86-86,1.234,0.4801968618286413,0.6226873889085467,0.356211824842656,0.06302644580104819,0.6565656565656566,3575250.0000000005,0.4039665722503881,3258206.6666666665
573-F,1,0.5,83,82-86,1.1825,0.3962954370656369,0.500253904940849,0.34224546509280707,0.17604189054761332,0.46464646464646464,2287403.333333333,0.3413606960004193,2033919.9999999998
573-F,2,0.0,96,96-97,1.5524,0.29043744778724234,0.42983461293426706,0.16537748625999005,0.2362680696610666,0.6060606060606061,6112400.0,0.26148165112536537,13178899.999999998
573-F,2,0.25,87,87-88,1.2531,0.302384230606075,0.5201644806186616,0.20613574066626905,0.044961403071993124,0.6363636363636364,5881400.0,0.23379954576892364,5989900.0
573-F,2,0.5,86,86-87,1.234,0.29987948773645057,0.4447411328913001,0.25169386934394633,0.18336352471777967,0.46464646464646464,3528000.0,0.21631209157646875,3308200.0
573-F,3,0.0,97,97-97,1.6171,0.21290402500994193,0.5206968767956578,0.07543060671890345,0.20603994714887397,0.5151515151515151,,0.14805618789239036,
573-F,3,0.25,95,95-95,1.5069,0.29351923045638517,0.5955443947128883,0.11856502666766233,0.10156938301317714,0.5151515151515151,,0.29351923045638517,
573-F,3,0.5,95,95-95,1.5069,0.3441970111364698,0.4839670624897714,0.2050578421500201,0.19143760906896462,0.3939393939393939,,0.3441970111364698,
