zona,tier,musim,cacah,phi_dipakai,lambda_musim,massa,E_W,sd_W,E_W_data,sd_W_data,f,E_payout,p_bayar,W_q99,dijual,premi_musim
573-A,1,Barat,Poisson,1.0,1.7565316323176143,1.0,5.590860777447987,4.907384658313337,5.25,2.9672121302810415,2,3.96904379404795,0.6723298862133722,20,True,861282.5033084052
573-A,1,Barat,Binomial,0.40453686200378075,1.7565316323176143,1.0,5.590860777447988,3.6963742740303838,5.25,2.9672121302810415,3,3.0133969921188477,0.6677693864792301,15,True,653907.14728979
573-A,1,Peralihan I,Poisson,1.0,2.9222166125932647,1.0,9.301117009204214,6.329629883377253,8.48,5.3003144560802555,4,5.670698762823376,0.7497926258141594,28,True,1230541.6315326726
573-A,1,Peralihan I,Binomial,0.6747685185185186,2.9222166125932647,1.0000000000000004,9.301117009204217,5.518324549736016,8.48,5.3003144560802555,5,4.812948709386157,0.7279247981368963,24,True,1044409.8699367961
573-A,1,Timur,Poisson,1.0,7.956327897291126,0.9999999999999999,25.324179055510943,10.444278641895716,27.16,5.734980383575867,18,7.841479932689221,0.7255619074742186,53,True,1701601.1453935609
573-A,1,Timur,Binomial,0.4323979591836735,7.956327897291126,1.0000000000000022,25.324179055511,7.9545465169218605,27.16,5.734980383575867,20,6.284236419659239,0.71495419999821,45,True,1363679.3030660548
573-A,1,Peralihan II,Poisson,1.0,4.187420792535839,1.0,13.328132688831412,7.576967351042063,12.64,5.211205874523349,8,5.9952672558476445,0.7115530566996674,34,True,1300972.994518939
573-A,1,Peralihan II,Binomial,0.5165094339622641,4.187420792535839,0.9999999999999996,13.328132688831404,6.137813464977395,12.64,5.211205874523349,9,5.054052370055707,0.7125833055382701,29,True,1096729.3643020885
573-A,2,Barat,Poisson,1.0,0.9962683859611946,0.9999999999999998,2.9566674680138663,3.4286975594738727,3.1666666666666665,3.4473262060638374,0,2.9549768293646625,0.6307452102021436,14,True,1976879.4988449593
573-A,2,Barat,Binomial,0.791304347826087,0.9962683859611946,1.0,2.956667468013867,3.163477588202544,3.1666666666666665,3.4473262060638374,0,2.956427327967155,0.6707886763995884,13,True,1977849.8824100266
573-A,2,Peralihan I,Poisson,1.0,1.8779257851196585,0.9999999999999996,5.573199104226077,4.707390387933848,5.4,4.272001872658766,2,3.915505363036101,0.6854489815502182,20,True,2619473.0878711515
