zona,tier,musim,severitas,lambda_musim,f,E_payout_hari,p_bayar,b_k,premi_musim,dijual
573-A,1,Barat,empiris,1.7565316323176143,2,3.9690437940479497,0.6723298862133722,217000.0,861282.503308405,True
573-A,1,Peralihan I,empiris,2.9222166125932647,4,5.670698762823376,0.7497926258141593,217000.0,1230541.6315326726,True
573-A,1,Timur,empiris,7.956327897291126,18,7.841479932689219,0.7255619074742184,217000.0,1701601.1453935604,True
573-A,1,Peralihan II,empiris,4.187420792535839,8,5.9952672558476445,0.7115530566996675,217000.0,1300972.994518939,True
573-A,1,Barat,parametrik,1.7565316323176143,2,4.08005382833392,0.6810449508695353,217000.0,885371.6807484607,True
573-A,1,Peralihan I,parametrik,2.9222166125932647,5,5.090568116733773,0.6965127448765084,217000.0,1104653.2813312288,True
573-A,1,Timur,parametrik,7.956327897291126,18,8.139959725343147,0.737159551298109,217000.0,1766371.260399463,True
573-A,1,Peralihan II,parametrik,4.187420792535839,8,6.1888723637758565,0.718745365863081,217000.0,1342985.302939361,True
573-A,2,Barat,empiris,0.9962683859611946,0,2.9549768293646625,0.6307452102021436,669000.0,1976879.4988449593,True
573-A,2,Peralihan I,empiris,1.8779257851196585,2,3.9155053630361016,0.6854489815502183,669000.0,2619473.087871152,True
573-A,2,Timur,empiris,6.71945002264619,13,7.402776160606498,0.749749679411617,669000.0,4952457.251445747,True
573-A,2,Peralihan II,empiris,2.79414772390293,4,4.780853817994081,0.7096735096402808,669000.0,3198391.2042380404,True
573-A,2,Barat,parametrik,0.9962683859611946,0,2.988692990285556,0.6307452102021438,669000.0,1999435.610501037,True
573-A,2,Peralihan I,parametrik,1.8779257851196585,2,3.992889406937185,0.6984242343799613,669000.0,2671243.0132409767,True
573-A,2,Timur,parametrik,6.71945002264619,14,6.900424903801527,0.7156407877959938,669000.0,4616384.260643221,True
573-A,2,Peralihan II,parametrik,2.79414772390293,4,4.871809205099148,0.7163485681160713,669000.0,3259240.35821133,True
573-A,3,Barat,empiris,0.503232308678642,0,1.1649793678120208,0.39542666955228156,670000.0,780536.1764340539,False
573-A,3,Peralihan I,empiris,1.1232853824262925,0,2.600225721947443,0.674790400317827,670000.0,1742151.233704787,False
573-A,3,Timur,empiris,4.582147370633468,6,5.067367907196391,0.7459235679584731,670000.0,3395136.497821582,False
573-A,3,Peralihan II,empiris,1.7833940725764648,1,3.2954550066325017,0.748009065100401,670000.0,2207954.854443776,False
573-A,3,Barat,parametrik,0.503232308678642,0,1.1690893966334692,0.39542666955228156,670000.0,783289.8957444244,False
573-A,3,Peralihan I,parametrik,1.1232853824262925,0,2.6094179304525644,0.6747904003178268,670000.0,1748310.0134032182,False
573-A,3,Timur,parametrik,4.582147370633468,6,5.103993215897561,0.7483792080242532,670000.0,3419675.454651366,False
573-A,3,Peralihan II,parametrik,1.7833940725764648,1,3.310096986574317,0.7382614530517697,670000.0,2217764.9810047923,False
573-D,1,Barat,empiris,2.5748761772768387,4,5.603913916415597,0.7175024498673942,227000.0,1272088.4590263406,False
573-D,1,Peralihan I,empiris,2.5198950442009407,4,5.444939057907937,0.7079293064080928,227000.0,1236001.1661451017,False
573-D,1,Timur,empiris,7.11582884582192,17,8.437109622901714,0.7408279200726184,227000.0,1915223.884398689,False
573-D,1,Peralihan II,empiris,2.069802116064355,2,5.561255654652037,0.7473959414691007,227000.0,1262405.0336060124,False
573-D,1,Barat,parametrik,2.5748761772768387,4,5.644004095567991,0.7271145078439479,227000.0,1281188.9296939338,False
573-D,1,Peralihan I,parametrik,2.5198950442009407,4,5.483504592245556,0.7177225390364474,227000.0,1244755.542439741,False
573-D,1,Timur,parametrik,7.11582884582192,17,8.527345321119604,0.7464317960322978,227000.0,1935707.38789415,False
573-D,1,Peralihan II,parametrik,2.069802116064355,3,4.870839943428629,0.6936442249662977,227000.0,1105680.6671582987,False
573-D,2,Barat,empiris,2.1121263613216685,2,4.6318191365069445,0.7249323717652703,420000.0,1945364.0373329166,False
573-D,2,Peralihan I,empiris,1.6608555949105048,1,4.174059560737146,0.7324888931749106,420000.0,1753105.0155096014,False
573-D,2,Timur,empiris,6.400730132228825,13,6.946807905862562,0.7149864899017047,420000.0,2917659.3204622758,False
573-D,2,Peralihan II,empiris,1.5050003307457651,1,3.74220712275028,0.6958742769042048,420000.0,1571726.9915551175,False
573-D,2,Barat,parametrik,2.1121263613216685,2,4.688474450588234,0.7316801715457639,420000.0,1969159.269247058,False
573-D,2,Peralihan I,parametrik,1.6608555949105048,1,4.213293717877969,0.7240661334146691,420000.0,1769583.3615087469,False
573-D,2,Timur,parametrik,6.400730132228825,13,7.057576402304628,0.7215324621607215,420000.0,2964182.0889679436,False
573-D,2,Peralihan II,parametrik,1.5050003307457651,1,3.777730360525363,0.6869546597032995,420000.0,1586646.7514206525,False
