struktur,harga,lam,E_ret,modal_ret,E_ced,P_RI,loading_RI,multiple_RI,E_gov,p_sentuh_RI,p_sentuh_gov,margin_A ketat,bruto_A ketat,margin_B ramah,bruto_B ramah,d_bruto_pct_A ketat,d_bruto_pct_B ramah
S0 tanpa reasuransi,wang,0.3,286016885601.5106,437041579227.7295,0.0,0.0,0.0,,0.0,0.0,0.0,43704157922.77295,412151304405.35443,26222494753.66377,367340447476.6757,0.0,0.0
S1 quota share 50%,wang,0.2,143008442800.7553,218520789613.86475,143008442800.7553,156621467198.1368,13613024397.3815,1.0951903547145652,0.0,0.99994,0.0,35465103358.767975,401852486200.3482,26724271774.213387,367930773383.2047,-2.4987954896479536,0.16070266984864467
S2 XoL agregat 1.5->50 thn,wang,0.2,192736400721.01556,156018034006.00232,93280484880.49504,113324974296.95139,20044489416.456345,1.2148840611424356,0.0,0.66649,0.0,35646292817.05658,402078973023.209,29405571456.816483,371085243598.03186,-2.44384314073145,1.0194347361091927
S2 XoL agregat 1.5->100 thn,wang,0.2,192087350484.45593,111937615192.82874,93929535117.05469,114382228254.14192,20452693137.087234,1.2177450693394698,0.0,0.66649,0.0,31646454656.37011,397079175322.3509,27168950048.65696,368453924294.3148,-3.6569407695432044,0.3031184900241124
S2 XoL agregat 1.5->200 thn,wang,0.2,191798295974.62787,72609635824.31122,94218589626.8827,114875559978.34113,20656970351.45842,1.2192451663017094,0.0,0.66649,0.0,27917933933.88954,392418524419.2502,25013548500.91709,365918157767.5621,-4.787751433802789,-0.3871857071236273
S2 XoL agregat 1.5->500 thn,wang,0.2,191649796826.78497,28338330841.93637,94367088774.72562,115141597988.31369,20774509213.588074,1.2201457042208992,0.0,0.66649,0.0,23608342297.78171,387031534874.1154,22474809064.104256,362931405488.9587,-6.0947931652142735,-1.200260417278709
S2 XoL agregat 1.5->inf thn,wang,0.2,191555168418.88873,24227252232.222412,94461717182.62184,115326189442.84573,20864472260.223892,1.2208775457668934,0.0,0.66649,0.0,23287197483.446133,386630103856.19586,22318107394.157238,362747050583.1387,-6.1921921091527725,-1.2504468062501384
S2 XoL agregat 2->50 thn,wang,0.2,227484429580.5558,180838389862.01764,58532456020.95479,74087518915.83936,15555062894.884567,1.2657510713255533,0.0,0.49993,0.0,33638901881.08633,399569734353.24615,26405366286.605625,367555590456.60736,-3.0526580694099192,0.05856773502876944
S2 XoL agregat 2->100 thn,wang,0.2,226835379343.99615,136757971048.84418,59181506257.51443,75144772873.02989,15963266615.515465,1.2697340372861592,0.0,0.49993,0.0,29639063720.399883,394569936652.3881,24168744878.446114,364924271152.89026,-4.265755698221662,-0.6577485110563219
S2 XoL agregat 2->200 thn,wang,0.2,226546324834.16815,97429991680.32654,59470560767.34246,75638104597.2291,16167543829.886635,1.2718579347710615,0.0,0.49993,0.0,25910542997.91929,389909285749.2874,22013343330.706226,362388504626.1375,-5.396566362481236,-1.3480527082040505
S2 XoL agregat 2->500 thn,wang,0.2,226397825686.32523,49142175953.32651,59619059915.18536,75904142607.20166,16285082692.016296,1.2731522891367897,0.0,0.49993,0.0,21199300287.348946,384020232361.0744,19233613249.215885,359118233942.0312,-6.82542351403379,-2.2383087925994305
S2 XoL agregat 2->inf thn,wang,0.2,226303197278.42896,49047608088.23767,59713688323.0816,76088734061.7337,16375045738.652107,1.2742259973970245,0.0,0.49993,0.0,21279806547.475876,384120865186.2331,19317902223.946365,359217397441.7141,-6.801007037831219,-2.2113138073305616
S2 XoL agregat 3->50 thn,wang,0.2,253291190806.3544,217305219293.99686,32725694795.1562,43392018347.00922,10666323551.853016,1.3259311565000527,0.0,0.33308,0.0,32396845481.252705,398017163853.4541,23704636709.49283,364378261542.357,-3.429357228965424,-0.8063870871466761
S2 XoL agregat 3->100 thn,wang,0.2,252642140569.7947,173224800480.82327,33374745031.71584,44449272304.19975,11074527272.483913,1.3318235768381106,0.0,0.33308,0.0,28397007320.566242,393017366152.596,21468015301.33331,361746942238.63995,-4.64245485777719,-1.5227033332317452
