th_musim,agregat,periode_ulang_model
2002,384627813337.7778,4.366621544910703
2003,261924535595.55554,1.8573551263001487
2004,192854911324.44446,1.367315685845548
2005,418469814608.8889,5.944949765174484
2006,374204621995.55554,3.9899453377488725
2007,229865788480.0,1.594718293013539
2008,348803741697.7778,3.2577534532186605
2009,119401974993.33333,1.1143675407022744
2010,72630392651.11111,1.0389394506088185
2011,285508791146.6667,2.1217907914279652
2012,368297521411.1111,3.796507213363705
2013,423151350988.8889,6.22626237469647
2014,467780453604.44446,9.912767644726408
2015,71769090282.22221,1.037979676357937
2016,261731107480.0,1.8553908380800417
2017,400229229760.0,5.036007453291031
2018,224157504108.8889,1.5556938394523956
2019,421765377426.6667,6.144015728680266
2020,409001593811.1111,5.448106782892945
2021,61875958231.111115,1.0281719103434095
2022,151891021460.0,1.2025012025012025
2023,257237259284.44443,1.814124775502059
2024,104821566631.11111,1.0856584518510477
2025,244346436902.22223,1.7050589097853333
