struktur,harga,lam,zona,tier,premi_murni,bruto_A ketat,bruto_B ramah
S0 tanpa reasuransi,wang,0.3,573-A,1,4144192.22,6035771.9975,5358644.055058824
S0 tanpa reasuransi,wang,0.3,573-A,2,10829805.45,15804493.631249998,14021269.556470588
S0 tanpa reasuransi,wang,0.3,573-F,1,4321598.76,5461419.1049999995,5117789.028705882
S1 quota share 50%,wang,0.2,573-A,1,4144192.22,5875447.950921069,5368792.100161007
S1 quota share 50%,wang,0.2,573-A,2,10829805.45,15363627.850248665,14033111.046116391
S1 quota share 50%,wang,0.2,573-F,1,4321598.76,5455892.643304086,5123772.71746267
S2 XoL agregat 1.5->50 thn,wang,0.2,573-A,1,4144192.22,5874126.66728602,5408993.20658985
S2 XoL agregat 1.5->50 thn,wang,0.2,573-A,2,10829805.45,15363592.382756475,14141882.521608545
S2 XoL agregat 1.5->50 thn,wang,0.2,573-F,1,4321598.76,5508487.204383351,5230632.941506244
S2 XoL agregat 1.5->100 thn,wang,0.2,573-A,1,4144192.22,5798125.247443786,5368988.279005692
S2 XoL agregat 1.5->100 thn,wang,0.2,573-A,2,10829805.45,15163270.927402018,14036422.457131658
S2 XoL agregat 1.5->100 thn,wang,0.2,573-F,1,4321598.76,5475496.311757823,5213362.507738044
S2 XoL agregat 1.5->200 thn,wang,0.2,573-A,1,4144192.22,5727294.282879905,5330449.921198106
S2 XoL agregat 1.5->200 thn,wang,0.2,573-A,2,10829805.45,14976617.103239065,13934864.790995615
S2 XoL agregat 1.5->200 thn,wang,0.2,573-F,1,4321598.76,5444528.332529934,5196522.359188986
S2 XoL agregat 1.5->500 thn,wang,0.2,573-A,1,4144192.22,5642082.737957292,5283171.039423577
S2 XoL agregat 1.5->500 thn,wang,0.2,573-A,2,10829805.45,14740706.34137718,13803868.127069382
S2 XoL agregat 1.5->500 thn,wang,0.2,573-F,1,4321598.76,5458975.524898951,5205039.944153993
S2 XoL agregat 1.5->inf thn,wang,0.2,573-A,1,4144192.22,5635630.750860828,5280170.560926712
S2 XoL agregat 1.5->inf thn,wang,0.2,573-A,2,10829805.45,14721775.616446653,13794892.415308135
S2 XoL agregat 1.5->inf thn,wang,0.2,573-F,1,4321598.76,5462355.182663258,5207213.343810847
S2 XoL agregat 2->50 thn,wang,0.2,573-A,1,4144192.22,5839177.846965197,5357577.8058122825
S2 XoL agregat 2->50 thn,wang,0.2,573-A,2,10829805.45,15275947.650280721,14009804.221185949
S2 XoL agregat 2->50 thn,wang,0.2,573-F,1,4321598.76,5450585.272167201,5178045.352088219
S2 XoL agregat 2->100 thn,wang,0.2,573-A,1,4144192.22,5763176.4271229645,5317572.878228126
S2 XoL agregat 2->100 thn,wang,0.2,573-A,2,10829805.45,15075626.194926264,13904344.156709062
S2 XoL agregat 2->100 thn,wang,0.2,573-F,1,4321598.76,5417594.379541675,5160774.918320018
S2 XoL agregat 2->200 thn,wang,0.2,573-A,1,4144192.22,5692345.462559083,5279034.520420539
S2 XoL agregat 2->200 thn,wang,0.2,573-A,2,10829805.45,14888972.37076331,13802786.49057302
S2 XoL agregat 2->200 thn,wang,0.2,573-F,1,4321598.76,5386626.400313784,5143934.76977096
S2 XoL agregat 2->500 thn,wang,0.2,573-A,1,4144192.22,5588918.572733388,5221469.326230152
S2 XoL agregat 2->500 thn,wang,0.2,573-A,2,10829805.45,14597957.43324927,13640672.174513806
S2 XoL agregat 2->500 thn,wang,0.2,573-F,1,4321598.76,5526693.109289492,5223390.434702098
S2 XoL agregat 2->inf thn,wang,0.2,573-A,1,4144192.22,5590443.6681615,5222973.5531589305
S2 XoL agregat 2->inf thn,wang,0.2,573-A,2,10829805.45,14602013.926334906,13644677.479985215
S2 XoL agregat 2->inf thn,wang,0.2,573-F,1,4321598.76,5527371.752835659,5224038.55574165
S2 XoL agregat 3->50 thn,wang,0.2,573-A,1,4144192.22,5818149.970592049,5311278.762595085
S2 XoL agregat 3->50 thn,wang,0.2,573-A,2,10829805.45,15224653.605502773,13891087.250592463
S2 XoL agregat 3->50 thn,wang,0.2,573-F,1,4321598.76,5406486.278583338,5130659.808941162
S2 XoL agregat 3->100 thn,wang,0.2,573-A,1,4144192.22,5742148.550749815,5271273.835010927
S2 XoL agregat 3->100 thn,wang,0.2,573-A,2,10829805.45,15024332.150148315,13785627.186115578
S2 XoL agregat 3->100 thn,wang,0.2,573-F,1,4321598.76,5373495.385957812,5113389.375172962
S2 XoL agregat 3->200 thn,wang,0.2,573-A,1,4144192.22,5671317.586185934,5232735.477203341
S2 XoL agregat 3->200 thn,wang,0.2,573-A,2,10829805.45,14837678.325985359,13684069.519979535
S2 XoL agregat 3->200 thn,wang,0.2,573-F,1,4321598.76,5342527.406729922,5096549.226623904
S2 XoL agregat 3->500 thn,wang,0.2,573-A,1,4144192.22,5569505.800093687,5176082.341591842
S2 XoL agregat 3->500 thn,wang,0.2,573-A,2,10829805.45,14548241.73376929,13522846.504794467
S2 XoL agregat 3->500 thn,wang,0.2,573-F,1,4321598.76,5468991.952975054,5168323.670248365
S2 XoL agregat 3->inf thn,wang,0.2,573-A,1,4144192.22,5570854.309900352,5177486.849581449
S2 XoL agregat 3->inf thn,wang,0.2,573-A,2,10829805.45,14551838.717353804,13526592.322547596
S2 XoL agregat 3->inf thn,wang,0.2,573-F,1,4321598.76,5469548.14981782,5168902.644914231
S2 XoL agregat 4->50 thn,wang,0.2,573-A,1,4144192.22,5818575.166675481,5292941.709236614
S2 XoL agregat 4->50 thn,wang,0.2,573-A,2,10829805.45,15227730.568653265,13844377.246366354
