faktor,nilai,premi_murni_t1,bruto_t1,d_bruto_pct,modal_per_premi,d_modal_pct,bruto_pct_R
kasus dasar,"q=0,25; L=20; binomial; b bersih; CoC 10%; biaya 20%",4158725.6845947294,5992737.848204566,0.0,1.5280271942987034,0.0,7.4243733964053575
franchise q,q = 0 (tanpa franchise),10079792.447749993,13237007.748142652,120.88414483387555,0.5057780241079569,-66.89993306434009,16.399263685923735
franchise q,"q = 0,5 (median)",2176634.048967189,3446860.7078655097,-42.48270498102642,2.6685906048416066,74.64287381785579,4.270298749720658
cap L,L = 15 hari,4026606.442059645,5734151.315191659,-4.314998245591206,1.3925239979670638,-8.86785240715755,7.104011814604325
cap L,L = 25 hari,4193203.890278763,6084018.421239299,1.523186485824346,1.607388680229111,5.193722089928587,7.5374604486365415
dispersi,"phi x 0,8 (lebih teratur)",3932757.692476512,5660328.864957288,-5.546863414805781,1.5142183832696827,-0.9037019158129711,7.012553544701574
dispersi,"phi x 1,25",4540250.844489872,6533320.60989652,9.020630893338911,1.5118231721940607,-1.060453777596515,8.094098716638333
dispersi,Poisson (phi = 1),5094398.274753578,7300898.836113133,21.829104176490777,1.4649832107463734,-4.125841725039736,9.045047599558348
intensitas,lambda +10% (iklim memburuk),4430690.209732964,6362393.819200019,6.168398824690824,1.487860388385816,-2.6286708811699033,7.882338357729885
intensitas,lambda -10%,4195270.703515024,6038957.822612675,0.7712664157661475,1.515743797038719,-0.8038729484537654,7.4816350949929085
severitas,Weibull diskret (parametrik),4337434.252658106,6217191.606787905,3.745429289061697,1.4670401802223596,-3.9912256996403883,7.702448052123628
manfaat b_k,b_k -25% (batas bawah literatur),3119044.263446047,4501858.602550298,-24.878098849275343,1.546764258039639,1.2262258034965834,5.577330443908331
manfaat b_k,b_k +67% (batas atas literatur),6945071.893273199,10014680.881359946,67.11361542972149,1.535870079110206,0.5132686669953035,12.4071388057354
loading,"CoC 6%, biaya 15%",4158725.6845947294,5341181.695265981,-10.872428753642083,1.5280271942987034,0.0,6.617163688476828
loading,"CoC 15%, biaya 25%",4158725.6845947294,6815896.767397487,13.735940734326292,1.5280271942987034,0.0,8.444180926030686
