zona,tier,p,d_p,u,HE_p10,premi_rel,p_bayar,d_HE
573-A,1,80,-5,2.1963,0.5083273153799537,0.9746251441753172,0.6767676767676768,-0.0871985487421939
573-A,1,83,-2,2.2506,0.5617348144738596,1.0656552213645638,0.696969696969697,-0.03379104964828794
573-A,1,85,0,2.2909,0.5955258641221476,1.0,0.6767676767676768,0.0
573-A,1,87,2,2.3405,0.5690515632676677,0.852896814834531,0.6464646464646465,-0.026474300854479882
573-A,1,90,5,2.4281,0.4720222914474405,0.8435808712625322,0.6363636363636364,-0.12350357267470707
573-A,2,85,-5,2.2909,0.5125103283334801,1.1854228018510728,0.6767676767676768,-0.13288746613256153
573-A,2,88,-2,2.3669,0.6369258418208833,0.9740218763146824,0.6161616161616161,-0.00847195264515832
573-A,2,90,0,2.4281,0.6453977944660416,1.0,0.6363636363636364,0.0
573-A,2,92,2,2.4913,0.6362969744968213,0.9248001682793437,0.6464646464646465,-0.009100819969220297
573-A,2,95,5,2.616,0.5194440452301504,0.6033866217921751,0.5959595959595959,-0.1259537492358912
573-F,1,81,-5,1.1489,0.368701356205371,1.02984126984127,0.6868686868686869,-0.11149550562327032
573-F,1,84,-2,1.1968,0.3915453512961113,1.007195767195767,0.6666666666666666,-0.08865151053253001
573-F,1,86,0,1.234,0.4801968618286413,1.0,0.6565656565656566,0.0
573-F,1,88,2,1.2776,0.401312976198604,0.8499470899470898,0.6363636363636364,-0.07888388563003729
573-F,1,91,5,1.3531,0.1519203629216237,0.9748148148148147,0.6363636363636364,-0.3282764989070176
