zona,bulan,swh,swh_ternormalisasi
1,1,1.72016,0.93060
1,2,1.67468,0.90599
1,3,1.63465,0.88434
1,4,1.71366,0.92708
1,5,1.92076,1.03912
1,6,2.05018,1.10914
1,7,2.19507,1.18752
1,8,2.14637,1.16117
1,9,2.09363,1.13264
1,10,1.83714,0.99388
1,11,1.59098,0.86071
1,12,1.59038,0.86039
2,1,0.47986,1.07330
2,2,0.48185,1.07776
2,3,0.34523,0.77219
2,4,0.32606,0.72931
2,5,0.43450,0.97186
2,6,0.49850,1.11501
2,7,0.56483,1.26336
2,8,0.57942,1.29599
2,9,0.52928,1.18384
2,10,0.44032,0.98488
2,11,0.32158,0.71928
2,12,0.36304,0.81201
3,1,0.86714,1.48997
3,2,0.85078,1.46187
3,3,0.56560,0.97185
3,4,0.39916,0.68587
3,5,0.51079,0.87767
3,6,0.59979,1.03060
3,7,0.65623,1.12758
3,8,0.62958,1.08179
3,9,0.53056,0.91165
3,10,0.44687,0.76785
3,11,0.35470,0.60947
3,12,0.58218,1.00035
4,1,0.96326,1.03779
4,2,0.92947,1.00139
4,3,0.79490,0.85641
4,4,0.78854,0.84956
4,5,0.97724,1.05286
4,6,1.08072,1.16434
4,7,1.13149,1.21904
4,8,1.08305,1.16685
4,9,0.99283,1.06966
4,10,0.86779,0.93494
4,11,0.73265,0.78934
4,12,0.79251,0.85383
5,1,0.75224,1.35679
5,2,0.69332,1.25051
5,3,0.50190,0.90527
5,4,0.44544,0.80343
5,5,0.59980,1.08183
5,6,0.66871,1.20613
5,7,0.60125,1.08445
5,8,0.52677,0.95012
5,9,0.45449,0.81975
5,10,0.44568,0.80386
5,11,0.41929,0.75627
5,12,0.54918,0.99053
6,1,0.83374,0.97397
6,2,0.79600,0.92988
6,3,0.63858,0.74598
6,4,0.71084,0.83039
6,5,1.05909,1.23721
6,6,1.19896,1.40060
6,7,1.18673,1.38632
6,8,1.04703,1.22312
6,9,0.84705,0.98951
6,10,0.71032,0.82978
6,11,0.58724,0.68600
6,12,0.64884,0.75797
