skenario,n_sel,eksposur,cakupan_pct,HE_p10_min,HE_p10_bobot,pct_R_t1,premi_t1_A,pct_R_maks,p_bayar_bobot,volume_premi_M,cv_agregat,thn_terburuk_x,tvar995_per_premi_INDIKATIF,modal_per_premi,relativitas_monoton
S0 lama tanpa franchise,4,60168,84.52857113867778,0.3184211600886709,0.3811303610419843,12.310642241379771,9936791.666666666,12.310642241379771,0.9329716698769801,666.5034544373146,0.17460663634283802,1.3058077647245785,1.3058077647245785,0.3058077647245785,False
S1 baseline 20 Sep,4,60168,84.52857113867778,0.4801968618286413,0.5900939498172566,4.995947624800162,4032583.333333333,4.995947624800162,0.6701084810365124,277.7554892313889,0.48629248841934547,1.7569649508373177,1.7569649508373177,0.7569649508373181,False
S2 tanpa tier 3,3,59474,83.55359186049961,0.4801968618286413,0.5896574701907737,4.995947624800162,4032583.333333333,4.995947624800162,0.6709737176450201,273.3769275647222,0.48615056448775473,1.7646950083891308,1.7646950083891308,0.7646950083891312,True
S3 tanpa t3 + q median,3,59474,83.55359186049961,0.3898933157050121,0.46677613486247105,2.430763754667343,1962041.6666666665,2.430763754667343,0.47905452572582824,141.15877141592594,0.67105395095453,2.0167804282444157,2.0167804282444157,1.0167804282444157,True
S4 hanya 573-A,2,53954,75.7977550188955,0.5955258641221476,0.6008577836938293,4.995947624800162,4032583.333333333,4.995947624800162,0.6724479904768152,253.48245909166667,0.5089025007593586,1.7894864174248988,1.7894864174248988,0.7894864174248987,True
S5 semua sel berpremi,7,71179,99.99761172222925,0.1525640299801214,0.5283363741624935,4.995947624800162,4032583.333333333,4.995947624800162,0.6746600298741627,323.44037537416665,0.4642463483452734,1.7448961042266848,1.7448961042266848,0.7448961042266847,False
S6 tier 1 saja,2,53706,75.44988441047784,0.4801968618286413,0.5836706713424327,4.995947624800162,4032583.333333333,4.995947624800162,0.6746910192117124,214.2057061647222,0.4840163626179161,1.8918592447326823,1.8918592447326823,0.8918592447326826,True
S7 franchise per tier,3,59474,83.55359186049961,0.3898933157050121,0.47031980012145885,2.430763754667343,1962041.6666666665,3.4622452999654643,0.4976684111462702,164.3127276159259,0.618228616382436,1.9339141338561137,1.9339141338561137,0.9339141338561129,True
"S9 q0,5 hanya t1 573-A",3,59474,83.55359186049961,0.4585756928508983,0.4787021994218083,2.430763754667343,1962041.6666666665,4.272503205552934,0.5154832519706232,173.60725619388884,0.587628151263194,1.875404030454823,1.875404030454823,0.8754040304548228,True
"S8 baseline, b t3 dasar",4,60168,84.52857113867778,0.4801968618286413,0.5900939498172566,4.995947624800162,4032583.333333333,4.995947624800162,0.6701084810365124,293.91695639805556,0.4876880761735286,1.730426885590827,1.730426885590827,0.7304268855908276,True
