skenario,zona,tier,q,p,u,b_k,HE_p10,p_bayar,hari_thn,premi_thn,pct_R,eksposur
S0 lama tanpa franchise,573-A,1,0.0,85,2.2909,217000.0,0.3633174481414802,0.9494949494949496,45.791666666666664,9936791.666666666,12.310642241379771,48185.3
S0 lama tanpa franchise,573-A,2,0.0,90,2.4281,669000.0,0.554516805900996,0.8787878787878788,34.041666666666664,22773875.0,7.686560896934196,5768.3
S0 lama tanpa franchise,573-A,3,0.0,95,2.616,670000.0,0.6756160857929041,0.7474747474747475,18.166666666666668,12171666.666666668,1.183431713042019,694.0
S0 lama tanpa franchise,573-F,1,0.0,86,1.234,227000.0,0.3184211600886709,0.8686868686868687,38.208333333333336,8673291.666666668,10.28316388318121,5520.682222222222
S1 baseline 20 Sep,573-A,1,0.25,85,2.2909,217000.0,0.5955258641221476,0.6767676767676768,18.583333333333332,4032583.333333333,4.995947624800162,48185.3
S1 baseline 20 Sep,573-A,2,0.25,90,2.4281,669000.0,0.6453977944660416,0.6363636363636364,15.333333333333334,10258000.0,3.4622452999654643,5768.3
S1 baseline 20 Sep,573-A,3,0.25,95,2.616,670000.0,0.6274992992260411,0.5959595959595959,9.416666666666666,6309166.666666666,0.6134301998795786,694.0
S1 baseline 20 Sep,573-F,1,0.25,86,1.234,227000.0,0.4801968618286413,0.6565656565656566,15.875,3603625.0,4.272503205552934,5520.682222222222
S2 tanpa tier 3,573-A,1,0.25,85,2.2909,217000.0,0.5955258641221476,0.6767676767676768,18.583333333333332,4032583.333333333,4.995947624800162,48185.3
S2 tanpa tier 3,573-A,2,0.25,90,2.4281,669000.0,0.6453977944660416,0.6363636363636364,15.333333333333334,10258000.0,3.4622452999654643,5768.3
S2 tanpa tier 3,573-F,1,0.25,86,1.234,227000.0,0.4801968618286413,0.6565656565656566,15.875,3603625.0,4.272503205552934,5520.682222222222
S3 tanpa t3 + q median,573-A,1,0.5,85,2.2909,217000.0,0.4585756928508983,0.4848484848484848,9.041666666666666,1962041.6666666665,2.430763754667343,48185.3
S3 tanpa t3 + q median,573-A,2,0.5,90,2.4281,669000.0,0.6088606955436332,0.4444444444444444,9.333333333333334,6244000.0,2.1074536608485435,5768.3
S3 tanpa t3 + q median,573-F,1,0.5,86,1.234,227000.0,0.3898933157050121,0.4646464646464646,8.458333333333334,1920041.6666666667,2.2764255924599626,5520.682222222222
S4 hanya 573-A,573-A,1,0.25,85,2.2909,217000.0,0.5955258641221476,0.6767676767676768,18.583333333333332,4032583.333333333,4.995947624800162,48185.3
S4 hanya 573-A,573-A,2,0.25,90,2.4281,669000.0,0.6453977944660416,0.6363636363636364,15.333333333333334,10258000.0,3.4622452999654643,5768.3
S5 semua sel berpremi,573-A,1,0.25,85,2.2909,217000.0,0.5955258641221476,0.6767676767676768,18.583333333333332,4032583.333333333,4.995947624800162,48185.3
S5 semua sel berpremi,573-A,2,0.25,90,2.4281,669000.0,0.6453977944660416,0.6363636363636364,15.333333333333334,10258000.0,3.4622452999654643,5768.3
S5 semua sel berpremi,573-A,3,0.25,95,2.616,670000.0,0.6274992992260411,0.5959595959595959,9.416666666666666,6309166.666666666,0.6134301998795786,694.0
S5 semua sel berpremi,573-F,1,0.25,86,1.234,227000.0,0.4801968618286413,0.6565656565656566,15.875,3603625.0,4.272503205552934,5520.682222222222
S5 semua sel berpremi,573-F,2,0.25,88,1.2776,420000.0,0.2831155757238434,0.6363636363636364,13.416666666666666,5635000.0,3.0270742107791024,1459.368888888889
S5 semua sel berpremi,573-D,1,0.25,91,1.2943,227000.0,0.1525640299801214,0.7070707070707071,14.875,3376625.0,4.003369145360623,7554.617777777777
S5 semua sel berpremi,573-D,2,0.25,92,1.3212,420000.0,0.2683688641120649,0.7171717171717171,14.25,5985000.0,3.215091242504512,1997.031111111111
S6 tier 1 saja,573-A,1,0.25,85,2.2909,217000.0,0.5955258641221476,0.6767676767676768,18.583333333333332,4032583.333333333,4.995947624800162,48185.3
S6 tier 1 saja,573-F,1,0.25,86,1.234,227000.0,0.4801968618286413,0.6565656565656566,15.875,3603625.0,4.272503205552934,5520.682222222222
S7 franchise per tier,573-A,1,0.5,85,2.2909,217000.0,0.4585756928508983,0.4848484848484848,9.041666666666666,1962041.6666666665,2.430763754667343,48185.3
S7 franchise per tier,573-A,2,0.25,90,2.4281,669000.0,0.6453977944660416,0.6363636363636364,15.333333333333334,10258000.0,3.4622452999654643,5768.3
S7 franchise per tier,573-F,1,0.5,86,1.234,227000.0,0.3898933157050121,0.4646464646464646,8.458333333333334,1920041.6666666667,2.2764255924599626,5520.682222222222
"S9 q0,5 hanya t1 573-A",573-A,1,0.5,85,2.2909,217000.0,0.4585756928508983,0.4848484848484848,9.041666666666666,1962041.6666666665,2.430763754667343,48185.3
"S9 q0,5 hanya t1 573-A",573-A,2,0.25,90,2.4281,669000.0,0.6453977944660416,0.6363636363636364,15.333333333333334,10258000.0,3.4622452999654643,5768.3
