rancangan,zona,lon,u_indeks,u_lokal_med,hari_bayar_thn,premi_musim,he_med,fn_med,ce_gain_med
A,1,104-108E,2.0,2.0,71.25,1131250.0,0.13966916044326927,72.79843444227006,365245.7438828768
A,2,108-112E,2.0,2.0,71.25,1131250.0,0.1456054299669396,64.34010152284264,368595.3411222473
A,3,112-116E,2.0,2.0,71.25,1131250.0,0.15710075550345182,51.351351351351354,367840.8621694073
A,4,116-120E,2.0,2.0,71.25,1131250.0,-1.7181140184553154,7.6923076923076925,-117075.31110733189
A,5,120-124E,2.0,2.0,71.25,1131250.0,-1.0808929274017396,14.023421992854306,-76038.9331234768
A,6,124-128E,2.0,2.0,71.25,1131250.0,-1.5707671957671958,25.714285714285715,-99825.08743734565
A,7,128-128E,2.0,2.0,71.25,1131250.0,-0.13357901272463446,43.87520147363574,-40410.66810473637
B,1,104-108E,2.0,2.0,250.5,1500000.0,0.0,5.675146771037182,0.0
B,2,108-112E,2.0,2.0,111.75,1462500.0,0.02918218350901558,43.401015228426395,37499.05632281583
B,3,112-116E,2.0,2.0,10.5,262500.0,0.155939018659624,92.43243243243244,172399.73537977273
B,4,116-120E,2.0,2.0,4.0,100000.0,-0.03628469864428174,52.94117647058823,-20471.93722620886
B,5,120-124E,2.0,2.0,3.75,93750.0,0.37184034657514575,53.11355311355311,59235.02582606999
B,6,124-128E,2.0,2.0,0.75,18750.0,0.1692363805165954,93.02325581395348,15282.40933084488
B,7,128-128E,2.0,2.0,12.5,312500.0,0.6430743508271577,45.55335968379447,286885.0467983729
C,1,104-108E,2.98,3.07,36.5,712500.0,0.6053415433906535,23.972602739726028,761483.617726295
C,2,108-112E,2.37,2.71,36.5,750000.0,0.5846408709028518,23.28767123287671,708269.294641417
C,3,112-116E,1.75,2.26,36.5,787500.0,0.5410820534108205,31.506849315068493,574517.7509195581
C,4,116-120E,1.51,1.2,36.5,875000.0,0.3443001770814761,42.12328767123287,507681.6783808791
C,5,120-124E,1.25,1.27,36.5,756250.0,0.37979323414927546,39.04109589041096,495820.02004775545
C,6,124-128E,1.17,1.33,36.5,837500.0,0.47152931270392595,36.986301369863014,495665.4436425334
C,7,128-128E,1.57,1.76,36.5,831250.0,0.6804526085866724,28.08219178082192,538581.5667964364
