zona,tier,musim,n_musim,E_W_model,E_W_data,sd_model,sd_data,massa_panjer
573-A,1,Barat,24,5.590860777447987,5.541666666666667,4.907384658313337,2.7659288347389888,1.0
573-A,1,Peralihan I,24,9.301117009204214,8.833333333333334,6.329629883377253,5.104700874144611,1.0
573-A,1,Timur,25,25.324179055510943,27.16,10.44427864189571,5.734980383575867,0.9999999999999999
573-A,1,Peralihan II,25,13.328132688831412,12.64,7.576967351042063,5.211205874523349,1.0000000000000002
573-A,2,Barat,17,2.9566674680138663,4.823529411764706,3.4286975594738727,3.1071549309144344,0.9999999999999998
573-A,2,Peralihan I,23,5.573199104226077,5.869565217391305,4.707390387933848,4.126459497461441,0.9999999999999996
573-A,2,Timur,25,19.941593615595114,19.16,8.90446574855703,6.209401474108971,0.9999999999999988
573-A,2,Peralihan II,25,8.292309374163526,8.96,5.742033014713045,5.442732157045149,0.9999999999999994
573-A,3,Barat,11,1.1649827945910562,2.727272727272727,1.8828891668499856,2.053821272209882,0.9999999999999999
573-A,3,Peralihan I,18,2.600405660316868,3.388888888888889,2.81310247221697,2.0332208262027454,1.0
573-A,3,Timur,25,10.607671163016485,10.24,5.6816571725257,4.323193264243457,1.0000000000000004
573-A,3,Peralihan II,22,4.128557278014516,5.2727272727272725,3.5445749027635456,4.355421560503296,1.0
573-D,1,Barat,25,9.134337276931799,11.04,6.6777861339790725,3.920884254008697,0.9999999999999998
573-D,1,Peralihan I,24,8.939292475237968,8.375,6.60610629874328,5.4677910649946,0.9999999999999994
573-D,1,Timur,25,25.243303447468804,25.8,11.101127181695498,7.947746011710909,0.9999999999999996
573-D,1,Peralihan II,23,7.342594098887515,6.434782608695652,5.987130779509241,4.550984778110435,0.9999999999999999
573-D,2,Barat,24,6.358004951145774,9.041666666666666,5.218637312841393,3.5322017602852642,1.0000000000000002
573-D,2,Peralihan I,21,4.9995721321196775,5.857142857142857,4.627677690896975,3.1350552512789034,1.0
573-D,2,Timur,25,19.267726882682002,18.24,9.084727919078675,6.685057965343307,1.0000000000000007
573-D,2,Peralihan II,20,4.530410551937765,4.3,4.405198313673302,3.714835124201342,1.0000000000000002
573-D,3,Barat,23,4.566371527382981,6.913043478260869,4.290256324328185,3.57914468551383,1.0000000000000002
573-D,3,Peralihan I,17,2.4128015611826923,3.176470588235294,3.118590998688677,2.377900705392444,1.0
573-D,3,Timur,24,9.134124721612773,8.625,6.067797617812405,4.019652807849476,1.0
573-D,3,Peralihan II,13,1.9737774347622814,2.6153846153846154,2.8206338157407,3.0424349222966556,0.9999999999999998
573-F,1,Barat,24,7.401776757160542,7.708333333333333,6.088650417865146,4.378595830774446,1.0
573-F,1,Peralihan I,25,10.715329590614997,10.08,7.325812777573719,4.812483766206387,0.9999999999999999
573-F,1,Timur,25,26.08697505502421,27.44,11.430491627502757,6.570641774844625,1.0
573-F,1,Peralihan II,14,2.8355301737185235,4.0,3.768514450937903,2.449489742783178,0.9999999999999999
573-F,2,Barat,23,5.311632084041854,5.956521739130435,4.885465343749619,3.9019605895866945,1.0000000000000002
573-F,2,Peralihan I,24,7.338343035713156,7.25,5.742367046589308,4.0135639588991125,1.0
573-F,2,Timur,25,19.364859638592694,19.96,9.328227318658348,6.187891401761993,1.0
573-F,2,Peralihan II,11,1.7211269341285393,3.1818181818181817,2.780983387622448,1.7786613965666325,1.0
573-F,3,Barat,16,2.4652564969040984,3.875,3.074564193539039,2.704933763822446,0.9999999999999999
573-F,3,Peralihan I,22,3.8253120143576873,4.181818181818182,3.8298868316817742,2.6839268252810475,1.0
573-F,3,Timur,25,10.687828748474782,10.84,6.401728510500595,5.120872321522314,0.9999999999999998
573-F,3,Peralihan II,5,0.6185018529039215,3.2,1.5400081229433054,1.6431676725154984,1.0
